"﻿Code	Product label	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exported value in 2021"
"TOTAL	""All products""	262678467	256678556	252680285	191320123	189389234	229722178	254525413	272579608	254531426	345599938"
"260111	""Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites)""	59192644	68522713	69260622	36622883	39226993	49108087	46529095	65588606	78020629	115981729"
"270112	""Bituminous coal, whether or not pulverised, non-agglomerated""	43691288	38380799	35187114	29623822	28260420	40555876	47206109	44407758	32725070	43934284"
"271111	""Natural gas, liquefied""	14676410	14824997	16451316	12582034	13559824	19937263	31970665	35167504	26312442	36957140"
"710813	""Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes""	15141407	12938150	11889298	10709989	13390949	12999194	13986349	16124214	15983700	15003130"
"999999	""Commodities not elsewhere specified""	10044824	8777678	8032952	7321442	7391488	8467782	7940698	7904342	8017722	11432602"
"270900	""Petroleum oils and oils obtained from bituminous minerals, crude""	11349993	8767731	9712073	4674961	3600939	4030615	5943795	6466832	4415758	7495954"
"100199	""Wheat and meslin (excluding seed for sowing, and durum wheat)""	6711806	5832548	5270968	4352815	3557764	4560185	3028659	2513816	2710166	7097704"
"260300	""Copper ores and concentrates""	5509173	4961113	4924529	3708019	3444415	3642575	4504115	4253445	4613540	5849603"
"281820	""Aluminium oxide (excluding artificial corundum)""	5211506	5214946	5118388	4846901	4163306	5620871	7495431	5757417	4722433	5788406"
"020230	""Frozen, boneless meat of bovine animals""	2828207	3370846	4371609	4277980	3075554	3223065	3694760	4468083	3749032	3750481"
"740311	""Copper, refined, in the form of cathodes and sections of cathodes""	2874343	2981403	3406544	2586185	2160012	2157517	2452004	2694740	2373329	3243876"
"760110	""Aluminium, not alloyed, unwrought""	2699037	2591341	2487668	2354220	1989538	2101616	2639721	2247243	2163671	3128382"
"020130	""Fresh or chilled bovine meat, boneless""	1921467	1891428	2273194	2451140	2201799	2223558	2492495	2630413	2669019	2892798"
"710812	""Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...""	856588	475882	150880	15695	26504	85553	143538	123102	1464776	2493025"
"510111	""Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed""	2406618	2320729	1944133	1991347	2057615	2653147	2738041	2081290	1471920	2421132"
"120510	""""Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""	1527093	2196830	1285502	1131116	886146	1277786	927314	669779	786927	2157781"
"100390	""Barley (excluding seed for sowing)""	1358431	1484784	1597948	1306758	1124787	1620624	1371855	726624	913124	1983793"
"271019	""Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...""	2477132	2005445	1927252	1300465	1372687	1470569	1856943	1413859	1283906	1956440"
"711890	""Coin of legal tender""	755562	1009486	640719	630877	735766	518517	609248	600536	1032862	1939936"
"260800	""Zinc ores and concentrates""	1369188	1395794	1628755	1570517	877794	1344075	1908750	1761226	1368085	1897005"
"020442	""Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)""	625049	822870	1044738	759880	687072	995968	1177708	1418754	1208444	1518543"
"520100	""Cotton, neither carded nor combed""	2723425	2511612	1810804	819538	1175908	1580300	1809247	1099575	310408	1500804"
"261690	""Precious-metal ores and concentrates (excluding silver ores and oncentrates)""	1134954	1011635	1085312	1110576	1191274	1212245	1071081	966573	1217820	1482857"
"253090	""Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.""	167632	175366	250357	258725	293402	997370	1174010	1012280	654442	1284900"
"220421	""Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...""	1470366	1341690	1258672	1275392	1349991	1634003	1684267	1661766	1633763	1211388"
"260600	""Aluminium ores and concentrates""	299690	520992	599585	778927	728230	844555	979728	1174270	1067778	1034860"
"880330	""Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)""	878744	1097308	1169065	1232546	1191811	1353728	1351843	1384141	1110680	866953"
"271113	""Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)""	688796	652080	631728	273962	236235	312011	375726	474610	475970	844046"
"010229	""Live cattle (excluding pure-bred for breeding)""	390808	501329	910835	870262	978019	767039	946665	1039483	931978	831455"
"300490	""""Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""	3378372	2403733	1821197	1098626	1398958	1337323	1403690	1535557	1184945	778112"
"790111	""Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc""	764169	829941	904501	793752	780539	1253462	1257286	1017757	916837	765866"
"760120	""Unwrought aluminium alloys""	1084742	856690	860536	596619	373611	509552	603687	527971	417851	742206"
"210690	""Food preparations, n.e.s.""	226406	277176	388229	731539	1024245	1318490	1068136	821079	782213	712995"
"901920	""Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...""	498136	514572	577887	601850	643442	670865	600955	620908	514200	697923"
"260700	""Lead ores and concentrates""	1211398	1048874	1004569	717711	383891	338970	441416	674487	560462	697812"
"020422	""Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)""	353441	390211	443252	409501	398503	429216	493262	522994	547385	692770"
"903300	""Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...""	58940	47062	58305	44282	65166	10547	11451	553572	526773	680015"
"300212	""Antisera and other blood fractions""	0	0	0	0	0	522465	837114	1467178	1465852	675615"
"440122	""Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...""	599274	561048	671459	700052	820061	846733	981211	929593	599699	659762"
"320611	""Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...""	463747	438658	493941	447531	419769	542391	579628	523266	474352	651346"
"760200	""Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...""	381842	362918	370661	382407	341947	397956	448478	383745	358873	651186"
"040210	""Milk and cream in solid forms, of a fat content by weight of <= 1,5%""	538507	484432	675054	484448	349434	379837	346720	336760	394565	648061"
"260112	""Agglomerated iron ores and concentrates (excluding roasted iron pyrites)""	347436	293586	282461	152306	183665	175951	245262	253400	338037	631326"
"720449	""Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...""	262116	286902	269989	181804	228518	408376	423564	441718	351753	605409"
"851712	""""Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""	247504	314963	348177	362750	319031	431587	440484	625809	569068	594944"
"071340	""Dried, shelled lentils, whether or not skinned or split""	212196	201278	198109	188421	220287	526415	174484	211295	372895	536150"
"121490	""""Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""	566372	380077	284586	327143	307621	343665	339362	366254	389166	522731"
"071320	""""Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""	599444	315249	306855	775953	948664	1386581	303164	243618	236608	505204"
"100790	""Grain sorghum (excluding for sowing)""	51827	270432	106114	419236	157298	60111	111736	28484	52435	499808"
"740400	""Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...""	353695	400515	299278	235445	178289	247728	286184	252749	267791	494266"
"330499	""Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...""	199015	228651	225310	219951	283126	371090	421873	485240	477092	492473"
