Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992
854232,Electronic integrated circuits as memories,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657
999999,Commodities not elsewhere specified,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",36431768,36048022,31987218,31191384,26050626,25929096,23426196,21789796,20151248,26007659
850760,Lithium-ion accumulators (excluding spent),4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112
850440,Static converters,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",18066308,19488962,20552135,15560518,15147123,19758821,27309997,28887569,19071132,22162522
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",8422061,7880506,9001089,7677440,4228618,8384063,10433314,6684858,7367078,21031764
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290
940540,"Electric lamps and lighting fittings, n.e.s.",5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076
853400,Printed circuits,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781
847170,Storage units for automatic data-processing machines,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764
300220,Vaccines for human medicine,22129,39417,39584,47151,63936,58639,115747,112693,281205,14445876
950450,Video game consoles and machines (excluding operated by any means of payment),7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,27920681,18115196,15075442,16259137,12764839,11084017,11027529,10614970,11231193,11967389
852580,"Television cameras, digital cameras and video camera recorders",12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,2858669,5125370,8141117,8673030,6789660,7002180,8134915,8834502,9886214,11751888
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",22209234,28034769,47589877,17828050,12627994,10457276,12785686,12756495,7269713,10328552
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",8202352,8378242,7865970,7509658,7809803,8828020,9653840,9320309,9457557,9707705
950510,"Christmas articles (excluding candles and electric lighting sets, natural Christmas trees and ...",3178804,3322895,3421239,3658383,3088688,4298787,4226130,5207228,6089559,9446266
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,164983,147878,192849,3177502,9333134
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",5449329,5378489,6075938,5821058,6061795,6548445,7208625,7508649,7795124,9267005
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",7149728,7386778,7904822,7283527,6655596,6909953,7282661,6593078,7227905,8887863
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",918050,1956838,3137561,4496656,3307601,4442401,5846157,7945757,8714306,8746634
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",2492965,2916435,3410655,3794378,4266506,4610793,5196888,5548671,6634993,8613104
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",5992403,5942871,5089381,4605664,3828044,3997680,4881497,5866976,7505435,8550096
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,110059,129753,438082,1578871,8143214
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",3124717,3651434,3650517,3707855,3636944,4177659,4988896,5303948,6672479,7988031
392410,"Tableware and kitchenware, of plastics",2493889,2896864,4123178,5159923,4869597,5030694,5635832,6247633,6597532,7971596
