Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333
760110,"Aluminium, not alloyed, unwrought",569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828
20230,"Frozen, boneless meat of bovine animals",2961134,4410700,4719043,4029377,3680161,3936898,3339386,3062579,2762444,2936398
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2634205,3540087,3236803,2948191,3395703,3476198,3261097,3178158,1947229,2914608
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",1617332,642252,1729112,1530674,1246959,1989875,786158,2737806,1910145,2894339
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",212935,366953,303679,128595,339193,1263700,826915,1476157,2024034,2761309
520100,"Cotton, neither carded nor combed",3647065,4513411,2821651,1860425,1345732,1673933,2203316,1075032,1448516,2682048
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",1284825,1608862,1753424,1676359,1519260,1700269,1940026,1870129,1581134,2516596
