Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945
999999,Commodities not elsewhere specified,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,10710065,11071157,16315948,18239044,19084523
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",28739068,26481116,24971924,23414386,21565608,20408888,21883156,18150073,14150839,15219267
854232,Electronic integrated circuits as memories,9240760,9210557,8403707,8399015,9008034,9738748,11603779,11054866,12247102,14692935
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,18304814,13017453,9998143,9208922,8237301,7591131,6354957,7474948,7305832,6858034
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001
