Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622
854232,Electronic integrated circuits as memories,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",7212942,10745179,13150064,17612803,14750059,6546331,6848687,12163895,12840863,15965206
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241
890120,Tankers,11746548,9810025,11922246,12760740,16323137,13148739,10861150,12384947,10250231,9618424
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",6915276,7768861,7008030,5854323,6178791,7995178,7240102,10045151,7799818,7842054
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,18451993,14526009,9877693,8776809,8816900,10890487,4902349,4716728,6273704,7125776
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2744367,3640016,4505947,5145696,3608637,4118844,2632673,3810287,4117174,6135106
853400,Printed circuits,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358
850760,Lithium-ion accumulators (excluding spent),2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460
