Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847
999999,Commodities not elsewhere specified,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415
390210,"Polypropylene, in primary forms",5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655
290511,"Methanol """"methyl alcohol""""""""",1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151
281410,Anhydrous ammonia,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624
290531,"Ethylene glycol """"ethanediol""""""""",3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899
290250,Styrene,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",209087,137842,287775,302568,729583,529108,511186,649474,1840754,1074605
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",522,48,0,0,0,87,0,0,0,1030204
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",776,7608,4405,5232,5558,211029,605809,633743,489422,995149
760110,"Aluminium, not alloyed, unwrought",7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857
290243,P-Xylene,6149,9963,32722,145258,45450,40719,634621,1004520,484083,805708
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",1347390,1406732,1572031,1038412,649220,845340,809144,847697,838182,794444
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",135554,456790,516447,417732,374216,472973,518111,414873,433092,792353
260300,Copper ores and concentrates,11399,71435,69170,84453,113836,177364,457934,381136,472944,673809
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",353,388,664,2666,29272,211201,475464,693399,301647,662054
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",245,0,0,39,0,19,0,0,0,618424
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",95263,170157,187334,164462,173721,697618,598741,395003,460186,507051
390930,"Amino-resins, in primary forms (excluding urea resins, thiourea resins and melamine resins)",25442,28306,19860,929,859,2273,109460,449748,474398,503245
390130,"Ethylene-vinyl acetate copolymers, in primary forms",260,425,7695,161533,179010,252133,305665,337793,277443,495999
291532,Vinyl acetate,337647,340908,477080,258518,259614,192958,256932,309259,318036,488563
291020,"Methyloxirane """"propylene oxide""""""""",0,0,0,0,0,179,0,230870,185811,471727
291614,Esters of methacrylic acid,0,0,0,0,0,19692,313948,339597,412384,429868
390230,"Propylene copolymers, in primary forms",10008,7742,52902,40279,214167,240242,342847,250284,152168,418558
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,0,0,0,0,394572
390740,"Polycarbonates, in primary forms",450858,317261,430570,332849,278455,355918,484363,607111,486435,373282
290711,"Phenol """"hydroxybenzene"""" and its salts""""",3177,386,113,0,0,30099,229858,261045,152873,335847
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,0,0,0,0,331962
80410,Fresh or dried dates,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",144839,258097,293256,229055,246158,302291,276477,180266,161699,321928
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",91301,105239,115132,138284,125571,164327,156563,174208,294273,320252
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",115873,162878,142510,158465,206605,195776,226434,173908,184742,303841
290211,Cyclohexane,284720,299277,364671,241908,201052,153882,331990,220279,127391,290515
720826,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",36,0,66,229,4017,252,4340,4,44176,279784
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",80408,91700,141788,110079,107494,89635,122993,177665,137028,267797
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",212191,149618,144026,134394,132687,112857,99535,128978,161754,266600
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",145291,163552,275162,331623,328566,341913,291901,276717,264239,264646
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",10376,0,0,0,52,1,215,0,41249,261141
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",188021,298916,267262,236477,205293,195981,254762,243531,239992,254740
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",0,0,71,25,8335,85777,141469,121349,90281,252955
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",55,410,1363,532,1944,17254,31066,53562,86123,249489
291611,Acrylic acid and its salts,0,3948,136130,138580,102972,158744,146786,217461,148635,239056
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",199441,188759,129366,126276,145716,86838,146633,133739,172589,236658
390610,"Poly""""methyl methacrylate"""", in primary forms""""",76,705,208,0,58,7339,150922,152590,146977,235767
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",230285,274999,258062,271886,221945,214333,168876,186879,195749,217926
40110,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar ...",89727,113081,68437,73652,204148,103726,163302,201287,160056,213816
291411,Acetone,54305,57506,68084,38134,26110,64598,123838,106660,121881,213715
290122,"Propene """"propylene""""""""",691174,186763,420111,248832,164767,175060,375542,70240,66673,211556
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",81295,79976,77780,57634,61815,66305,61395,91870,151307,201301
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",15666,14867,12513,9275,4537,36305,26336,61780,62855,195799
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",79788,84882,100163,113004,114711,120541,106831,84293,102322,194582
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",156979,181373,183713,137430,96833,132165,163384,190669,123413,187011
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",247932,229539,227640,202476,180679,159003,196492,94703,121784,184056
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",55825,35198,28525,27388,93723,150059,161416,136198,100166,174038
854420,"Coaxial cable and other coaxial electric conductors, insulated",241581,179522,229684,291416,277652,273353,414574,332520,260007,169988
252310,Cement clinkers,2664,0,0,0,0,2222,98990,176403,103970,160807
40630,"Processed cheese, not grated or powdered",28233,35495,37472,14421,23118,112761,124539,133358,187802,157553
700490,"Sheets of glass, drawn or blown, but not otherwise worked (excluding glass coloured throughout ...""",43888,50233,46122,34013,40464,37924,45402,25952,23677,157173
40291,"Milk and cream, concentrated but unsweetened (excluding in solid forms)",32513,26544,38052,46571,42192,64638,91165,95147,245089,155761
292121,Ethylenediamine and its salts,139,219,16279,19682,15190,30010,88579,70970,86236,154531
390319,"Polystyrene, in primary forms (excluding expansible)",139495,91832,141229,92412,124267,151390,115419,88957,88579,152761
292910,Isocyanates,49,138,207,17,21,309069,961009,257418,256115,150834
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,0,125,63,74,18539,77603,65000,54890,150753
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",0,0,23906,4217,99803,121825,73917,90350,71976,143246
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",19512,10248,28823,26141,5967,14770,49479,77423,69256,142109
721310,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel, with indentations, ...",0,0,0,0,0,29924,171931,158400,104855,139042
200990,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...",249923,301228,320077,351112,281793,250963,249974,96208,119237,136012
291531,Ethyl acetate,0,52980,124798,86842,66036,64749,73198,74176,89061,132589
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",127700,126659,120038,156688,97071,84901,89714,77024,74660,130549
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",424,346,110,3025,123,15,101,15537,52620,128676
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives ...",228099,110776,135473,163620,52854,41526,166589,108346,106291,126581
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,2861,42085,48399,26207,92400,126320
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",34100,52812,56574,52128,62401,52928,73947,89066,109736,125264
281420,Ammonia in aqueous solution,513178,525833,0,46,275,9,334253,333869,406014,122015
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",271875,239023,212438,138320,188358,183318,167954,89513,110410,121615
890400,Tugs and pusher craft,376753,1105537,1748575,2029308,1804976,1192646,1102154,94198,82397,118971
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",37619,58284,74201,53497,46764,60983,71309,82938,114590,118025
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",198439,159086,218898,236653,205093,169647,84911,178125,185767,112018
290110,Saturated acyclic hydrocarbons,97073,62365,101092,65061,51499,45192,40884,58118,53857,111355
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",85198,165469,176384,236038,124378,208126,190334,188062,108693,111012
292211,Monoethanolamine and its salts,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",49049,48280,41658,30133,22003,14736,35955,53891,46676,106712
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",50448,68817,59494,53661,44568,54677,96814,89319,93527,104092
292212,Diethanolamine and its salts,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",168413,138056,134730,167015,100019,93908,144105,133174,173820,101772
281820,Aluminium oxide (excluding artificial corundum),0,158,285,5543,206,102,80347,123230,75304,99535
780110,"Unwrought lead, refined",878,0,458,349,10662,38268,45695,61863,52777,98682
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",25792,6135,50154,69198,98229,228216,261035,111901,51491,96828
741300,"Stranded wire, cables, plaited bands and the like, of copper (excluding electrically insulated ...",49,855,113,2927,557,9043,18290,51472,59803,95760
290220,Benzene,11376,81219,0,257,3300,8477,310448,77647,35384,95171
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",3230,2680,3752,4060,7322,9980,17411,23474,57639,94545
842121,Machinery and apparatus for filtering or purifying water,7592,4501,6051,6916,3486,7370,74891,82014,89434,94436
291521,Acetic acid,8682,3404,7872,4875,23182,29221,26305,37763,61756,92756
310559,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excluding ...""",661,1158,484,281,865,1036,255,641,27845,92434
760120,Unwrought aluminium alloys,202,2022,209196,335297,50692,210553,143005,127301,43837,92253
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,0,42,0,12618,58585,58152,45690,50069,90567
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,131,140749,28037,5314,88272
730411,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",301,1578,5551,9212,2738,3258,968,10711,2172,85957
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",225756,213464,172597,116607,41451,33575,100917,67560,60030,85025
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",105014,103953,98138,89299,35221,67020,49938,72356,79727,80177
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",255741,238480,252173,276324,171433,66490,76808,87048,86019,79861
151190,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude)",42684,36715,39001,28537,28028,28539,18979,19983,28798,78285
190540,"Rusks, toasted bread and similar toasted products",19193,20234,20776,23697,70956,62499,70210,83558,80404,77624
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",11472,16289,12601,80985,41591,52121,53954,58869,70240,77543
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",185,2826,1716,530,1794,7930,19201,34460,41171,75042
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",2147,3933,59398,63465,59141,56686,54659,52139,36634,72464
721410,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excluding in irregularly ...",0,0,0,0,0,32329,207222,233,0,68907
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",453866,17989,13630,12742,7354,20691,83402,38998,40930,66651
150710,"Crude soya-bean oil, whether or not degummed",95271,69714,53502,50985,33001,25471,45941,37369,53748,65387
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",183333,219718,18920,64386,89346,13882,44245,8609,5777,64956
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",42422,43460,63380,51342,38357,37495,18714,22129,62172,64378
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",2714,2699,1049,246,1546,15706,24452,26431,22622,64238
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",0,0,0,0,0,739,15734,4902,33800,63395
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,2913,11381,19674,26889,55800,37149,19692,30693,36592,62552
390710,"Polyacetals, in primary forms",0,86,0,83,265,14603,50363,61600,55034,62087
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",3882,6282,21750,38085,34677,41202,50401,37545,32136,59678
760410,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.",22756,57803,92775,97238,89317,68105,40571,40454,31130,59180
330510,Shampoos,188310,232770,189603,188793,124670,105268,54221,58207,52504,59079
292215,Triethanolamine,0,0,0,0,0,0,0,0,0,57982
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",8029,37873,38098,21222,28019,35479,32119,43654,31093,57839
252329,"Portland cement (excluding white, whether or not artificially coloured)",54313,32284,35527,37960,42957,9187,53129,64345,67556,55790
680710,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",105826,94315,78341,88132,95041,75880,72281,75084,62705,55278
260800,Zinc ores and concentrates,27225,48777,38236,37328,20837,15272,81903,28909,52487,52939
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,5216,13756,18787,23025,25590,29868,37035,39885,42848,52541
391731,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa",46105,38948,31527,26275,24742,14269,25057,28405,29981,52321
40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ...",141219,94984,44055,56168,170442,47610,47791,44441,42027,51840
151219,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",50468,42569,28439,23959,35015,26214,26006,20279,24064,51469
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",3226,108,402,1122,3196,1099,2542,1160,590,50827
190531,Sweet biscuits,56722,56193,59132,63985,44760,47025,49306,54924,54068,50712
283325,Sulphates of copper,0,0,0,2,15,0,7308,41595,51126,50538
842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,0,0,0,0,50260
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",1562,8586,1933,2952,42676,55987,5606,6366,9855,50044
730300,"Tubes, pipes and hollow profiles, of cast iron",83511,64812,36922,63457,63665,33829,26154,29876,26587,49563
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",26412,24445,21419,29519,38795,33440,31633,37548,34073,49536
220290,"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)",82972,104127,119314,135330,135630,83015,79088,71245,92931,49246
720230,Ferro-silico-manganese,17960,20750,28296,10964,4607,40818,30493,5877,24819,49083
480890,"Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm ...",20605,25438,25121,19774,25960,25612,21146,14354,29259,48928
390760,"Poly""""ethylene terephthalate"""", in primary forms""""",84167,53007,21100,51903,84846,22672,4432,1105,36779,48597
392410,"Tableware and kitchenware, of plastics",50905,47094,47616,47063,76703,39989,41701,53726,40150,48000
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",27116,22901,23318,35898,16725,37260,64053,13694,20274,47261
390730,"Epoxide resins, in primary forms",88130,51500,74607,40214,55775,63806,64194,46689,42697,46690
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",138423,77802,101511,47854,8675,41540,83886,51727,40546,46316
151529,"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",75257,82259,76112,75387,66771,58240,55782,56386,49305,45893
392321,"Sacks and bags, incl. cones, of polymers of ethylene",5404,4927,9224,9084,23856,47732,36795,52550,19399,44819
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",16483,39676,42939,63233,44836,56389,51713,58669,64158,44321
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",3227,8473,14677,27717,28218,41055,60119,72155,51138,44050
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",18006,15288,18308,17786,24780,46307,30542,31129,27075,43872
40620,"Grated or powdered cheese, of all kinds",16426,22059,24319,31331,29188,57554,47112,51695,27217,43081
160290,"Prepared or preserved meat, offal, blood or insects (excl. meat or offal of poultry, swine ...",19341,19642,11897,6979,30489,38385,52235,45952,33224,43026
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular ...",1331,2142,3238,4960,7779,40866,5012,13921,22800,42868
293220,Lactones,0,0,0,0,2920,4039,3388,1541,7220,42219
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",1709,1663,1585,3837,10925,5464,7022,3883,25538,41547
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",591688,587450,491954,296199,277453,390843,332874,30930,148046,41544
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,0,0,0,0,41082
730810,"Bridges and bridge-sections, of iron or steel",49945,37728,14435,11646,12024,9639,11182,28816,59575,40987
292213,Triethanolamine and its salts,9837,21629,27852,20032,19309,19191,59342,35335,57523,40647
810820,Unwrought titanium; titanium powders,0,0,440,2,0,0,0,0,28177,40582
722240,"Angles, shapes and sections of stainless steel, n.e.s.",4511,4026,4998,936,1113,1417,1034,671,13667,40477
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",32175,32689,34632,41155,32893,32929,24267,32020,33428,40057
842810,Lifts and skip hoists,64,281,486,1898,1435,2254,10625,21568,14304,39187
250510,"Silica sands and quartz sands, whether or not coloured",23413,20191,13533,11979,22693,31833,39363,38634,32513,38293
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",103555,51481,18211,16142,11559,14255,9969,14559,14802,38219
320910,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",23516,17576,19833,34894,38886,36545,35694,32833,27121,37260
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",5085,7131,8781,6330,7660,17650,19790,28492,36791,36897
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",25634,28747,30737,43093,63977,80973,85615,29633,19817,36105
190211,"Uncooked pasta, not stuffed or otherwise prepared, containing eggs",30320,32384,38078,44102,27198,29300,24019,30427,28880,35715
291524,Acetic anhydride,15814,17744,15275,11227,9837,20133,8049,14808,11093,34944
701990,"Glass fibres and articles thereof, n.e.s.",47848,43366,51499,35149,34952,64488,81570,48695,27625,34905
392350,"Stoppers, lids, caps and other closures, of plastics",32672,34863,24243,29020,30829,34417,36674,35275,36622,34820
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",140165,135141,111799,79542,7993,10460,20537,43866,46607,34521
390311,"Expansible polystyrene, in primary forms",1021,1056,1952,2510,7884,10441,31464,16701,16559,34335
410510,"Skins of sheep or lambs, in the wet state """"incl. wet-blue"""", tanned, without wool on, whether ...""",102267,107852,77432,62625,47294,51916,47370,44223,19403,34094
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",29888,43235,53799,30746,39457,40738,58648,34490,24152,33335
760720,"Aluminium foil, backed, of a thickness (excluding any backing) of <= 0,2 mm (excluding stamping ...",1702,3900,495,3366,20021,20380,53278,15368,10207,33225
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",47125,46330,32997,31157,36633,29984,54019,32298,32874,32782
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",150907,91751,146079,123957,75329,110447,136696,25807,19853,32244
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",2181,1287,2049,2705,3881,6254,9658,8663,15612,32092
721610,"U, I or H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn ...",16203,7740,4105,16488,13375,18074,16134,7907,5598,31419
700510,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",5357,9493,12192,23250,21066,26698,36069,31499,34938,31387
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",62240,43808,35480,51472,56753,62380,25581,27456,19274,30039
720810,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",52804,60571,42596,36381,29882,34711,36842,35201,28473,30026
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",18282,20207,16601,18195,26818,28229,34889,5401,15437,29778
290542,Pentaerythritol,24525,26059,25003,22297,20890,24523,28900,19261,10890,29660
