Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192
999999,Commodities not elsewhere specified,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928
854232,Electronic integrated circuits as memories,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510
848640,Machines and apparatus specified in Note?9 C to chapter 84,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234
210690,"Food preparations, n.e.s.",441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",1534744,1662253,1835497,1850084,2327913,3072705,4105742,4952439,5408677,5750576
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",4621301,4646896,4634219,6042977,5221327,4498727,4671521,4693574,3974290,5322986
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324
841191,"Parts of turbojets or turbopropellers, n.e.s.",1461760,1935464,1878080,2261163,2522016,2888573,4624147,5166131,4076553,4807176
841112,Turbojets of a thrust > 25 kN,417573,455041,584700,1190293,1727651,984069,4899969,5434743,6560970,4645104
854233,Electronic integrated circuits as amplifiers,960910,1382764,1995463,2046612,2635982,2858481,2621013,2813648,3395256,4388496
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",5479015,6048253,5405262,5927719,6249812,6196489,6346641,6408468,4402411,3933248
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),1408988,1461494,1926955,1755733,1608370,1934213,2380872,2393547,2562992,3564091
