Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959
854232,Electronic integrated circuits as memories,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",17857579,18440537,15792613,9032858,7623629,8398969,10883311,10339758,5106760,7813938
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",8731558,8208419,5722805,4457674,3922831,6764649,6320873,5752319,5991930,7300051
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292
853400,Printed circuits,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394
871499,"Parts and accessories, for bicycles, n.e.s.",1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128
999999,Commodities not elsewhere specified,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",1832137,1865157,1865417,1797522,1683366,1757502,1723295,1628420,1562000,1979349
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,279633,3473662,2052983,1846807,2031506,2279340,1898177,687123,1894052
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",508704,480007,496780,475843,699719,848591,1748228,1089036,1397759,1809868
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",829309,814274,803381,806753,905747,1226943,1276043,1073046,1105366,1798030
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",380029,590990,1257711,1632906,1483055,1686789,1681744,1971306,1946643,1784658
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",695896,786401,748882,696248,760253,1074114,1161301,1143422,1077034,1742811
850440,Static converters,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1258809,1352928,1253973,1054202,902341,1173334,1422704,1518404,1522444,1624655
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",644886,658172,801859,745274,721008,995402,1368697,964232,1067195,1554675
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320
390740,"Polycarbonates, in primary forms",616360,674293,730584,727236,693239,971708,1121821,828877,753553,1421293
900120,Sheets and plates of polarising material,1674689,1651748,1542681,1189277,1050160,1069472,994311,979217,1135614,1368868
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,232128,386182,870885,995609,1332394
260300,Copper ores and concentrates,2080,859,1784,553,810302,596860,392148,807508,747084,1314632
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023
852580,"Television cameras, digital cameras and video camera recorders",1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",698158,759133,765267,688115,730513,915211,941719,970107,1002505,1190522
854110,Diodes (excluding photosensitive or light emitting diodes),1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",7981666,7573265,7589954,5941277,3461828,1293314,872205,712543,826706,1168586
390130,"Ethylene-vinyl acetate copolymers, in primary forms",496114,460509,478478,439890,467495,525085,638032,671596,569035,1143878
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",720644,758417,801785,817373,857485,1000021,991660,959568,899743,1142917
390730,"Epoxide resins, in primary forms",596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",990865,876172,850574,730120,692741,932898,905615,567440,473026,1070841
290243,P-Xylene,897766,2408802,1730720,1103767,1057567,1313026,1615302,910345,629005,1067240
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646
731816,Nuts of iron or steel,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,830630,1190380,934595,752414,1035025
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,852052,913075,768975,760682,996590
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",619819,642772,692724,604955,581870,701415,796569,739363,758647,993001
854160,Mounted piezoelectric crystals,13764,13268,24165,210715,564346,615186,585002,536813,697109,982874
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),678281,587778,557425,456122,517557,574098,732764,709532,826088,972120
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",776032,761215,813282,725637,689194,733792,732304,707031,708993,957445
600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding ...""",885109,942681,942659,1032709,993683,964607,1022756,995000,727084,943776
845710,Machining centres for working metal,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",387603,368380,431297,473409,457193,513809,574787,557393,611637,929500
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",461438,465215,440137,411557,448797,485799,593358,686699,747143,922372
290531,"Ethylene glycol """"ethanediol""""""""",1257992,1395906,1389118,1099380,853967,1235503,1252756,832134,646016,889550
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",749055,708956,828559,501733,502131,616373,616153,490308,389134,882179
600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",346225,408863,437413,479726,439182,518723,531504,554606,567954,879736
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",298280,319418,395382,377346,382927,451170,497308,448487,531493,863044
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",360438,396231,423370,427848,409830,477893,570533,537881,627725,857593
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",446324,359699,354500,417322,469949,600185,575419,791730,757167,854973
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,199787,201488,222179,326463,337033,367401,447024,522347,736288,852591
210690,"Food preparations, n.e.s.",245717,278021,325763,371072,406688,460192,604534,700475,679984,828703
847170,Storage units for automatic data-processing machines,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",887332,848040,803322,645085,591482,819329,875504,806811,667260,797822
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",379132,430150,260133,251274,240047,276778,249114,520913,649506,781105
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",658094,677425,687909,472295,520811,661971,662742,524117,436452,778384
847989,"Machines and mechanical appliances, n.e.s.",739621,639352,602997,561314,542396,699909,774121,678237,703675,767295
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",519602,554170,562955,409610,283842,404686,442245,343369,285483,763253
390230,"Propylene copolymers, in primary forms",527284,704901,660941,533674,555185,623538,824990,682972,634402,758684
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",301680,316696,333150,331233,374039,435514,528796,468131,677673,755771
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",517672,487128,525803,481171,495108,555329,562050,517586,539640,746378
400251,"Latex of acrylonitrile-butadiene rubber """"NBR""""""""",203809,168658,175332,241996,224603,258104,323778,279065,406088,743758
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",433558,405139,479130,494004,475013,478394,494559,612697,676570,718752
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",347562,364944,365910,283981,220445,333304,353778,359479,346883,714314
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",514232,452044,532513,498791,493698,622634,660335,514525,480911,711251
750210,"Nickel, not alloyed, unwrought",134169,87047,20020,26538,450872,310007,471858,71444,63534,689479
850450,Inductors (excluding inductors for discharge lamps or tubes),335147,319361,344541,339672,444052,477623,506980,424934,503202,682403
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",0,38821,510869,441597,467596,491945,491889,521988,497698,681643
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",1016074,722179,639250,645228,767384,659378,644862,525836,654837,677563
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",593033,491992,464776,349534,235294,229918,376906,295305,328888,677461
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),232790,228993,238580,246940,301556,346598,482874,362643,493008,677041
761699,"Articles of aluminium, n.e.s.",516935,508673,521986,533062,532552,556875,610040,534698,532770,675830
848630,Machines and apparatus for the manufacture of flat panel displays,168470,217027,256625,332785,409211,655232,658859,563384,665019,664511
291736,Terephthalic acid and its salts,2092261,537135,188746,96693,120349,154404,695905,893300,479232,659217
390319,"Polystyrene, in primary forms (excluding expansible)",843322,948253,788926,611486,554528,662434,731327,626813,498573,658596
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",433942,466125,523745,472854,434563,413794,469301,450234,530638,651557
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",1110131,564917,774341,1208246,536119,371092,394436,672553,1961618,643374
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",819274,838091,835798,802274,709357,684809,703155,697122,533740,642803
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",122817,115486,135145,96239,129776,291098,292684,220037,186793,641058
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",228796,204116,206673,183478,176815,289144,364977,374996,409168,639946
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",361153,465208,477515,402084,397610,474919,584706,487987,469037,635745
390210,"Polypropylene, in primary forms",471204,529345,407049,338420,325454,464379,511973,424449,393424,627263
290122,"Propene """"propylene""""""""",664645,683083,1071625,536890,505866,527121,601488,535840,286384,626105
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",6327,6388,6554,8215,6804,5799,5507,36178,342878,608959
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),277658,294950,324382,333960,348849,403789,422066,409034,440676,578821
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",1877767,715864,662632,150680,86666,52421,90240,44273,122764,576878
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",206618,177641,212041,206424,260756,345070,432091,427962,451737,573588
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",444828,393512,470460,390618,368166,397633,401610,325138,281731,571844
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",603399,637229,574401,463335,444379,432868,461299,499600,510224,557526
852691,Radio navigational aid apparatus,977150,867512,831132,815610,712901,452222,400274,503430,427124,554730
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",256527,284677,422388,276034,257793,320099,286111,197398,193099,538148
900130,Contact lenses,145868,173814,208175,242644,291175,362901,434757,444454,433065,533878
720918,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",590264,528697,497701,322607,295768,363918,419529,371684,304429,528891
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",1082308,1146282,1014617,711312,576136,685290,776158,512919,353912,524630
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",203708,235733,261421,188074,229721,335497,424579,377723,346230,504340
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",557152,507341,575835,456048,371315,484274,493299,367719,315520,502526
846591,"Sawing machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials ...",153726,193326,237119,218368,232959,247525,222839,258973,386533,487520
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",148099,146502,264539,285792,416033,345012,340500,313888,327199,483655
