Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658
999999,Commodities not elsewhere specified,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",111926,153236,178537,188256,283180,431639,695244,1194169,1748997,4426010
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",1630398,1868144,1962344,1974574,2008435,2311678,2599179,2825387,2676329,3230456
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",111706,135239,92150,551223,1617756,2325299,2000068,3507962,4460421,2997497
940350,Wooden furniture for bedrooms (excluding seats),900200,1002600,1060964,1014195,1088113,1186412,1219627,1325972,1363822,2926426
80132,"Fresh or dried cashew nuts, shelled",1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359
852580,"Television cameras, digital cameras and video camera recorders",73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",562330,838610,1167426,1277542,1186342,1288475,1429324,1555263,1518887,2289217
90111,Coffee (excluding roasted and decaffeinated),3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853
850440,Static converters,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",55150,61419,116925,135325,323575,476915,592544,470426,492149,1939934
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",8397950,7375358,7224230,3823780,2578325,3108577,2146666,1892580,1568351,1895860
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",480336,665758,790179,817012,859628,1058541,1435655,1510901,1233445,1792798
400280,"Mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural ...",1574,1891,2227,212786,750663,1277635,1102106,1256487,1563367,1780607
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",3465298,2816412,2852873,2620651,2039764,2443631,2461880,2163697,2360612,1706248
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",581468,692154,937915,1146904,1188910,1390720,1504113,1656412,1315052,1684502
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",226495,303976,444073,579426,657799,872311,945371,1049498,1196848,1543758
620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excluding ...",480199,603948,780841,920727,950496,1097543,1306111,1343366,1196554,1507200
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337
