Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",4251694,3359788,2659438,2576592,2838938,2943383,2909468,4676917,5937464,4609671
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",3661976,3569841,3532124,3251748,2735680,3285651,3606050,3478510,3886596,4425549
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",3819818,3629253,3922030,3751207,3589882,4131436,4273962,3980281,3816708,4165658
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2865050,2953895,2942764,3292837,2390840,2985247,3234254,3166269,2268401,3991799
999999,Commodities not elsewhere specified,5954906,4754792,6393275,5498171,1962649,11296198,4467961,3187917,1689736,3441906
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",2508429,2624124,2621305,2603564,2500042,2363943,2387671,2107909,1927074,2450949
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
300220,Vaccines for human medicine,370011,477343,358733,287861,263479,345883,288491,292520,289704,1761029
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,911014,1113101,1075950,1192741,1719665
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,137831,284489,564837,1144747,1687075
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2562933,2263376,1826566,1903733,1715023,1867446,1895786,1681537,1063742,1593172
210690,"Food preparations, n.e.s.",1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1014067,595557,643616,563170,466886,969348,1585756,1470018,1178581,1370466
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",931010,936199,978367,973628,948976,1030846,1063379,1020308,1112275,1338554
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",568712,495790,487413,491124,603764,569955,577289,497239,444519,1310912
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1237485,1082673,1033761,934861,925876,1007858,965267,907918,964459,1229513
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
