Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),90393655,102080390,90751176,55691375,55927221,74278723,72674453,95884545,113324502,168938362
854232,Electronic integrated circuits as memories,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
260300,Copper ores and concentrates,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
120190,"Soya beans, whether or not broken (excluding seed for sowing)",34976583,38009432,40261719,34895182,33958258,39627273,38077974,35419584,39527998,48306016
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,43120648,41153518,10917406,42874153
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
271111,"Natural gas, liquefied",8276317,10651168,12217869,8899129,8921502,14743803,26771031,28834127,23393442,36795887
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",30878720,36289111,48735349,36112111,35433372,37905123,36840853,31983334,33023500,36761510
740311,"Copper, refined, in the form of cathodes and sections of cathodes",27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
847170,Storage units for automatic data-processing machines,25590038,19062401,18732128,17373461,18323375,18393616,22513570,22783544,25638968,26704498
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",999917,1123503,1923142,2721208,3580664,5078685,8824071,11714719,15889177,16977906
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",18117661,19775885,15178105,7816083,8793149,15388837,16065549,16093804,13877449,16372479
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",7188997,7260790,7870049,7166856,9078942,11988359,11936518,11351178,13855266,15791199
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
854233,Electronic integrated circuits as amplifiers,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
999999,Commodities not elsewhere specified,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
271112,"Propane, liquefied",1687655,2193715,3986548,4412636,4397228,6663114,7896298,7363372,6527279,11421462
