Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
999999,Commodities not elsewhere specified,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
271121,Natural gas in gaseous state,40407163,40953014,35900053,31314518,22610679,23060442,30975605,30331345,22767975,45693494
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",76779920,75727628,65737928,36513217,28776094,36231014,45086740,40738077,27401959,39962984
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",8847432,7869203,10222954,10596654,10250296,11028789,11239636,10826684,13654158,17575276
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",23761969,26820702,22678918,13970891,12235047,14189323,17461245,17496797,10501298,13236501
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",15924786,15391094,16870714,16514710,18129770,19281934,18815793,20659114,16401272,12273049
300220,Vaccines for human medicine,971355,1349068,1755111,875717,944031,983109,1187614,1224933,1478966,10746191
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
850760,Lithium-ion accumulators (excluding spent),565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",8869822,8494804,10377373,9689513,10859926,12806360,15507777,16039964,11635693,10001194
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",8462325,8394870,9367114,8448928,9736243,11562125,13570966,14061441,11155613,9554730
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,619212,854430,1624813,4797368,8883204
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",4645856,4659023,3045488,3429044,4378231,4147006,3538856,3308204,6200531,8200355
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,463671,409813,1992920,5492965,7466435
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",8855070,8479512,8346132,5218218,4096770,5228695,6687141,5715520,3595136,7443292
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,8326241,8711940,6497640,8143472,7225254
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
850440,Static converters,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
