Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",148757013,148046659,135826203,72365746,60865954,82065030,115082789,101948597,64579748,106406787
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",14539235,15386950,17392104,13569272,16454881,19429855,16706474,13480570,9369200,17302762
271111,"Natural gas, liquefied",7795965,8311492,9888690,7133087,5425188,7204333,10912584,9550077,7908672,12078526
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",6300566,7136329,4211932,2824254,2453509,7749452,9857779,8308820,6297469,8501189
151110,Crude palm oil,6197200,4884715,5319597,4574502,3666718,4574632,4004944,3561007,4936263,8317254
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",3249179,3046409,4061438,2516647,2113546,2824551,4113189,3945509,3876079,6376946
271112,"Propane, liquefied",1851045,2037686,2802452,1766614,1299049,2005282,3406829,3299486,3422159,5525695
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",2644195,2667358,2103064,2619522,1455515,1296963,1457788,3088373,2936683,4168321
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
150710,"Crude soya-bean oil, whether or not degummed",1379557,1192973,1984771,2698492,3012547,2747028,2273909,2209936,2774891,4127096
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",3398943,1752648,1824174,3104234,1690454,1469851,2766606,2164582,2121551,2838102
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",981782,1033925,1071586,1092561,1291374,1401143,1218039,1407069,1675853,2808602
260300,Copper ores and concentrates,4884537,7443378,5320205,4096144,2458286,3900957,2640129,1187735,897664,2523909
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",1017497,1261967,1933794,1379336,1692022,880901,1726451,2229096,2764625,2456173
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
151211,Crude sunflower-seed or safflower oil,1314437,1247601,1532999,1313438,1315574,1865254,1907134,1794797,2072756,2396173
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",1731628,1358178,1246672,1574746,1621444,1670788,1869057,1931623,1550092,2332850
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
854232,Electronic integrated circuits as memories,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",688344,780456,922266,1345915,1178434,1404615,1806513,1822917,1681072,2119773
841112,Turbojets of a thrust > 25 kN,91850,303222,536645,646333,804444,2021752,2586248,3655700,1810754,2039248
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",221967,317323,219142,256515,182864,183793,265717,187542,829801,1906814
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",119185,108453,91344,86715,99774,143241,210628,448496,1097295,1879024
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
