Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
271111,"Natural gas, liquefied",75251801,72347669,74222367,45759355,30269468,34927339,42851145,39947943,30139915,38997224
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",26841965,21797137,18132577,14909027,14105898,21202114,23611052,21638755,14794072,23449598
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),17269502,15600111,13928034,7994026,6135076,7880612,7543659,9025862,8465118,16057927
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
260300,Copper ores and concentrates,11493511,10646491,9886570,8264843,7444980,8338268,9834838,8292775,9301127,13046748
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
999999,Commodities not elsewhere specified,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",8112151,8141275,8734593,6598812,6100784,6948578,7058312,8230897,11359563,9919444
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,4478193,5809067,7248923,8035942,9569768
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
