Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
854232,Electronic integrated circuits as memories,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",35750509,33573234,32096516,16069861,12910667,16836698,23346537,21326199,12624769,19889322
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
271111,"Natural gas, liquefied",9862571,9795381,9950352,6334058,4920209,6379084,7972160,7585048,5510295,10997299
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",7585853,6556226,5754844,4714974,4467025,6629972,7296867,6017990,4211568,7263761
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
999999,Commodities not elsewhere specified,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
740311,"Copper, refined, in the form of cathodes and sections of cathodes",3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),2076676,2297202,2022149,1267157,1155706,1515486,1567562,1910753,1975842,3764318
853400,Printed circuits,1328828,1381011,1517079,1483156,1442312,1554941,1750855,1975409,2669488,3610051
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2103768,2479808,2872225,3327838,2740189,3303006,2927907,2912415,2864680,3412687
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1464910,1949245,2242929,2587409,2944413,3298631,3719970,3394451,3100539,2923107
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,594546,822646,541418,639030,792519,788195,680513,1160644,1406793,2047539
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",1332500,1343417,886475,630992,748402,977151,1085863,1176452,1711229,2006601
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1169284,1289999,1162902,923146,873488,1045990,1103012,1162373,1311670,1982258
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
850440,Static converters,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
260300,Copper ores and concentrates,278,1068,278,125,757133,616941,432704,871156,796457,1586348
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",1196710,1381708,911599,740109,732433,886993,632576,1336698,1568006,1574351
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",557709,640294,935289,789051,787372,871180,868565,954901,1117903,1555829
120190,"Soya beans, whether or not broken (excluding seed for sowing)",0,98542,1346635,1167067,1015666,1072624,1070302,1026947,1039160,1496636
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,118871,241582,608045,1214287,1457099
290243,P-Xylene,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
841191,"Parts of turbojets or turbopropellers, n.e.s.",118551,196292,226022,270985,458330,1002767,1451720,1471279,1252761,1382676
100590,Maize (excluding seed for sowing),1412870,1184532,1030069,873753,784068,846947,854314,978340,886651,1322745
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",715191,888340,894209,670537,686750,726068,775735,648799,673887,1203443
847170,Storage units for automatic data-processing machines,1246401,1081479,1163388,1126984,1243629,1254426,1027579,853369,959553,1175897
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",296582,371949,485055,435285,442374,637967,772354,820460,914004,1107170
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",401559,310146,254619,429130,292367,273412,312997,338515,403368,1097867
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",299582,315893,294812,301194,1961184,1754520,1666242,1771358,1036900,1079602
847989,"Machines and mechanical appliances, n.e.s.",761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",307231,307016,342303,395071,503199,380935,445694,608809,642266,1042846
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",792653,744442,777600,664633,641569,686910,721163,809443,939699,1024035
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1221393,1098751,1328129,1434975,1390726,1274702,989660,759028,809945,1008976
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
760120,Unwrought aluminium alloys,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),641871,556525,541670,452998,495701,565369,682141,661718,757576,945366
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",714714,870063,899217,898025,671416,642346,772799,389164,775887,924304
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",320807,253878,242755,131266,64025,134549,723552,901374,680800,885323
760110,"Aluminium, not alloyed, unwrought",736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",282789,300739,311014,312689,325300,366238,422784,523459,593344,830682
850231,"Generating sets, wind-powered",54249,52761,5883,15023,35406,1453,11708,172105,426791,817867
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,326029,471440,527447,657576,794203
848640,Machines and apparatus specified in Note?9 C to chapter 84,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
210690,"Food preparations, n.e.s.",487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
854160,Mounted piezoelectric crystals,35998,36273,45277,155201,361893,407451,384666,367122,477121,764748
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",414725,391742,418926,393647,417498,460269,504051,533228,617853,747299
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",602868,606523,624555,635325,773767,743211,867852,850633,719443,731481
721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, ...",439950,507035,577747,387325,346140,436359,427459,477788,452365,719167
290220,Benzene,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
850450,Inductors (excluding inductors for discharge lamps or tubes),248514,280545,275409,271051,371190,410666,409274,372934,493981,694692
