Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",322024504,279485062,253228702,132603443,108092133,139299866,162751066,132345669,81821051,138383896
999999,Commodities not elsewhere specified,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",44088553,50046790,53317172,53049348,50161401,56403427,53921021,54642749,49453039,61659011
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",44118432,43235338,42589984,39807140,36356774,40393506,40173035,40818542,51636353,60802219
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",66060507,62626915,60847022,58263034,50612821,47621466,39650709,37906084,30137642,33601887
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",15205756,15322330,14673832,17913210,19696574,23484926,31688073,31361991,32056333,32735014
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,14582107,15746930,17475530,16901297,15459911,22213694,27343247,18886041,23315430,29874393
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",14982331,16865818,17807569,18228174,20936555,21096526,21617960,21568402,21399322,27551320
