Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1620554,1757711,1668350,3168807,4906415,6622602,7209790,11047942,14383418,22155543
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",4269337,7124265,7378361,9533723,9517484,15204516,14802280,13267263,16072143,20573443
854232,Electronic integrated circuits as memories,6590,36148,163057,271005,60141,105308,239639,585499,2078653,11277300
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",5424177,8082158,8174381,9101142,10810658,13812327,15956451,18170636,20975941,9832117
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",414170,653291,1208468,1734824,2235372,3131190,2695355,2934933,4545232,5241639
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",6359577,4989501,5656485,4385832,4317746,5579364,6441341,5000670,3069394,4146904
853400,Printed circuits,1096933,1454196,1455255,1888961,2311807,3356674,3314284,3554704,4105170,4135823
999999,Commodities not elsewhere specified,352212,656875,742157,766409,205930,290383,3258629,3600566,2139161,3659028
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",740738,986442,1290941,1397673,1587315,1850351,1671646,1760807,1498777,3194830
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",32484,24051,45394,12766,381218,2138995,2979300,1567929,796111,3089305
850760,Lithium-ion accumulators (excluding spent),198721,182078,673182,668028,701292,1063209,1302762,1660844,2210261,3086601
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",239574,374237,324056,522706,635755,866923,1723199,3095809,5073553,2812908
520100,"Cotton, neither carded nor combed",860882,1154569,1422723,1607212,1643254,2331827,2727485,2400181,2176156,2715882
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1391956,1633973,1090738,721938,888301,1644841,1426658,2123609,2213437,2477655
100590,Maize (excluding seed for sowing),462771,624214,1170180,1614132,1644258,1474889,2085299,2288632,2382111,2338105
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",175590,186418,185360,240889,398005,823290,1243149,1634989,1415077,2254665
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",530528,774965,801458,803904,1265449,1725660,1716174,1898459,2079014,2154733
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",1269827,1743312,1859789,1966073,1854731,1728209,2054226,1845242,1925724,2096521
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",1401678,1234390,1233460,801767,863671,1381740,1866132,1603331,1581285,1983490
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",204408,160879,200045,136059,167093,216437,208927,281509,295805,1926551
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,459937,1036622,992844,1142466,1010985,1060831,1061554,1391566,1855737,1878832
600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",182040,268524,312684,352161,554515,716562,764730,875582,919619,1875685
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),2435,2435,5039,5972,130633,242193,683379,1057975,1388639,1649065
740311,"Copper, refined, in the form of cathodes and sections of cathodes",712405,736925,868618,929051,1008187,1429611,1525480,1592353,1434014,1607435
847989,"Machines and mechanical appliances, n.e.s.",457395,726909,643986,857013,938223,2890186,1140655,1125335,1100473,1555067
