Product code,Product label,Australia's imports from China-Value in 2012,Australia's imports from China-Value in 2013,Australia's imports from China-Value in 2014,Australia's imports from China-Value in 2015,Australia's imports from China-Value in 2016,Australia's imports from China-Value in 2017,Australia's imports from China-Value in 2018,Australia's imports from China-Value in 2019,Australia's imports from China-Value in 2020,Australia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,45143988,45079908,46332813,45946735,44159288,48364029,55166019,54664941,57621451,67914125,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",3439537,3326604,3349991,3028983,2564263,3070588,3399738,3282849,3708324,4259935,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,3661976,3569841,3532124,3251748,2735680,3285651,3606050,3478510,3886596,4425549
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2737011,2665279,3007002,2875469,2713008,3069317,3203293,2997155,2910987,3234193,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,3819818,3629253,3922030,3751207,3589882,4131436,4273962,3980281,3816708,4165658
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",909908,1044512,1066637,1185425,1414354,1514812,1712386,1807223,1709979,1737448,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",782419,483535,445899,409332,371088,670302,1299467,1291493,1013489,1237882,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,1014067,595557,643616,563170,466886,969348,1585756,1470018,1178581,1370466
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",17158,23833,417914,543262,840340,850403,1527777,2331114,1466700,1140125,,18066308,19488962,20552135,15560518,15147123,19758821,27309997,28887569,19071132,22162522,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",706320,728425,756335,757390,777007,865430,908626,865585,926783,1103875,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,931010,936199,978367,973628,948976,1030846,1063379,1020308,1112275,1338554
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",223099,158872,169913,197249,233137,321495,614266,588501,606089,812949,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",727145,751870,583048,1029607,368491,432295,579594,455194,520495,603692,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,1517536,2163714,1516504,1896507,944575,599599,814894,687706,766640,1055814
850440,Static converters,286916,260666,283726,288689,292394,373518,388808,411377,515142,600487,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
