Product code,Product label,Australia's imports from Germany-Value in 2012,Australia's imports from Germany-Value in 2013,Australia's imports from Germany-Value in 2014,Australia's imports from Germany-Value in 2015,Australia's imports from Germany-Value in 2016,Australia's imports from Germany-Value in 2017,Australia's imports from Germany-Value in 2018,Australia's imports from Germany-Value in 2019,Australia's imports from Germany-Value in 2020,Australia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,11560019,10998564,10652955,9252370,10069733,10428988,11165066,10099571,9323815,10695849,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",993909,1174036,1379941,1195707,1388595,1232602,1249863,1124968,744780,771115,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",780038,854821,932757,772131,738763,749892,675672,623567,775941,747316,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,236149,269081,267427,302363,298256,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,911014,1113101,1075950,1192741,1719665
870510,Crane lorries (excluding breakdown lorries),0,0,0,22633,66962,115743,158043,196814,125084,210729,,2473420,2555178,2432857,2052684,1842465,1925006,2315144,2379957,1803546,2238850,,0,0,0,26145,81006,128716,249694,251890,158856,243944
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",192964,265030,263297,328040,283768,287103,267159,269064,217293,200321,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
843351,Combine harvester-threshers,14107,14045,11411,11692,79682,105032,88005,64623,61361,168853,,1107489,1209447,1015911,857187,841211,1014966,1128204,923463,933527,1344511,,234937,160088,136044,138145,173704,224603,168943,127942,124486,314815
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",295276,282419,258241,288055,393373,338885,355408,233932,136092,164255,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,2562933,2263376,1826566,1903733,1715023,1867446,1895786,1681537,1063742,1593172
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,88651,81690,84081,116607,150143,,0,0,0,0,0,1794813,2134682,1992485,2124836,3084919,,0,0,0,0,0,207140,188323,166099,215285,319050
850440,Static converters,150552,100707,100445,59668,56269,87882,110901,87442,108912,120696,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",92852,77063,85939,82105,82202,84068,96798,82400,95761,103437,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
847989,"Machines and mechanical appliances, n.e.s.",390887,79903,71965,63233,86251,76362,88635,134721,75342,103310,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
