Product code,Product label,Australia's imports from India-Value in 2012,Australia's imports from India-Value in 2013,Australia's imports from India-Value in 2014,Australia's imports from India-Value in 2015,Australia's imports from India-Value in 2016,Australia's imports from India-Value in 2017,Australia's imports from India-Value in 2018,Australia's imports from India-Value in 2019,Australia's imports from India-Value in 2020,Australia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,2662466,2292350,2711800,3564981,3246948,3889204,4074446,3229211,3683046,5974034,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",154541,9607,121374,678614,562473,850003,829120,181471,664374,1946268,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",129420,149487,158128,163871,214814,218865,251993,263182,290336,387097,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",176094,189784,206584,192295,200419,208516,206923,177593,166669,259506,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,419480,441587,471332,415885,414607,433675,423995,415556,360735,499897
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",14582,0,148759,562497,295986,339288,82252,78861,260510,213228,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,2865050,2953895,2942764,3292837,2390840,2985247,3234254,3166269,2268401,3991799
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",133876,128517,117375,113771,112664,120062,126301,129663,107133,151641,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,649352,670282,680273,645972,678491,749131,778546,838346,726916,1063239
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,8126,127484,36397,0,49604,,0,0,0,0,2,10961,152042,37630,16203,152995,,259775,389093,76253,13993,0,40427,413263,307673,278738,366829
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",10491,14711,19683,18081,21316,27470,33451,36286,33721,48780,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,386719,400377,401033,425898,417320,464826,494126,509405,460757,574443
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",28972,36716,45193,40079,34266,42533,53843,58127,75435,48221,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,138504,148611,161413,140124,129499,135952,163748,195451,249653,171380
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",35492,28866,31131,36447,35128,36551,34995,34649,31761,47116,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,115556,117354,120755,129820,121202,130757,122557,116019,111838,149529
