Product code,Product label,Australia's imports from Japan-Value in 2012,Australia's imports from Japan-Value in 2013,Australia's imports from Japan-Value in 2014,Australia's imports from Japan-Value in 2015,Australia's imports from Japan-Value in 2016,Australia's imports from Japan-Value in 2017,Australia's imports from Japan-Value in 2018,Australia's imports from Japan-Value in 2019,Australia's imports from Japan-Value in 2020,Australia's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,19408977,18057040,15120324,14661163,14565833,15990826,16778374,14901414,12086838,15176361,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",4073744,3629981,3338868,3061008,3436521,3808709,3845117,2980034,2652212,3679879,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",1493962,1169196,1098521,898207,1029076,1106565,1273387,1133452,1223971,1424148,,4988776,4055191,4311529,3561772,3568150,3687670,4027408,3503595,2862022,3278869,,2508429,2624124,2621305,2603564,2500042,2363943,2387671,2107909,1927074,2450949
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,136049,280655,534972,1098251,1342732,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,137831,284489,564837,1144747,1687075
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1538129,3323390,2315738,2416157,1787804,2051170,2211876,2796021,716874,846676,,10748957,13262388,11429126,8131501,6527682,7194643,8637671,9427105,4684624,5619135,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",549838,426793,391690,347263,379072,531689,536781,539118,649660,821231,,1780379,1658510,1905092,1724152,1712004,1864177,1950214,1970692,1828092,2262500,,4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
870422,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",572737,492785,414017,385018,402682,389607,466693,307904,305109,560569,,5701383,4870748,5314745,4947932,4597140,4215465,4191716,3951568,2912694,4615752,,692226,571454,522099,436688,477792,506171,581778,406366,368800,687652
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",787477,407302,303876,273151,336873,361669,479042,320769,314720,501935,,8796642,6274793,6302923,5436446,5964075,6953668,7957695,7455007,5856728,8248127,,1546161,864751,483341,403544,484890,566962,870573,733245,665826,995128
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,320482,379197,425034,363174,388073,,0,0,0,0,0,1629635,1882674,1967193,1559544,1897973,,0,0,0,0,0,606780,780176,862347,785971,761094
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",211154,174624,184589,139825,159665,201901,303751,171958,126339,329405,,2276848,1352354,1365181,1102418,885134,947092,1002505,841579,602855,1076719,,367621,273142,288856,210943,274549,358356,517413,329894,247251,511495
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1079014,837905,291090,324730,232641,200882,218814,207296,233784,256006,,28739068,26481116,24971924,23414386,21565608,20408888,21883156,18150073,14150839,15219267,,2562933,2263376,1826566,1903733,1715023,1867446,1895786,1681537,1063742,1593172
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",585344,396358,303378,238614,186999,344448,326707,281335,207874,225435,,8021167,6803802,4949131,4930431,6090438,4185856,7018835,5502329,2680999,2997833,,1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
870410,Dumpers for off-highway use,198748,46196,124248,46746,40500,78991,128328,143530,159818,145581,,1418554,695008,511596,452088,450137,765212,1060540,743852,440683,931122,,2904685,729661,474436,301523,254991,372882,749700,798717,838024,929666
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",353654,362881,316346,265098,193108,187848,174544,151152,117636,138585,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,949682,958133,866669,767634,561250,496871,459543,406577,346389,412353
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",26147,121,45828,76457,83131,111763,108002,299071,113593,122618,,877350,1400513,1943895,1483907,1071297,1699836,1633144,1527156,872097,1610589,,2865050,2953895,2942764,3292837,2390840,2985247,3234254,3166269,2268401,3991799
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",68365,40060,38292,44956,57112,74607,132416,106425,93735,119221,,2291970,1596532,1556977,1209474,1306332,1818446,2090725,1733903,1258041,1743400,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",145895,91668,78680,51665,57933,74180,91473,66669,78390,105350,,1145208,864227,817410,672184,605145,611653,685968,569136,502193,656525,,529465,395139,325447,274864,256277,338619,402904,378848,360698,495421
