Product code,Product label,"Australia's imports from Korea, Republic of-Value in 2012","Australia's imports from Korea, Republic of-Value in 2013","Australia's imports from Korea, Republic of-Value in 2014","Australia's imports from Korea, Republic of-Value in 2015","Australia's imports from Korea, Republic of-Value in 2016","Australia's imports from Korea, Republic of-Value in 2017","Australia's imports from Korea, Republic of-Value in 2018","Australia's imports from Korea, Republic of-Value in 2019","Australia's imports from Korea, Republic of-Value in 2020","Australia's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,9865351,9458832,10276608,10617943,8095134,15628204,9515623,8045338,6025446,9073673,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2172748,2542875,3257311,2815636,1683392,3223286,3598325,2509191,1152174,2528047,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1203599,1128129,1118051,1029583,1086927,1346035,1230347,1292218,1079268,1256598,,27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",632349,837521,831338,1488413,1187029,1105586,950415,843401,476833,746056,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,2865050,2953895,2942764,3292837,2390840,2985247,3234254,3166269,2268401,3991799
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",763049,705381,439431,397567,493830,473845,451995,345525,389470,527058,,6034134,6151878,5560077,4646467,4481430,4579433,3585671,3045909,1978424,2951955,,2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,0,0,31709,94409,256651,,574772,0,106762,340011,263425,6984,43681,187751,353729,741262,,259775,389093,76253,13993,0,40427,413263,307673,278738,366829
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",52053,82974,70891,134759,235366,274867,194514,134868,79406,188508,,4315463,5974465,6274632,6286163,5993315,5679410,5679139,5394697,5259587,4976938,,1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",115505,53603,51464,74025,73313,127938,156570,162283,102868,186563,,2744367,3640016,4505947,5145696,3608637,4118844,2632673,3810287,4117174,6135106,,2562933,2263376,1826566,1903733,1715023,1867446,1895786,1681537,1063742,1593172
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",82681,82261,77949,81833,90545,98569,109028,110455,120486,131004,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,187766,186559,206564,202031,200322,218047,237269,232922,241544,249010
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",92910,78384,72369,93045,84136,85858,67186,93854,85201,104117,,1996737,1703639,1459122,1324630,1133931,1298804,1382532,1244474,967581,1294414,,4428333,4210299,3779857,3796600,4193886,5090265,5428024,4578861,4071876,6109531
300220,Vaccines for human medicine,1371,49,0,0,0,0,38,0,0,96609,,204305,209983,194049,199138,205851,183491,165948,142584,172581,518635,,370011,477343,358733,287861,263479,345883,288491,292520,289704,1761029
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,19540,61,3375,2596,80417,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,911014,1113101,1075950,1192741,1719665
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",2107,2075,1342,5504,17462,96759,105144,101261,100760,77919,,982862,1078578,1196127,1224170,977325,1253736,1502967,1525444,1473878,2036694,,210179,215611,243601,264896,309062,428303,478742,436686,428635,622728
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",1030,1618,2796,3690,4342,5362,5395,7942,21288,77913,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,344077,349175,337007,336682,363437,388821,383844,396728,530759,807792
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",102103,75559,60678,32190,44315,62811,87761,47706,51809,75420,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,1546161,864751,483341,403544,484890,566962,870573,733245,665826,995128
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,25,284,34571,19188,71894,,0,0,0,0,0,421247,1092526,2353736,3904372,5649118,,0,0,0,0,0,104050,67204,221581,207546,735396
850760,Lithium-ion accumulators (excluding spent),1246,1256,2518,5663,9835,35776,25429,32140,34821,69735,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,85045,102352,118151,119896,156551,264456,308046,386732,340112,736260
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",59133,65452,57991,52600,54090,59126,66636,49801,51728,59796,,2106784,1947273,2027527,1839671,1750696,1628670,1326131,1481253,1863746,2736438,,281632,285576,303212,330747,368862,427005,425215,417346,462925,480234
790120,Unwrought zinc alloys,2106,3535,22701,24848,23952,44225,41688,32951,36383,59351,,165544,182457,214225,258574,283713,413500,461961,338479,277417,432195,,2312,4033,22901,25582,24219,44601,42068,34478,39031,60149
271320,Petroleum bitumen,49360,79196,75389,76937,49346,103072,130194,74231,52839,58805,,1396932,1796318,1950126,1344636,811727,1328540,1388038,1268496,892827,898280,,404522,496992,410666,254064,135064,269635,362786,338974,302806,386883
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",6456,10345,18253,25307,31736,47207,46034,40355,40416,50538,,335733,405344,449818,418359,480304,495151,550927,611385,555282,692563,,102454,104368,116817,125704,129598,156150,184366,183037,208637,260781
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",72282,61606,51644,46197,43677,49651,50550,46501,32725,47068,,2884298,2661989,2677039,2355158,2371175,2404509,2449409,2389231,1944390,2059200,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",8012,19309,13807,19155,16879,14524,29447,25939,53248,44646,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,171850,235544,257563,259728,259796,287425,318134,275914,306811,344997
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",0,0,160,2136,10157,15849,43445,28403,30122,43984,,363635,476925,429052,314784,292834,389629,435958,389346,334928,477868,,3800,25421,185062,225762,213330,303813,316203,282786,252755,390814
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",4488,6324,8922,13163,15943,20822,30860,36330,37744,40642,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
741110,Tubes and pipes of refined copper,25814,29264,40469,52052,38369,46178,42645,39109,30496,38570,,395090,401242,388895,333406,258868,305123,303545,267970,258538,419367,,60944,67215,78010,92528,78974,110818,112669,102200,97638,135133
