Product code,Product label,Australia's imports from Russian Federation-Value in 2012,Australia's imports from Russian Federation-Value in 2013,Australia's imports from Russian Federation-Value in 2014,Australia's imports from Russian Federation-Value in 2015,Australia's imports from Russian Federation-Value in 2016,Australia's imports from Russian Federation-Value in 2017,Australia's imports from Russian Federation-Value in 2018,Australia's imports from Russian Federation-Value in 2019,Australia's imports from Russian Federation-Value in 2020,Australia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,881332,999778,1180046,252998,161262,308234,158490,293140,145972,340602,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
310280,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excluding those in ...,61789,41439,16202,0,0,0,32611,32610,38000,95245,,349713,407876,399994,318753,257858,229527,345740,372543,198963,572791,,74307,43561,35919,10454,10575,20663,60854,53020,59826,126464
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,0,0,45055,,1291850,1411749,1300720,1350827,1129884,1618994,2143108,1623385,2111142,2251932,,45,56,128,42,4808,53,166,141,18246,141965
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",773495,904003,1106606,150693,92399,221035,0,143729,17103,44570,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
441860,"Posts and beams, of wood",0,162,1909,13069,16005,14676,16319,19493,10297,36521,,2000,2804,3327,3754,7164,10247,16449,16897,14660,29960,,52514,59589,68994,84415,77984,91431,104856,86441,64478,124681
283325,Sulphates of copper,0,0,12254,24000,3364,13942,6579,9979,9942,17318,,96625,92403,99765,91028,76877,71700,70987,73460,85869,127549,,41867,11843,38875,57654,16624,37593,49726,71245,50057,84333
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",0,0,119,0,0,64,34,45,127,11523,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,2809,2360,3839,4685,6948,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,59673,82723,89421,94559,126126
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",69,42,1179,1028,2433,3770,3294,1276,389,5166,,32819,24978,22815,43582,34111,45158,45959,33356,40258,71656,,88526,61827,68953,65963,75947,75685,65603,44734,45257,78439
720221,"Ferro-silicon, containing by weight > 55% of silicon",433,1384,1585,7099,5574,2768,2849,2870,3393,4824,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,18553,16844,18767,14912,12316,15894,18763,12232,12574,19865
