Product code,Product label,Australia's imports from Saudi Arabia-Value in 2012,Australia's imports from Saudi Arabia-Value in 2013,Australia's imports from Saudi Arabia-Value in 2014,Australia's imports from Saudi Arabia-Value in 2015,Australia's imports from Saudi Arabia-Value in 2016,Australia's imports from Saudi Arabia-Value in 2017,Australia's imports from Saudi Arabia-Value in 2018,Australia's imports from Saudi Arabia-Value in 2019,Australia's imports from Saudi Arabia-Value in 2020,Australia's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,369195,203750,291638,259779,321970,228776,409887,301932,587544,575969,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",169683,102806,152382,130098,101084,114840,76418,125365,147458,215629,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,669048,610337,599144,498065,466432,492830,469977,558011,605332,1102908
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,27746,12751,15120,38864,58821,71573,32054,147948,,245,0,0,39,0,19,0,0,0,618424,,372078,271584,390925,348220,347098,321550,369757,360638,310503,582751
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,0,0,323418,88817,,209087,137842,287775,302568,729583,529108,511186,649474,1840754,1074605,,4251694,3359788,2659438,2576592,2838938,2943383,2909468,4676917,5937464,4609671
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,10801,17551,18420,18982,28134,14865,7165,44431,,522,48,0,0,0,87,0,0,0,1030204,,91593,95821,99498,109981,61537,44025,65381,93435,69203,127647
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",0,0,0,0,373,6339,8640,9377,9583,13580,,247,626,474,1673,5662,5998,8120,8441,340567,28162,,210179,215611,243601,264896,309062,428303,478742,436686,428635,622728
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,984,9565,5390,609,3348,4173,10949,8355,7648,11046,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,44308,44359,38859,33722,37256,59030,62176,53811,60498,70292
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",4639,3804,3548,3881,3551,3925,3978,4585,5020,5639,,19512,10248,28823,26141,5967,14770,49479,77423,69256,142109,,22569,24557,24479,25174,22404,25087,22203,19873,25680,27505
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,0,0,0,0,0,1763,127,416,5621,,0,0,125,63,74,18539,77603,65000,54890,150753,,9248,8416,11758,11503,7670,7765,13645,17863,19690,32989
540233,Textured filament yarn of polyester (excluding that put up for retail sale),134,500,0,1309,4518,5852,5665,5429,5368,3822,,1293,385,0,44,274,308,2585,2407,195,943,,16244,20397,18024,14109,16363,17514,18251,25033,27243,32438
