Product code,Product label,Australia's imports from Singapore-Value in 2012,Australia's imports from Singapore-Value in 2013,Australia's imports from Singapore-Value in 2014,Australia's imports from Singapore-Value in 2015,Australia's imports from Singapore-Value in 2016,Australia's imports from Singapore-Value in 2017,Australia's imports from Singapore-Value in 2018,Australia's imports from Singapore-Value in 2019,Australia's imports from Singapore-Value in 2020,Australia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,14834957,12509440,11506710,6964746,5244129,6174137,8597190,7070901,5248180,9366033,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",7708974,6714949,6024698,2859249,2153131,2788767,5289301,3658744,2041900,3795470,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2013502,2003036,1658487,922163,634693,940830,927624,897329,721389,2488037,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,2865050,2953895,2942764,3292837,2390840,2985247,3234254,3166269,2268401,3991799
210690,"Food preparations, n.e.s.",557545,538721,496557,447550,419810,277281,165992,401011,377371,458011,,441219,1085009,1574538,1437089,1457191,1506006,4754049,5173579,5798884,6430706,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",207149,169639,122243,280585,190729,223607,204060,174919,169063,322898,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",232284,24356,37148,0,20998,0,47152,90677,190369,192309,,159,434,121,16830,168,68134,49961,15,5,170175,,22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,115,1680,75912,74343,136034,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,911014,1113101,1075950,1192741,1719665
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",570893,0,99863,79,675,0,7892,9150,0,103376,,51401,68322,123431,65013,78852,86717,242767,30982,38256,41277,,611929,205741,380800,57481,134943,81887,26601,19350,10056,461499
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",1774,2090,1803,1737,1187,31890,74080,81010,81782,92806,,1191340,668323,404269,400124,402874,526692,745327,874307,906798,1031771,,85137,85810,95941,83929,94198,93230,110327,114923,120215,140018
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,80104,75432,74994,59621,51711,65324,71649,66849,67980,68506,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,158071,162634,156265,140433,132935,142238,143418,144578,146809,137725
