Product code,Product label,"Australia's imports from Taipei, Chinese-Value in 2012","Australia's imports from Taipei, Chinese-Value in 2013","Australia's imports from Taipei, Chinese-Value in 2014","Australia's imports from Taipei, Chinese-Value in 2015","Australia's imports from Taipei, Chinese-Value in 2016","Australia's imports from Taipei, Chinese-Value in 2017","Australia's imports from Taipei, Chinese-Value in 2018","Australia's imports from Taipei, Chinese-Value in 2019","Australia's imports from Taipei, Chinese-Value in 2020","Australia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,3396257,3508962,3685066,3283960,3253940,2856946,3124261,3345267,3161214,4362630,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",141755,550040,549958,486383,325130,31468,237579,641971,500765,900977,,17857579,18440537,15792613,9032858,7623629,8398969,10883311,10339758,5106760,7813938,,13872317,15028313,14117914,10824976,8639235,11742237,15736148,14426915,9131905,15069781
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",34919,34738,42818,53915,73346,181808,128984,187752,197331,267452,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
240220,"Cigarettes, containing tobacco",1585,1084,0,0,0,0,0,0,27464,129049,,46561,37689,59608,59079,85239,101909,137472,137464,122926,201632,,174586,281156,437336,549229,592649,611377,647798,643376,446688,386280
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",88132,108973,95392,82599,77248,76347,86436,77540,73955,75390,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,242870,263650,242049,225135,190203,196106,207486,196913,230716,279822
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,60724,55057,53010,46098,34549,42314,44786,42269,46579,63721,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,584615,477808,532402,469892,422933,443140,459529,405772,480372,626086
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",10980,13020,18851,22648,31315,21301,51682,175390,109335,59587,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,105309,97517,123157,114131,139448,124493,179846,281534,204405,210604
283325,Sulphates of copper,0,0,13683,18114,8176,15711,32903,32841,30709,55966,,87568,89042,89424,73726,56702,73803,94438,70632,73419,113085,,41867,11843,38875,57654,16624,37593,49726,71245,50057,84333
847170,Storage units for automatic data-processing machines,41084,23059,35346,31962,31937,39160,48145,42499,46897,51650,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,1085792,970441,1009321,854690,755411,713774,706103,564673,602342,675856
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",41110,48860,42675,47479,44197,47929,40377,39805,38063,48165,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,171850,235544,257563,259728,259796,287425,318134,275914,306811,344997
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",26921,24296,27315,23681,19027,24424,33500,26057,26239,44926,,557152,507341,575835,456048,371315,484274,493299,367719,315520,502526,,44776,45242,48267,38689,36384,45073,55405,41088,44811,69493
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",21024,25848,31710,29861,26224,31211,36701,36525,34257,43579,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,3661976,3569841,3532124,3251748,2735680,3285651,3606050,3478510,3886596,4425549
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,0,0,42618,,248048,167613,156412,159429,161648,275211,328052,242156,162340,242553,,1010988,733633,662723,613448,637964,990721,107801,0,0,155813
854232,Electronic integrated circuits as memories,38225,32603,41355,32136,21763,33752,31014,25779,38131,40934,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,99518,97395,109389,89011,69891,106076,99767,94605,85704,103710
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",33883,28129,23874,20615,20090,17798,18301,16866,20766,39976,,704201,690808,653761,609900,556459,612808,578436,618706,598002,479051,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",6060,8910,18528,23713,15168,19482,26381,15737,10339,39637,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,810844,660883,727490,1046636,879162,1100551,1598805,1518830,1443748,1788608
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,31607,32105,33736,32884,31725,29969,30298,25232,27782,38387,,999295,1061326,1166554,1157799,1152194,1277317,1323967,1339802,1248469,1557398,,201484,186848,187133,175613,174791,184017,194655,185467,177082,228653
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",40233,38474,30410,30736,25634,29624,35601,25802,29883,38055,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,79775,67722,68556,56569,49076,57235,67402,52336,59111,82469
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",34072,29030,30387,23572,21881,28373,21557,23915,26760,36527,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,257015,261013,259747,211722,212434,224750,235399,234819,353549,452404
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",32634,28084,25756,22898,24197,25422,29577,25036,27777,33516,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,657758,668580,685486,634586,625176,698755,786044,751248,903008,969416
270810,Pitch obtained from coal tar or from other mineral tars,0,0,0,0,2315,21594,44285,29094,19848,31835,,28825,30276,23186,18557,13784,26150,46873,34501,22519,32462,,0,0,0,0,4444,27872,64937,56598,35915,50949
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",18103,19911,20889,23886,21684,27286,31591,29260,27618,31824,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,28456,32102,31899,38081,33540,43018,48617,46465,46349,65333
