Product code,Product label,Australia's imports from United States of America-Value in 2012,Australia's imports from United States of America-Value in 2013,Australia's imports from United States of America-Value in 2014,Australia's imports from United States of America-Value in 2015,Australia's imports from United States of America-Value in 2016,Australia's imports from United States of America-Value in 2017,Australia's imports from United States of America-Value in 2018,Australia's imports from United States of America-Value in 2019,Australia's imports from United States of America-Value in 2020,Australia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,29029297,23989848,23862257,22331709,21675796,22710105,23316010,25135511,23746634,25502028,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,0,0,0,21579,65771,614031,109649,945356,1440903,824426,,186551,105521,174131,237538,294396,737179,328442,599082,358129,314158,,0,0,0,35381,91507,762416,285842,1184945,1516374,865470
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",149381,818,437,3564,1380,1390,449,201392,562374,788347,,33803949,31650160,20754187,19077283,17518244,19609612,20130676,16971877,20191596,27215404,,4251694,3359788,2659438,2576592,2838938,2943383,2909468,4676917,5937464,4609671
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1229956,988873,779339,566364,540649,652770,773165,820136,785431,728637,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",532783,566342,539192,495774,557939,575280,619396,589730,531036,593976,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",394855,693048,929278,921344,703789,914908,842144,742664,292804,561534,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,2562933,2263376,1826566,1903733,1715023,1867446,1895786,1681537,1063742,1593172
870410,Dumpers for off-highway use,2338694,572847,257269,185438,115918,151194,334084,406375,464261,432415,,6241809,3346767,2303009,1362956,835388,1601004,1650693,1865955,1917513,2150185,,2904685,729661,474436,301523,254991,372882,749700,798717,838024,929666
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,4,0,38699,40077,147097,963016,685100,393089,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
300212,Antisera and other blood fractions,0,0,0,0,0,230585,360235,618389,513015,379594,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,397028,599215,853088,773577,639814
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",149582,155870,150615,160280,174105,185673,172735,186065,229193,362399,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,344077,349175,337007,336682,363437,388821,383844,396728,530759,807792
