Product code,Product label,Australia's imports from Viet Nam-Value in 2012,Australia's imports from Viet Nam-Value in 2013,Australia's imports from Viet Nam-Value in 2014,Australia's imports from Viet Nam-Value in 2015,Australia's imports from Viet Nam-Value in 2016,Australia's imports from Viet Nam-Value in 2017,Australia's imports from Viet Nam-Value in 2018,Australia's imports from Viet Nam-Value in 2019,Australia's imports from Viet Nam-Value in 2020,Australia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
TOTAL,All products,3264871,3684486,4470652,3358147,3327689,3846952,4510172,4144462,4296083,5104786,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,251217222,234065772,228857928,201212236,189223659,221108910,227703770,214273705,202277035,248893435
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",439102,584525,642955,717754,668504,770028,887797,827151,748617,854593,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,3819818,3629253,3922030,3751207,3589882,4131436,4273962,3980281,3816708,4165658
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",444,2,1682,6491,177254,240207,222612,249074,281154,291165,,126561,237058,345204,603392,1207178,1736196,1511458,1604167,1981258,2604020,,1237485,1082673,1033761,934861,925876,1007858,965267,907918,964459,1229513
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",1496832,1518485,1938552,512610,154323,301923,530884,136301,200737,289265,,8397950,7375358,7224230,3823780,2578325,3108577,2146666,1892580,1568351,1895860,,22410762,19708205,18575197,7268176,5936714,7234116,10253681,8615668,4790869,5621207
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",16196,31873,60980,74113,95823,78642,235976,169783,175897,195901,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",32258,37266,53930,80410,93036,109212,120709,154679,162811,180006,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,129833,127179,165789,212373,211413,229425,236119,283825,260719,301952
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",40359,45617,55732,44785,44105,50496,43517,62376,75880,122957,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,202797,237535,295863,201581,181004,165239,188364,165685,149225,187369
80132,"Fresh or dried cashew nuts, shelled",101883,96522,108763,118805,123467,135804,117009,113112,105557,97499,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,112147,105041,113597,126990,130574,149171,123798,116519,108935,98407
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",836,1314,1372,228,3985,2654,5216,8433,29345,93777,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,181608,171168,182450,184823,204109,249591,383958,539580,588136,636588
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",3824,4716,4889,7547,12326,28901,25873,40619,53819,79863,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,931010,936199,978367,973628,948976,1030846,1063379,1020308,1112275,1338554
