Product code,Product label,China's imports from Australia-Value in 2012,China's imports from Australia-Value in 2013,China's imports from Australia-Value in 2014,China's imports from Australia-Value in 2015,China's imports from Australia-Value in 2016,China's imports from Australia-Value in 2017,China's imports from Australia-Value in 2018,China's imports from Australia-Value in 2019,China's imports from Australia-Value in 2020,China's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,84568209,98954088,97630887,73871388,70233044,94632692,105083923,119608314,114836642,152194080,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),44544398,54925027,54048446,35849384,34933831,46078393,44987401,60783220,70492905,105255432,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,90393655,102080390,90751176,55691375,55927221,74278723,72674453,95884545,113324502,168938362
271111,"Natural gas, liquefied",638768,640530,728852,1630348,3746023,6200246,11258825,13178745,10336827,13996709,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,8276317,10651168,12217869,8899129,8921502,14743803,26771031,28834127,23393442,36795887
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,8202094,7493818,1130197,7999795,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,0,0,0,0,0,0,43120648,41153518,10917406,42874153
750210,"Nickel, not alloyed, unwrought",248280,142061,48507,65378,220073,372159,966253,635816,413161,2191664,,0,0,0,0,0,0,631977,1081519,249116,0,,2785361,2647722,2215892,3501634,3434460,2595719,2924943,2666345,1823348,4348661
510111,"Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed",1893717,1880488,1513354,1550523,1624374,2022288,2268083,1770963,1214260,1750521,,2406618,2320729,1944133,1991347,2057615,2653147,2738041,2081290,1471920,2421132,,2397534,2486697,2124847,2129996,2129530,2536315,2943878,2235674,1552013,2150685
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1196582,1769440,2200604,1703397,1197246,874861,882503,867840,1307896,1382157,,2874343,2981403,3406544,2586185,2160012,2157517,2452004,2694740,2373329,3243876,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
260600,Aluminium ores and concentrates,507021,825739,912738,1078608,955887,1164077,1400342,1590797,1545033,1316699,,299690,520992,599585,778927,728230,844555,979728,1174270,1067778,1034860,,1886450,3767955,2052032,2954228,2526498,3484109,4434989,5139208,5052142,4643783
260800,Zinc ores and concentrates,515198,573003,653703,826747,440391,647123,964814,915700,887481,1032163,,1369188,1395794,1628755,1570517,877794,1344075,1908750,1761226,1368085,1897005,,1245795,1358320,1525538,2008066,1253108,2226763,3248264,2524480,2472212,3569245
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",881579,1173491,1040893,657356,610046,1041098,1576563,1348009,1011590,1013057,,1270243,1470184,1251215,853465,513925,0,0,0,0,0,,2185744,3192361,2718871,1994250,2065466,3998280,5827259,6374589,4904341,4512496
253090,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s.",124886,131729,126518,175082,197932,821703,1253915,1020173,592771,984568,,167632,175366,250357,258725,293402,997370,1174010,1012280,654442,1284900,,198614,224286,241873,258643,314252,972865,1471611,1254701,852967,1531651
