Product code,Product label,China's imports from Germany-Value in 2012,China's imports from Germany-Value in 2013,China's imports from Germany-Value in 2014,China's imports from Germany-Value in 2015,China's imports from Germany-Value in 2016,China's imports from Germany-Value in 2017,China's imports from Germany-Value in 2018,China's imports from Germany-Value in 2019,China's imports from Germany-Value in 2020,China's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,91933081,94156750,105012760,87689442,86118708,96932837,106257241,105037212,105261229,109743210,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",12059158,11227739,14883266,10542095,10957258,11512797,12675282,12340117,11933938,13232974,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,30878720,36289111,48735349,36112111,35433372,37905123,36840853,31983334,33023500,36761510
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1237186,1391854,1973499,2367516,2960832,3651647,3359217,4784907,4490576,4148130,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",2492676,2973266,3736604,3021854,2937329,3548520,3758899,3153463,3441836,3445699,,11185359,12696454,14261488,12503976,13295930,15166537,16698136,16123393,14889434,17129914,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",2199935,2352904,3147752,2094171,3344517,3618306,3372399,3250201,2854400,3130911,,32850281,33237500,33037729,33305199,34396415,29668532,28754343,30848975,19958581,19441944,,14949908,20010553,25108332,24773659,19739029,22987278,26934776,15472120,6859046,8673618
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,1914588,2082848,2524045,3043633,2780638,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,3565745,4761366,6461838,7036467,8099858
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",2016137,2221297,2505821,2129671,1941952,1927418,2114712,1881911,1866501,2104136,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,4231913,4629021,5239452,4637800,4618573,4488505,4916772,4665851,5202477,5847774
440323,"Fir """"Abies spp."""" and spruce """"Picea spp."""" in the rough, of which the smallest cross-sectional ...""",0,0,0,0,0,93,24845,457024,1169294,1616628,,0,0,0,0,0,172973,253468,497466,785753,888368,,0,0,0,0,0,641834,612452,1194710,1968099,2432304
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",832355,943192,1275881,1139818,1188139,1287897,1319761,1148329,1235736,1232660,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",854485,947510,961557,802899,705276,793512,1000200,1017924,1072261,1203483,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,3707456,4260444,4092613,3816719,3526460,3484867,4219117,4324619,4467964,4860809
