Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,18797191,16970270,16358691,13395985,11748712,16333354,18850037,17970065,20857605,26278993,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),3676324,1358369,715257,79683,525339,840459,391550,1093226,2610071,3099707,,2407949,1397507,683397,118390,537211,763492,356465,1020338,2390703,2109250,,90393655,102080390,90751176,55691375,55927221,74278723,72674453,95884545,113324502,168938362
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",1239102,1703089,2224798,1919491,2470658,2585048,2855273,1559298,1230274,2380072,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,4226239,5679913,7764428,6693533,7106304,7212350,8136090,7350291,5627046,8705045
760110,"Aluminium, not alloyed, unwrought",92841,65848,43812,18079,42269,25566,13846,17225,540458,2132972,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,1121464,762582,538044,299920,360676,240015,276232,151580,1934052,3833274
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,109561,116864,22753,323939,907394,816121,1129607,1403319,1545046,,17380,237678,191006,96717,467979,887730,899455,1337903,1483900,2050003,,5220066,4083717,2687971,2179141,1161234,1886699,2336602,3958507,5619788,4661382
520100,"Cotton, neither carded nor combed",3030110,2239550,1528648,364391,189668,192907,321406,376072,387171,763116,,3647065,4513411,2821651,1860425,1345732,1673933,2203316,1075032,1448516,2682048,,11804012,8440549,4990039,2564094,1561008,2185781,3165657,3567225,3562312,3798245
740311,"Copper, refined, in the form of cathodes and sections of cathodes",2165630,1801128,2332416,1648079,992830,2144525,1538868,214687,212853,743503,,2221632,2334134,2578064,1925826,1493714,2426301,827503,223913,132944,850759,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,91330,919948,697200,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,52832,53450,22532,19120,19310,44317,63107,630887,3927294,5626865
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",22305,46736,34197,59725,38915,68889,206679,903747,607017,642692,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,152749,194261,308840,440605,444814,472710,1355605,3973351,3103671,3188432
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",414174,453176,738997,629970,552811,676820,675058,651568,646108,630787,,547371,575998,585162,450282,379114,443063,440409,423948,449353,460480,,798823,890918,1116860,895319,806896,900241,945095,853345,821285,763201
290243,P-Xylene,76286,23665,69599,236562,116433,673172,1162299,1192664,749498,614560,,965850,1067923,1027789,501116,473272,1255655,2655358,2556793,1755582,2077611,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",63519,44789,79659,32616,49533,116206,56131,67659,105819,522165,,590332,704771,501940,332156,475657,370703,232614,293552,337999,854100,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",330079,307677,237857,283562,272526,378450,384000,385513,357558,461048,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,333960,315579,247738,291829,275026,384506,388317,400242,362313,465918
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other ...",226609,251072,204220,176088,133244,125593,130446,198244,228971,457602,,282199,362296,271432,280933,236780,234304,212788,267325,300665,604352,,294121,308183,258594,234885,193744,185800,187432,255816,272069,840874
90421,"Fruits of the genus Capsicum or of the genus Pimenta, dried, neither crushed nor ground",25918,4272,4193,4070,2605,8365,37481,291617,360880,439113,,0,159291,342225,392393,496953,609667,539659,694055,900520,974913,,25954,4294,4391,4139,3050,8693,108703,308293,385672,457666
720241,"Ferro-chromium, containing by weight > 4% of carbon",236048,306943,174927,129209,135231,456095,272945,394668,302016,367948,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,1761420,2019010,2048902,2418218,2278728,3184579,2685570,2958161,2631219,2948201
100640,Broken rice,0,10,21,0,0,0,0,87,1149,340398,,286401,318620,279817,320960,202845,370257,422117,90600,348671,1037236,,109855,193613,187200,278885,217160,325879,258953,195675,424397,851232
150810,Crude groundnut oil,49960,6452,29583,20089,19360,18189,21909,15694,184468,335090,,4500,4,6204,4384,12532,8291,12225,20010,266098,193593,,147391,108270,116461,167521,150596,147685,154515,225174,432186,530709
