Product code,Product label,China's imports from Japan-Value in 2012,China's imports from Japan-Value in 2013,China's imports from Japan-Value in 2014,China's imports from Japan-Value in 2015,China's imports from Japan-Value in 2016,China's imports from Japan-Value in 2017,China's imports from Japan-Value in 2018,China's imports from Japan-Value in 2019,China's imports from Japan-Value in 2020,China's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,177832336,162245573,162920512,143092949,145771152,165494647,180401786,171523312,174867747,188424168,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
854232,Electronic integrated circuits as memories,4370843,3968916,4532556,5077518,5692423,5617459,6713683,6442028,6584319,7638432,,9240760,9210557,8403707,8399015,9008034,9738748,11603779,11054866,12247102,14692935,,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,689298,738690,936455,912130,1214480,1610313,2940677,3007859,4093124,6180027,,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",5827015,4540485,3994718,3806914,3683996,3923150,4789351,5120730,4761793,5943290,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",3665908,3910765,3172205,3085103,3753124,3573575,3556058,5079480,5931449,5075892,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",4526296,4619056,4994716,3522521,4113647,4983484,5616698,4521585,4159746,4390800,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,865925,1413589,3058917,4064649,4336534,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,1155751,1590413,3194174,4159888,4470288
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",262558,231254,315816,438534,620148,1129043,2183294,2963552,4112875,4285453,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,999917,1123503,1923142,2721208,3580664,5078685,8824071,11714719,15889177,16977906
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",4862874,5163848,6518325,5104574,4939464,4449256,3825183,4186991,4212645,3739832,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,30878720,36289111,48735349,36112111,35433372,37905123,36840853,31983334,33023500,36761510
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",1876918,1741090,1851616,1931472,1801870,2133448,2633627,2875285,3322577,3345308,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,4876587,7405348,7103862,6922427,5318306,5661295,9220601,6811285,8174986,9188031
