Product code,Product label,"China's imports from Korea, Republic of-Value in 2012","China's imports from Korea, Republic of-Value in 2013","China's imports from Korea, Republic of-Value in 2014","China's imports from Korea, Republic of-Value in 2015","China's imports from Korea, Republic of-Value in 2016","China's imports from Korea, Republic of-Value in 2017","China's imports from Korea, Republic of-Value in 2018","China's imports from Korea, Republic of-Value in 2019","China's imports from Korea, Republic of-Value in 2020","China's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,168728402,183072918,190108773,174563830,159168781,177523904,204566451,173553267,172756030,193814634,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
854232,Electronic integrated circuits as memories,14496173,18333593,24363099,28435340,30711116,46344091,63695331,44346772,44751820,49557236,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",19414152,22002782,18587143,21667425,15510825,12927009,11364048,10814213,12576123,17335530,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",5124004,6506264,6146885,5142242,4598102,4141715,5076939,6238979,8298261,9157622,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",8213708,10291443,8789006,8408963,6796128,5925103,4061036,3742602,3623246,4993313,,7212942,10745179,13150064,17612803,14750059,6546331,6848687,12163895,12840863,15965206,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",1339558,1611033,1425532,1015269,2097072,3185390,2006871,2228017,2885047,4567677,,6915276,7768861,7008030,5854323,6178791,7995178,7240102,10045151,7799818,7842054,,7188997,7260790,7870049,7166856,9078942,11988359,11936518,11351178,13855266,15791199
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1698871,1832749,3057638,2847530,2383116,2412996,3691593,4179314,4345115,4180692,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
290243,P-Xylene,2885277,4284773,4564812,4506947,4573948,5554109,6989490,5592909,3040528,4129344,,3229066,4511579,4810291,4787745,4896980,6040762,7633872,6199836,3436561,5140686,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",18807410,18103879,17022534,15938097,12576636,9001418,7768790,5816819,4288634,4013710,,27200435,24894128,24294941,20954549,15606620,14479385,11785628,5233623,4138804,3682580,,50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
847170,Storage units for automatic data-processing machines,1814788,2464152,2424966,2724153,1887917,1939076,2775311,2203069,2856838,3730663,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,25590038,19062401,18732128,17373461,18323375,18393616,22513570,22783544,25638968,26704498
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",208184,36526,155836,93584,781358,1672770,3305644,3373115,4064798,3557190,,203347,115953,100638,77453,164101,221682,192305,139272,133467,285006,,465529,283801,620583,1004132,1902921,2947325,5217423,5156325,6517136,5738425
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",83068,126463,203869,666333,1027044,1431670,2541404,2912210,3104789,3509649,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,999917,1123503,1923142,2721208,3580664,5078685,8824071,11714719,15889177,16977906
854233,Electronic integrated circuits as amplifiers,463926,629896,885233,1545756,1746887,2129512,2006977,1934819,3024620,3364754,,18592,43815,63985,45732,38581,47036,50734,81688,105722,211039,,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,126683,178060,632348,560348,273906,235619,392183,1077177,1180226,2000299,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
