Product code,Product label,China's imports from Russian Federation-Value in 2012,China's imports from Russian Federation-Value in 2013,China's imports from Russian Federation-Value in 2014,China's imports from Russian Federation-Value in 2015,China's imports from Russian Federation-Value in 2016,China's imports from Russian Federation-Value in 2017,China's imports from Russian Federation-Value in 2018,China's imports from Russian Federation-Value in 2019,China's imports from Russian Federation-Value in 2020,China's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,44138279,39667828,41593505,33216612,32131140,41351921,58887066,60257151,57180563,70670715,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",20485271,19742628,24950868,17249273,16781282,23747415,37889465,36492519,27303047,35806171,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1437600,1609889,1595250,804972,878387,1485637,1456132,1691121,1702289,4914255,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,18117661,19775885,15178105,7816083,8793149,15388837,16065549,16093804,13877449,16372479
740311,"Copper, refined, in the form of cathodes and sections of cathodes",244955,15757,124023,632465,426693,378513,1582557,1586721,2645169,2778848,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
271111,"Natural gas, liquefied",349332,0,86174,107886,84212,175922,402172,1138503,1727990,2464618,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,8276317,10651168,12217869,8899129,8921502,14743803,26771031,28834127,23393442,36795887
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),1348021,1053642,559854,374728,279590,318133,250399,473676,819127,1388931,,1413285,1411904,951041,517764,365518,453268,309640,525634,764022,1507200,,90393655,102080390,90751176,55691375,55927221,74278723,72674453,95884545,113324502,168938362
271121,Natural gas in gaseous state,0,0,0,0,0,0,0,1074,636340,1277974,,62253297,67232302,55240328,0,0,0,0,0,0,0,,8564984,9915334,11614155,9690679,7553916,8523380,11642233,13056716,10061286,10352205
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,1912588,1928630,1758624,1525702,1230427,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,2638586,2710914,2568871,2297135,1951385
270111,"Anthracite, whether or not pulverised, non-agglomerated",465293,691649,474916,222037,203041,706509,878626,722125,635351,1207318,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,3317746,3477109,2413527,1458846,1487054,1362849,1101649,785189,658422,1235213
260300,Copper ores and concentrates,14324,15845,0,9312,5416,8183,152605,234860,700712,1173237,,53524,29790,19113,39652,7363,13358,158708,230714,663817,1250913,,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
