Product code,Product label,China's imports from Saudi Arabia-Value in 2012,China's imports from Saudi Arabia-Value in 2013,China's imports from Saudi Arabia-Value in 2014,China's imports from Saudi Arabia-Value in 2015,China's imports from Saudi Arabia-Value in 2016,China's imports from Saudi Arabia-Value in 2017,China's imports from Saudi Arabia-Value in 2018,China's imports from Saudi Arabia-Value in 2019,China's imports from Saudi Arabia-Value in 2020,China's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,54861126,53450711,48508026,30150711,23613002,31751563,45898673,54257291,39033136,51612519,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",44165045,42368087,36940645,20775950,15567091,20499030,29663934,40076402,28051045,39919912,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
290531,"Ethylene glycol """"ethanediol""""""""",3751635,3947161,3607139,3303733,2228906,3273873,3823601,2781280,1915661,2204118,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,8137964,8679601,7892120,7100661,4873893,7387208,9082380,5971806,4901069,5132104
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",940623,1209524,1420268,1232037,1139378,1615889,2185496,2140941,1741424,1338654,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,906645,1302892,1328586,1133942,1026221,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
290250,Styrene,874627,776371,779639,551511,538691,825774,1024587,1084160,744294,843348,,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800,,4823230,6356593,5943206,4162925,3642719,4016372,3963593,3313160,2089974,1846862
260300,Copper ores and concentrates,0,62809,46852,32392,43220,82314,215495,152889,272623,444005,,11399,71435,69170,84453,113836,177364,457934,381136,472944,673809,,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",162579,290769,304725,218512,218648,275821,494109,459092,454217,425777,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
390210,"Polypropylene, in primary forms",1164980,1059431,1091280,786370,561189,621463,650660,524191,555793,407186,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,5801001,5595865,5821826,4439846,3523446,3843963,4191398,4044476,4542092,3707061
390740,"Polycarbonates, in primary forms",159432,170632,273638,204172,180861,279121,293715,313293,241067,368676,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,4118402,4046167,4339083,3967649,3517129,4051846,4546994,3873643,3630262,4322326
290511,"Methanol """"methyl alcohol""""""""",228518,234465,270439,199908,209820,254340,314654,291493,316357,354612,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,1887870,1875923,1611676,1561285,2098217,2640785,2923811,2909889,2697139,3598908
291020,"Methyloxirane """"propylene oxide""""""""",296515,51425,234080,130452,74647,122821,218592,204028,179695,295067,,0,0,0,0,0,179,0,230870,185811,471727,,823204,731289,841480,388110,321949,266740,393956,547042,573242,810406
271311,"Petroleum coke, non-calcined",0,0,0,29935,5824,88914,204449,108928,125629,292233,,0,0,0,0,0,0,0,0,0,0,,881621,1092626,620324,545019,337744,860374,1361469,1049139,949869,2152924
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,46561,326248,172764,159460,240119,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,580065,750556,451100,493410,600119
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",405341,229619,301985,372616,257174,266514,331496,192792,75045,236435,,27116,22901,23318,35898,16725,37260,64053,13694,20274,47261,,2248683,1418904,1582579,1778057,1158139,1235025,1650923,1311140,604419,1468596
271112,"Propane, liquefied",302802,249385,154546,184381,320940,403347,773474,691780,254922,233532,,3657373,3123183,2470855,2438776,1421602,1812647,0,0,0,0,,1687655,2193715,3986548,4412636,4397228,6663114,7896298,7363372,6527279,11421462
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",232949,221763,159626,181669,143717,204748,462401,310530,156567,208121,,3239553,3165844,2803150,2518400,1812536,1467888,0,0,0,0,,1353288,1590393,1886232,1672772,1684707,2516961,3137404,2736994,1917485,3143131
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",419,11814,15540,10411,7913,43503,196696,158437,130647,202204,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,1319050,1343719,1295071,1184224,1086622,1276863,1555725,1391186,1363248,1774694
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,13652,88852,156583,110558,191548,,3177,386,113,0,0,30099,229858,261045,152873,335847,,838163,546855,317353,160385,207387,329846,530601,462233,488258,509896
290243,P-Xylene,7998,17771,211421,261260,303029,209862,735512,863510,204419,189480,,6149,9963,32722,145258,45450,40719,634621,1004520,484083,805708,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",277602,314107,358657,241225,160181,219753,227921,202375,173367,177699,,0,108,15645,19104,9932,862,8342,384,791,717,,556523,678089,749392,521139,373379,518296,575121,425667,377878,425892
291411,Acetone,43325,26701,37473,15689,13265,27817,86028,70032,107790,156934,,54305,57506,68084,38134,26110,64598,123838,106660,121881,213715,,673476,533071,528835,267136,265406,360416,429260,334134,533891,503511
390130,"Ethylene-vinyl acetate copolymers, in primary forms",1,357,0,76025,92496,112902,108765,121388,106554,149694,,260,425,7695,161533,179010,252133,305665,337793,277443,495999,,1186041,942243,1349377,1395147,1395086,1568769,1560682,1685183,1623371,2497675
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,19930,82859,86338,72290,127175,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,198939,209124,193758,160550,149444,183782,240234,168853,164255,306343
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",43638,101881,106668,21634,22366,20611,21840,3099,68197,111957,,1347390,1406732,1572031,1038412,649220,845340,809144,847697,838182,794444,,260786,391349,374778,226271,337852,179625,132084,160286,342199,374012
390230,"Propylene copolymers, in primary forms",187631,174183,130543,118776,100388,111952,134200,108508,83846,110377,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,1914908,2280725,2356596,2002131,1876375,1999005,2104257,2119622,2199094,2051715
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,1,7,0,610,26083,28899,74677,60456,92963,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,814992,718904,680239,513745,401976,425494,500325,429798,309543,366949
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",0,0,0,0,0,24363,82247,112033,108303,90472,,210,0,518,5,0,45,142,120,417,763,,933530,868752,824438,575019,501002,517886,491874,425219,362949,278395
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",4,3,5,9,26805,42147,48968,59509,69448,83996,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,988340,1123480,1154089,1069766,1032331,1135465,1382034,1670463,1614484,1576585
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",85198,80520,76069,81660,18204,92686,143264,18583,277,81510,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
290516,"Octanol """"octyl alcohol"""" and isomers thereof""""",87616,47725,43550,29466,17398,33859,48162,51115,32959,70210,,18324,14530,9929,6540,6039,6915,3903,3384,2075,3491,,606704,441419,304383,260142,196051,190929,252000,219542,235905,420568
390610,"Poly""""methyl methacrylate"""", in primary forms""""",26,52,1,3,1,0,56598,55188,40579,66508,,76,705,208,0,58,7339,150922,152590,146977,235767,,645312,582665,570328,460010,419212,494586,614841,480722,393413,503539
281410,Anhydrous ammonia,5995,19399,25132,35605,28646,45411,73229,50467,80877,64611,,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624,,225333,191363,125577,198534,159989,222351,337857,313551,323007,380376
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,0,0,1037,23883,28042,28116,22494,39789,56107,,0,3126,13487,623,6036,13220,1844,740,553,11425,,653665,569538,225851,184193,199695,234015,196872,174620,183477,175385
292121,Ethylenediamine and its salts,7384,6299,7931,6635,1379,6759,33399,27818,33728,49952,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,86341,67882,78314,70178,39611,49096,61858,47229,54551,86417
