Product code,Product label,China's imports from Singapore-Value in 2012,China's imports from Singapore-Value in 2013,China's imports from Singapore-Value in 2014,China's imports from Singapore-Value in 2015,China's imports from Singapore-Value in 2016,China's imports from Singapore-Value in 2017,China's imports from Singapore-Value in 2018,China's imports from Singapore-Value in 2019,China's imports from Singapore-Value in 2020,China's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,28529563,30064515,30828733,27557900,25938742,34133663,33638316,35230306,31550580,35285279,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2587860,3315000,3435603,3013626,2119714,2429623,2461982,2546849,2715138,2576005,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
854232,Electronic integrated circuits as memories,1411447,1746438,854616,953678,1429438,1848214,2304885,2725421,2188324,2470854,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,194461,225510,272742,343013,521024,531113,1092838,892962,1500348,2385241,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,1850075,4837956,2153261,1871304,,372860,365754,190426,507986,877074,232432,147617,108420,128728,985908,,0,0,0,0,0,0,43120648,41153518,10917406,42874153
848640,Machines and apparatus specified in Note?9 C to chapter 84,397182,320462,397156,383298,527024,607146,794756,526872,801054,1483116,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,1444851,1449099,1889688,1927455,2250638,2907254,4647084,3445831,3755721,4921631
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",4675628,4073185,3643779,1976992,1694025,3319908,2730788,2292304,1201015,1451018,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,29566479,25827759,19555177,10372520,7651643,10310975,14230610,12799204,8312125,10342110
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",311370,184902,405433,280141,416552,807921,405856,306869,896449,1428029,,184644,129300,346038,242509,393230,600176,257155,344478,941520,1563061,,4519186,4254506,5079289,4161274,6430650,7083876,3502881,1726654,2498923,2677669
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,933625,1195435,1186985,1124591,1259087,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1398259,1185183,1160578,1491087,1422948,1930143,1587816,1434877,1471099,1238509,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
390230,"Propylene copolymers, in primary forms",444009,533055,649478,580040,578553,616814,639907,634236,547463,649212,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,1914908,2280725,2356596,2002131,1876375,1999005,2104257,2119622,2199094,2051715
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,1112009,833551,934054,876366,744650,686756,579309,548899,519178,587428,,2228355,1641803,1743942,2099661,1880437,1643193,1845204,1775825,1908580,2167140,,1454405,1289777,1292200,1234629,955231,766525,654382,612491,600155,670171
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",170030,206001,187694,216734,336201,495201,817035,769476,779382,587263,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,2113317,2364722,2389672,2384993,2627357,2840480,3439905,3444879,3545322,3133782
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),465906,534759,543778,563265,402093,427745,551241,467312,494507,577426,,438096,99616,270086,609282,438271,500294,675474,574452,607888,761588,,715303,811183,821741,771293,615714,699665,910994,807907,832421,898990
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,462199,525625,520063,474025,501972,447685,516457,551140,505445,537307,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,799841,988658,939151,838446,919219,931101,1000484,1031154,973842,1118988
847170,Storage units for automatic data-processing machines,410155,358116,292202,258197,313453,537232,725913,382237,425306,502904,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,25590038,19062401,18732128,17373461,18323375,18393616,22513570,22783544,25638968,26704498
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,29028,22693,52535,22136,107339,96907,282810,361708,334587,499372,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,217531,329305,466982,306939,528881,769869,1497979,1498531,1695266,2353835
290270,Cumene,0,288058,639150,347874,184439,379572,349295,369710,271297,462852,,0,0,625789,330358,188773,378879,407797,329436,304661,509037,,61418,420483,782395,576338,335002,531216,571999,537910,376842,610051
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",61460,70638,94010,100489,122763,135617,167859,202084,509520,461481,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,919979,1080656,1182647,1242404,1411219,1575495,1740751,1837488,2343955,1990876
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",8113,24308,4607,37905,42053,52588,66903,103853,188733,448002,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,34861,34399,72730,77448,105571,98639,103801,209334,358930,436406,,1095798,777365,707181,1045526,828747,1264362,1378669,1303815,1411821,1801883,,816067,1191557,1240300,1368265,1635505,2702801,3711484,4482745,6401428,6535759
290243,P-Xylene,345645,322601,331216,192949,404105,575028,870440,616921,243563,433722,,952754,996837,1010684,553269,838592,1325018,1605858,1173165,528000,901443,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
854160,Mounted piezoelectric crystals,176856,211193,266467,330363,380613,323690,310002,304029,272849,429581,,500721,607006,596061,638122,789491,711747,621421,637231,608228,944816,,2690805,3015527,3298085,3083081,3801458,3532248,3351729,3197478,3393225,3567869
290531,"Ethylene glycol """"ethanediol""""""""",453586,622429,481319,475475,210165,454088,695679,360737,371697,397844,,1187813,1425163,1205404,944207,367723,754934,1000633,579260,568164,751971,,8137964,8679601,7892120,7100661,4873893,7387208,9082380,5971806,4901069,5132104
271320,Petroleum bitumen,493633,495678,530650,376830,188500,318892,454851,441603,463802,393987,,1218270,1262091,1463146,1012934,604003,831545,1060212,1004566,812933,1079778,,1754336,2068538,2334216,1801917,1046245,1551844,1760840,1771551,1550278,1225631
390210,"Polypropylene, in primary forms",385643,520624,675837,544210,415902,429581,456237,409354,384875,379987,,1186430,1278841,1460392,1158790,1139644,1228832,1360322,1200340,1145439,1209236,,5801001,5595865,5821826,4439846,3523446,3843963,4191398,4044476,4542092,3707061
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",172978,143225,176682,218759,189758,224957,262149,222980,234439,345687,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,1319050,1343719,1295071,1184224,1086622,1276863,1555725,1391186,1363248,1774694
850760,Lithium-ion accumulators (excluding spent),92003,91500,208657,187732,158200,283674,261896,270666,217372,332259,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,3966493,3317538,3424427,3298475,3056859,3265916,3883051,3724483,3536501,3547695
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",50393,57360,60498,51169,57123,127645,153405,133460,133795,320909,,84219,112473,97859,68784,88769,185492,239312,189040,181537,415336,,902380,1020411,871606,627922,418177,536067,786094,745395,742454,1283830
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",38007,90165,58558,115062,0,62304,5,107546,415345,307759,,62156,22663,41071,830,2785,535,1182,140314,446360,616243,,1418379,1017040,2416627,4270445,871204,1874035,635242,649146,3805867,7030398
848610,Machines and apparatus for the manufacture of boules or wafers,37071,47691,72253,88794,108558,85963,139006,169212,178313,276345,,336959,908784,288382,149391,336149,512463,477534,306384,84959,88984,,601470,368652,570667,432351,662341,646198,821803,1042742,858224,1404158
