Product code,Product label,"China's imports from Taipei, Chinese-Value in 2012","China's imports from Taipei, Chinese-Value in 2013","China's imports from Taipei, Chinese-Value in 2014","China's imports from Taipei, Chinese-Value in 2015","China's imports from Taipei, Chinese-Value in 2016","China's imports from Taipei, Chinese-Value in 2017","China's imports from Taipei, Chinese-Value in 2018","China's imports from Taipei, Chinese-Value in 2019","China's imports from Taipei, Chinese-Value in 2020","China's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,132199339,156405132,152007130,144980999,139715214,154796770,177345362,172800947,200664323,227184997,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",26504559,33051409,31401539,30661017,35253028,40226726,49009638,50896562,66285493,74072796,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",11928420,19041313,19203611,19277671,19893854,19263590,19852420,21383210,29036746,35021706,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
854232,Electronic integrated circuits as memories,9230983,12558951,14465711,15870878,15970337,19644919,27058969,24843113,26616376,28921892,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,38009040,46164514,54254915,61462689,63877413,88270996,122972378,94612915,95269863,109780700
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",15750888,15507797,13325653,11279327,9765425,10408362,9705988,8219689,8261453,9661184,,8731558,8208419,5722805,4457674,3922831,6764649,6320873,5752319,5991930,7300051,,50435169,49895900,44173507,40151520,32202627,30541144,26248601,20978386,19269861,19633012
847170,Storage units for automatic data-processing machines,246729,405001,971933,1077710,1373391,1739630,2891113,3919042,5615797,5252555,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,25590038,19062401,18732128,17373461,18323375,18393616,22513570,22783544,25638968,26704498
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1872088,1765989,1648091,1339682,1186581,1470594,2376976,3526584,3765905,5099163,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
853400,Printed circuits,3200246,3102317,3222265,2985408,2637425,3029186,3178875,3035950,3129939,3075167,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,14481734,13637752,13412127,12164822,10353976,11582045,12375242,11250354,10874504,11088530
854233,Electronic integrated circuits as amplifiers,2318615,7376495,1420105,2880958,2092593,1229980,1339667,1735708,1961187,2093155,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,9183882,19607941,8995714,11167827,10391154,9536688,9784932,9678006,12342977,14021411
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",995629,1292216,1934415,1674247,1787901,2061782,1808479,1791639,2243211,1854703,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1834551,2432509,3254017,4539439,2653201,2188795,1698570,1306270,1289567,1611681,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,7865758,8994113,10402963,11853627,9185276,9271908,9195974,7158831,7246759,8442203
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",1755004,1757821,1706479,1462688,1348446,1733355,1794684,1442050,1368957,1608305,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,3623543,3597079,3574745,2993537,2747397,3509133,3919850,3275260,3070582,3488535
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",43380,50235,59355,75030,71969,82978,85560,470358,1320123,1585524,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,1397254,1398486,1302494,1343297,1370541,1815123,2656006,3142240,4016043,5844556
848630,Machines and apparatus for the manufacture of flat panel displays,355058,471033,610978,714671,549085,1161373,1287683,1149417,1314907,1272293,,168470,217027,256625,332785,409211,655232,658859,563384,665019,664511,,1578152,2770054,3008783,4302325,4338556,7093798,10189648,7211531,7073919,5461035
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",826627,884467,781963,629326,691420,932351,908877,745918,789224,1214363,,829309,814274,803381,806753,905747,1226943,1276043,1073046,1105366,1798030,,1657605,1527670,1344645,1093121,1147325,1482888,1494700,1312841,1355584,1902746
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",211742,371041,599213,633442,839536,1157982,1222930,1829534,1514802,1164286,,380029,590990,1257711,1632906,1483055,1686789,1681744,1971306,1946643,1784658,,832748,1470719,1636006,2039092,1801204,2181046,2156334,2704193,2305094,2063203
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",398145,430298,2132437,1807293,809059,576808,1044816,483662,681592,1096933,,508704,480007,496780,475843,699719,848591,1748228,1089036,1397759,1809868,,4876587,7405348,7103862,6922427,5318306,5661295,9220601,6811285,8174986,9188031
390740,"Polycarbonates, in primary forms",579942,625735,698430,697713,620254,865326,992234,750837,688992,1061557,,616360,674293,730584,727236,693239,971708,1121821,828877,753553,1421293,,4118402,4046167,4339083,3967649,3517129,4051846,4546994,3873643,3630262,4322326
290243,P-Xylene,887735,2478054,1819412,1140915,1063615,1329973,1692320,946106,618095,1017418,,897766,2408802,1730720,1103767,1057567,1313026,1615302,910345,629005,1067240,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",1254418,1259435,1240017,1131673,1152807,1023154,887477,974711,922205,964038,,388307,391060,377863,353285,353543,373606,388871,328757,334392,432977,,5785791,4868565,4530857,4169359,4079326,3993613,3490829,3422163,3273115,3374877
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),167232,164825,246387,179479,430242,258324,342142,275412,381960,927826,,232790,228993,238580,246940,301556,346598,482874,362643,493008,677041,,1040259,1195214,1139566,1498547,1346570,1188291,1410260,1149698,1387707,2561629
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",202438,195675,258216,219531,269632,339595,398285,438103,541121,905210,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,4758702,5179842,5142229,5293867,4989382,5599475,6044007,6382310,6732181,8284432
