Product code,Product label,China's imports from United States of America-Value in 2012,China's imports from United States of America-Value in 2013,China's imports from United States of America-Value in 2014,China's imports from United States of America-Value in 2015,China's imports from United States of America-Value in 2016,China's imports from United States of America-Value in 2017,China's imports from United States of America-Value in 2018,China's imports from United States of America-Value in 2019,China's imports from United States of America-Value in 2020,China's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,133765823,153394862,160064514,150543984,135047253,154839684,156004357,123235656,135996513,163611489,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
120190,"Soya beans, whether or not broken (excluding seed for sowing)",15381173,13291859,16328694,12437108,13736873,13934014,7060309,6686291,10634629,13292131,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,34976583,38009432,40261719,34895182,33958258,39627273,38077974,35419584,39527998,48306016
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2855225,2842281,4340974,6095114,6165369,8191910,9861054,11428734,11811478,11951247,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",4284330,6560161,9737566,9777956,10017682,10317585,8149753,5793990,7299060,9366873,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,30878720,36289111,48735349,36112111,35433372,37905123,36840853,31983334,33023500,36761510
100590,Maize (excluding seed for sowing),1658147,847169,293433,120887,56200,159882,68739,74530,958858,5485834,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,1683370,930527,723243,1103776,634345,600010,782129,1056879,2486895,7578436
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,1,1,20621,152013,3182544,6798860,3311723,6277171,5267229,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
271111,"Natural gas, liquefied",0,0,0,20045,77466,636969,1100512,117037,1103648,5191142,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,8276317,10651168,12217869,8899129,8921502,14743803,26771031,28834127,23393442,36795887
271112,"Propane, liquefied",103,79223,637037,1521435,1289889,1762174,864711,1195,1737333,4674319,,2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232,,1687655,2193715,3986548,4412636,4397228,6663114,7896298,7363372,6527279,11421462
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,579368,612475,1426520,1559599,1687141,1767052,2951225,2297712,2402766,3477879,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,2723618,2607613,4441029,4495484,5255877,6297901,11244936,10429743,13663292,19222066
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,176407,191872,237275,374439,457065,576700,812326,1547066,2676428,2759457,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,816067,1191557,1240300,1368265,1635505,2702801,3711484,4482745,6401428,6535759
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1175536,1128276,380238,12430,469,446963,369254,157814,112817,2290829,,14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666,,18117661,19775885,15178105,7816083,8793149,15388837,16065549,16093804,13877449,16372479
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",6676198,12657734,14336856,16495050,12351036,13319977,15409285,6048276,1911771,2067501,,2465048,1485234,3214942,1520109,1872014,847495,207149,577850,860362,800658,,14949908,20010553,25108332,24773659,19739029,22987278,26934776,15472120,6859046,8673618
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",640013,829444,879465,1006098,1016442,1125010,1327067,1400089,1673471,2060373,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
100790,Grain sorghum (excluding for sowing),0,91806,1517424,2471405,1260545,956179,726432,132378,1021284,1977924,,488980,518804,1656386,2262335,1302783,1035546,778148,518816,1361840,2004217,,23253,369126,1637695,2970799,1427896,1025366,857319,192313,1156070,2783941
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,888073,1387863,1638093,1838077,1872858,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,3565745,4761366,6461838,7036467,8099858
841112,Turbojets of a thrust > 25 kN,929261,1009746,1445075,1170504,1253495,1731806,1626045,2095732,1900920,1808745,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,1644552,1713827,2107153,2056997,2493507,2810516,2761417,3466081,2881661,2943801
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",86771,127729,288673,301255,353609,504918,822361,1148233,1761038,1759915,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,999917,1123503,1923142,2721208,3580664,5078685,8824071,11714719,15889177,16977906
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",818497,3164900,3027071,2981443,1457853,1001341,995179,1335990,1599139,1711166,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,36604683,50129747,49134247,49437168,48698284,48614337,51691958,57225210,70996931,82677374
