Product code,Product label,China's imports from Viet Nam-Value in 2012,China's imports from Viet Nam-Value in 2013,China's imports from Viet Nam-Value in 2014,China's imports from Viet Nam-Value in 2015,China's imports from Viet Nam-Value in 2016,China's imports from Viet Nam-Value in 2017,China's imports from Viet Nam-Value in 2018,China's imports from Viet Nam-Value in 2019,China's imports from Viet Nam-Value in 2020,China's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,16229125,16891893,19906398,25127731,37216721,50374166,64087360,64078465,78474632,83003642,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",204193,539686,802315,1657032,2139865,9453987,16764724,11331350,15574870,18780557,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",3108264,2700560,2992846,4126281,4643051,5177524,7117826,13139545,20021144,16285604,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,108353480,115319799,105226923,108220599,104900300,111363038,127430722,143495001,171425845,182399688
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",169728,274681,440178,757652,1606904,2754147,4198567,4302078,6156508,6651805,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,7188997,7260790,7870049,7166856,9078942,11988359,11936518,11351178,13855266,15791199
999999,Commodities not elsewhere specified,0,0,0,1329854,9936410,10083815,9857207,6867840,4420019,6164745,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,201145,139144,111957,90986,124751,80018,88825,189063,872352,2276092,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,17248125,16933009,18916283,15961508,12742312,14175235,18553324,19036254,19507419,23076010
400280,"Mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural ...",518,0,9645,190728,721978,1257258,1117704,1161605,1517214,1775246,,1574,1891,2227,212786,750663,1277635,1102106,1256487,1563367,1780607,,178432,210318,122599,723989,2454046,4826197,4247847,3704166,4779694,4438388
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",12058,7385,12212,18596,96656,162194,203218,226559,507842,1396927,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,4758702,5179842,5142229,5293867,4989382,5599475,6044007,6382310,6732181,8284432
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,585202,760639,633149,682096,635391,696107,918360,1043626,1135270,1248207,,807901,1076718,981103,1168713,982046,1047356,1309183,1620144,1468398,1979745,,1272726,1482964,1512851,1670123,1838145,1862896,2206038,2366445,2207999,2402709
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",308025,405311,540132,544456,772928,906247,989130,1124107,974178,1188407,,318785,416721,580296,550759,834846,1037592,1069960,1202747,1048404,1294743,,1888094,2805305,2547089,2376235,2144081,2312719,2477363,2085378,1958541,2529982
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,80561,703933,1091347,,12792,17564,38086,7444,3,4390,3844,123863,750139,1337445,,52832,53450,22532,19120,19310,44317,63107,630887,3927294,5626865
252310,Cement clinkers,2650,10184,4362,1,0,33415,467828,710041,814442,1051342,,426330,516746,621422,439747,324806,492957,762052,811043,767809,1173784,,6870,11313,4857,432,1423,35316,588171,1041481,1344089,1291679
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,106953,147467,231177,399034,598999,837640,1083887,1152820,1051987,908826,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,229351,270397,407636,655087,958868,1310370,1609139,1780515,1769910,1803085
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",42497,112966,196295,265782,289483,352217,610036,691761,915686,906825,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,2492279,2664591,2525862,2378566,2202195,2449055,2794135,2583267,2815494,2849671
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",6,662,14832,72412,18166,8404,14651,150966,602640,740983,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,1639507,1656517,1793077,3442535,2537869,748048,292741,438150,898353,1169304
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",393677,493599,639554,820590,554369,584139,607455,469098,609604,582326,,391392,252146,322635,545706,1144740,1479306,1563283,1549394,1341076,722240,,799855,921352,917325,1097436,756115,888267,857481,918792,1176770,1250762
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",132266,168452,224229,296613,244420,256179,364759,450180,533429,424038,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,650952,715251,820206,957123,869492,901603,1167781,1472032,1550095,1673979
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",657662,550349,1223626,928971,1512469,1019423,702490,615635,627358,395221,,8397950,7375358,7224230,3823780,2578325,3108577,2146666,1892580,1568351,1895860,,220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
853400,Printed circuits,50208,68565,120501,111178,149888,160767,193619,203546,257579,377721,,272144,344284,443344,533718,535173,639625,756251,1064644,1093481,1462489,,14481734,13637752,13412127,12164822,10353976,11582045,12375242,11250354,10874504,11088530
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",0,0,0,0,0,0,0,21258,281804,344243,,205974,184998,158417,16117,18381,228690,184695,212104,549136,673371,,27841,14895,21257,9112,4190,11196,51306,63936,357694,544982
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",293,4,146,93,578,951,590,7064,133291,336029,,7172,15446,21942,44444,25742,5639,7019,156832,291912,1022293,,1397254,1398486,1302494,1343297,1370541,1815123,2656006,3142240,4016043,5844556
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,107277,81664,78930,93087,114516,143873,182824,280952,420439,330080,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,162323,137153,157648,179727,234890,261280,348352,474661,658659,583311
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",454,1687,3194,3368,4994,30263,46118,21880,158058,291226,,85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229,,3562317,3895334,4573370,4251295,4517629,4807920,5324795,5312209,6093482,5913440
