Product code,Product label,Germany's imports from Australia-Value in 2012,Germany's imports from Australia-Value in 2013,Germany's imports from Australia-Value in 2014,Germany's imports from Australia-Value in 2015,Germany's imports from Australia-Value in 2016,Germany's imports from Australia-Value in 2017,Germany's imports from Australia-Value in 2018,Germany's imports from Australia-Value in 2019,Germany's imports from Australia-Value in 2020,Germany's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,3591863,2951685,2390343,2272171,2394646,3268539,3082806,3370650,3379837,3654023,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1049439,807580,771073,641180,626364,1200875,1094109,986480,604927,854238,,43691288,38380799,35187114,29623822,28260420,40555876,47206109,44407758,32725070,43934284,,4565933,4177979,3731257,2972631,2689305,4489453,4427063,3507124,2068536,3942563
711890,Coin of legal tender,0,0,0,242476,295057,258363,275346,425661,778494,614452,,755562,1009486,640719,630877,735766,518517,609248,600536,1032862,1939936,,0,0,0,1495062,1656082,2044433,1801619,2048809,3514873,3556447
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",340790,324423,54619,76565,282376,409060,333140,198394,123437,563827,,1527093,2196830,1285502,1131116,886146,1277786,927314,669779,786927,2157781,,2529846,2536994,2025562,1855638,2290125,2656274,2429043,2402332,2572024,3205717
260300,Copper ores and concentrates,308780,223492,255541,179236,135586,240622,74720,182934,194505,233827,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,3023772,2383310,2578369,2080675,1634060,2222252,2311121,1925161,2420678,3055965
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",4924,5112,9223,11135,9704,41735,99000,175733,174876,202356,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,1151675,1125113,1320622,1303927,1405089,1498820,1550633,1472790,1454777,1651948
999999,Commodities not elsewhere specified,112292,123056,104279,103348,110255,100348,112183,99742,103904,127275,,10044824,8777678,8032952,7321442,7391488,8467782,7940698,7904342,8017722,11432602,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
260800,Zinc ores and concentrates,79543,51640,102916,38177,46157,61289,92401,72276,67701,69908,,1369188,1395794,1628755,1570517,877794,1344075,1908750,1761226,1368085,1897005,,192844,181554,250679,174067,194302,312687,358415,273383,196866,359772
750210,"Nickel, not alloyed, unwrought",10538,8812,21065,7110,6761,14250,34733,36512,30025,67932,,0,0,0,0,0,0,631977,1081519,249116,0,,1346046,1054048,1014543,718771,582402,693210,862324,832552,683485,997594
300212,Antisera and other blood fractions,0,0,0,0,0,12796,42244,364695,456774,48000,,0,0,0,0,0,522465,837114,1467178,1465852,675615,,0,0,0,0,0,3956858,3919422,4523215,4344356,4763894
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",76818,80818,8644,17048,4776,13285,41608,41373,97443,44374,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,4645856,4659023,3045488,3429044,4378231,4147006,3538856,3308204,6200531,8200355
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",50619,49947,57671,56315,49700,42599,38790,39762,43864,42472,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,413945,437237,491059,430880,448630,441910,465072,469321,736105,627551
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",56944,52355,46662,32696,28906,22434,31379,33838,29193,41600,,15131,15875,24219,23296,32971,27795,19484,21139,41571,66392,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",42989,39324,32933,26595,25095,30942,36118,34874,32635,38224,,427988,388820,378505,325475,314065,314370,405729,340933,404265,389387,,695795,839911,707886,552435,535121,556582,681047,566750,571299,541834
300220,Vaccines for human medicine,62468,42072,32403,48400,55107,63424,30555,32392,16724,36670,,184472,153494,114423,120344,114640,124942,99920,98872,80526,125784,,971355,1349068,1755111,875717,944031,983109,1187614,1224933,1478966,10746191
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",157,350,602,669,784,767,721,615,126,30540,,304233,192383,214549,78553,0,0,0,1,1,0,,1073528,761559,657527,471439,349118,668525,745129,581407,384788,764005
260700,Lead ores and concentrates,140607,183127,114287,73083,0,0,0,0,0,30102,,1211398,1048874,1004569,717711,383891,338970,441416,674487,560462,697812,,498091,611393,582250,507536,448117,506888,379131,371552,337376,429632
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",70253,30343,5726,533,250,260,120,167,10455,29763,,44329,32307,38610,24865,32982,45900,49717,77881,63421,67337,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",43258,38868,35929,36357,30656,31110,32345,26114,28152,21441,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,1938020,2111724,2209601,1816003,1797358,1835552,1931333,1868198,1954682,2186295
80212,"Fresh or dried almonds, shelled",11437,21987,29731,44189,29856,27329,26581,31348,36536,20476,,96838,224162,297070,406034,245901,206331,212259,297251,277849,275805,,452008,601449,729363,868445,657332,600289,626146,678417,702428,609594
847989,"Machines and mechanical appliances, n.e.s.",6557,4185,6169,8016,9845,15087,16230,15574,14015,20177,,144110,177681,175136,137115,139231,130954,211316,160718,165550,158777,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),3265,3589,4934,4828,4061,6057,9921,9185,18934,20113,,23096,25989,27616,38643,47527,47236,56085,77576,108081,163119,,129489,150483,159949,153843,166416,184011,185510,177062,213399,286485
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",28923,26285,23330,27591,17807,8823,13127,8034,17918,16770,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
20130,"Fresh or chilled bovine meat, boneless",4448,5915,10451,11183,14487,16878,20235,17873,14002,14739,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,1198449,1241770,1322952,1227126,1313109,1373553,1438913,1364741,1326188,1439062
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),95391,22226,0,5197,4943,24571,28496,66011,7341,13314,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,3700351,3314750,2793452,1537518,1403554,1974297,1866447,2546151,2324303,4213173
80262,"Fresh or dried macadamia nuts, shelled",20969,27475,28534,22217,17778,13511,17795,22896,16949,12912,,59783,75926,81123,90239,96601,106979,145085,167529,166986,163495,,26579,37779,42120,50526,54351,42814,63571,68415,71740,77504
281820,Aluminium oxide (excluding artificial corundum),7435,3213,1478,276,215,409,392,507,1694,12818,,5211506,5214946,5118388,4846901,4163306,5620871,7495431,5757417,4722433,5788406,,237787,356189,301132,247698,297602,381119,471082,375084,297846,418856
293911,"Concentrates of poppy straw; buprenorphine """"INN"""", codeine, dihydrocodeine """"INN"""", ethylmorphine, ...""",8056,6938,6201,6628,6731,6071,2324,3676,3134,12770,,1723,804,4251,6664,8908,9939,8289,11417,10500,4991,,32869,44337,59420,56484,47562,34812,25041,33250,30699,31044
280469,"Silicon containing < 99,99% by weight of silicon",22693,28862,33034,33380,25121,25337,38424,14170,22619,12767,,90500,117337,124153,123558,93528,93519,102678,93368,84353,100336,,636939,604691,609020,574610,547636,525204,692164,523133,478958,576981
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",12508,6095,5353,6022,7440,6497,7591,7959,8746,12717,,110535,100138,96419,69215,80039,116605,126853,125493,116585,135593,,1084208,1054348,1085434,1073277,1070489,1195827,1253240,1159054,1197664,1319956
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",6610,6229,4681,5727,5868,6017,6591,4626,6465,10595,,10274,11738,8841,12719,15224,14564,14374,15673,17079,28513,,209387,227160,260228,236390,251618,282214,333146,329316,370397,400995
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",13702,6848,10064,8288,6021,5426,7229,5251,7383,9108,,201524,243869,277718,284598,333847,400731,361114,384360,373396,439784,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",3694,8180,7496,7182,7127,6974,7427,8372,5657,8726,,16021,14384,16644,18673,22309,21405,17402,19850,19970,20672,,1692063,1884008,1997113,1892699,2044126,2180825,2267182,2156470,2352292,2635981
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",5357,4685,4041,4381,3679,4185,5753,5342,6900,8027,,85977,71541,74102,59618,75113,69075,88821,100027,86092,113033,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",261,364,191,260,276,1922,2090,2063,4864,6467,,14683,24140,16838,20930,13563,19857,9744,13178,19357,21723,,938302,832221,1032441,918450,1002584,992118,1198574,1247508,1169569,1368404
282550,Copper oxides and hydroxides,4815,4377,3784,2704,3118,3490,4500,4133,2591,6380,,49718,56453,52932,39067,35703,45380,51661,43025,38382,72620,,11959,10709,10523,7445,6911,8080,7947,7256,6228,10839
300640,Dental cements and other dental fillings; bone reconstruction cements,7082,8175,7304,6500,6708,3891,5742,5608,4906,5912,,35492,30982,32627,27434,23815,19899,22867,16470,10662,15092,,218525,221880,221210,206719,194600,183947,185736,183810,172664,336370
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",3255,3761,3891,3843,4129,3981,5836,4875,7177,5815,,26810,29820,32214,40512,46388,56898,53147,46148,57899,60869,,107019,114189,120048,122094,134508,141353,164556,156222,164681,155798
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",1761,1457,1068,1279,1263,1705,3363,4708,3727,5683,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,1219409,1444177,1498554,1367840,1440036,1649887,1833142,1791663,1609789,1928745
510130,"Carbonised wool, neither carded nor combed",3019,3077,5578,3804,7561,6100,3404,4823,4123,5661,,97274,108098,108702,137430,138592,129835,153160,104617,62969,86684,,12026,14205,16073,10084,13896,14488,8285,9547,7364,6738
847990,"Parts of machines and mechanical appliances, n.e.s.",5065,5889,5698,4323,6572,7195,9708,6911,5917,5486,,99038,107637,140759,92866,118015,182923,88063,90164,70183,93607,,1363382,1308227,1397637,1295719,1383117,1440613,1747497,1663057,1608679,1874929
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",2960,5190,3541,3855,4040,5606,4175,3396,3246,5003,,312866,353942,348822,335180,350065,378095,369064,367162,399294,447866,,3425792,3792639,3982430,3529437,3671361,3847111,4234192,4295513,4388997,4389275
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",8917,6908,5584,5672,5059,4499,4652,4116,3707,4921,,598,1433,809,5264,6977,5719,5240,6371,3958,6348,,105764,96085,98818,90213,100982,105230,107866,107891,111217,115853
