Product code,Product label,Germany's imports from China-Value in 2012,Germany's imports from China-Value in 2013,Germany's imports from China-Value in 2014,Germany's imports from China-Value in 2015,Germany's imports from China-Value in 2016,Germany's imports from China-Value in 2017,Germany's imports from China-Value in 2018,Germany's imports from China-Value in 2019,Germany's imports from China-Value in 2020,Germany's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,102393093,100312728,107580164,101946561,104014508,115183864,125101066,123165529,134141333,167325842,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",6681240,5373132,7314510,8016382,7539974,8377977,8419230,7974462,10488298,14492891,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,8847432,7869203,10222954,10596654,10250296,11028789,11239636,10826684,13654158,17575276
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",4573374,5213228,5734483,6495988,7462153,7564023,7811225,7230839,8761554,8626601,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1599292,1681696,1840391,2087625,2597579,3048720,3630460,3748514,3845764,4395878,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
999999,Commodities not elsewhere specified,776558,1053657,1153038,1005478,1369971,2423060,2634665,2739493,2166222,3559569,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
850760,Lithium-ion accumulators (excluding spent),158154,186125,226463,264734,335719,471615,876467,1508588,1845030,2971802,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,7863,9035,9448,227203,2405810,,0,0,0,0,0,164983,147878,192849,3177502,9333134,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",4345575,1841418,752730,501600,536341,526738,632449,1355599,1639320,2376026,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1332211,1189811,1541883,1370017,1229370,2141102,2224556,1454644,1501173,2260940,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
850440,Static converters,892011,962688,998357,968985,1049211,1132781,1210374,1357229,1638290,2182111,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
