Product code,Product label,Germany's imports from India-Value in 2012,Germany's imports from India-Value in 2013,Germany's imports from India-Value in 2014,Germany's imports from India-Value in 2015,Germany's imports from India-Value in 2016,Germany's imports from India-Value in 2017,Germany's imports from India-Value in 2018,Germany's imports from India-Value in 2019,Germany's imports from India-Value in 2020,Germany's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,9153660,9392277,9597572,8415246,8474420,9571303,10553285,10524025,10183165,12862522,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",275350,298937,247664,216649,205110,270601,336418,392498,497473,434409,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",347522,210249,25196,834,102,50,282,72501,322871,358751,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",17796,20178,25289,24230,17724,17502,56790,223520,261414,332340,,48618,99830,109477,123064,93425,132928,185919,242677,378065,300063,,1267205,1350843,1488629,1064025,955258,913856,1056129,939884,772709,843680
999999,Commodities not elsewhere specified,82410,77775,76210,63726,71235,58120,264717,245501,205950,308964,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",192670,212484,258789,220378,224697,255952,287137,250725,208060,244274,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,2713275,2930153,3006643,2544102,2446091,2644625,2819703,2766579,2704202,3141903
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,85933,104733,92566,103175,142537,,0,0,0,0,0,486921,693075,669986,739012,1111596,,0,0,0,0,0,391981,439391,396767,429271,550217
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",41414,45135,50902,48688,48377,54408,58051,70971,80931,135017,,378979,417573,397740,410539,428141,444852,516732,544251,559821,855390,,2129999,2145707,2347317,2076755,2056833,2035696,2156326,2130440,2291921,2603676
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",159152,171593,190526,171795,175764,183240,195060,201230,166536,132737,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,2408867,2436593,2529944,2333737,2291454,2599683,3084505,3204854,3061732,3029647
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",79669,67533,63313,71125,77161,61921,72145,83957,73742,125882,,483309,527760,584914,658517,671755,719097,820139,738432,609702,980092,,3818469,3675550,3932631,3337936,3499906,3685295,4041239,3700733,2925090,3612638
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",87565,119634,142506,113080,111891,110732,118248,129472,105371,124503,,333593,450222,535395,625328,798485,818403,845001,933061,661634,779912,,1376191,1632603,1783911,1363779,1327122,1334499,1384642,1474394,1429048,1581418
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",37698,28680,31083,65206,64638,72528,70918,100297,127829,122067,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,1197290,1225060,1083861,1297279,1019414,902454,1309400,1574519,2428864,2827279
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,45280,54387,53556,52979,79267,121828,107618,97011,80640,114696,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,599571,634763,649168,532629,525064,543364,525057,478262,453343,521812
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",65665,61983,58116,36020,27408,71521,75131,95481,76937,109220,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,78069,76276,79629,51469,45641,91755,92457,115484,88327,122792
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",31607,37398,47967,48747,50487,66754,85432,79383,65295,103957,,268511,388432,505699,477118,428516,547805,728061,702569,628170,983184,,186309,204999,219597,183699,180481,206687,244954,212927,223407,279162
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",56030,77006,87993,69319,66963,75076,84438,81885,73039,102028,,93130,125587,124953,115777,118654,132787,174322,196278,140208,202604,,1782065,1993352,2057477,1731373,1803706,2037935,2054726,2030316,2053989,2617554
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",73739,79836,59078,49548,52211,52146,68131,69759,76204,97255,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,1009522,1051525,1262223,1302646,1268906,838222,689637,736190,707739,802945
80132,"Fresh or dried cashew nuts, shelled",153881,143924,165124,158594,158830,212697,168252,144228,148281,93818,,765635,917488,861026,804318,730899,942411,666431,564571,404228,432499,,219309,219685,279369,320742,402293,549400,494724,477294,491080,425694
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",46648,42624,58167,44001,43289,48515,57417,70679,106289,92972,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,1256613,1098187,1997002,2034868,2084380,2163952,3939110,2627129,3333326,1722534
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",57893,96027,138660,140955,149469,155541,159007,126741,97716,91850,,371381,576872,729466,834284,636885,644626,578182,520213,311123,308200,,441673,586740,767425,847236,878233,928664,983688,877437,667808,600685
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",16948,18749,23805,27087,28413,33865,48497,56254,53423,88877,,91498,115380,124144,132574,112345,135218,169779,146160,124994,199645,,1489866,1457419,1585324,1395717,1502241,1706977,1991127,1831423,1659607,2095111
90111,Coffee (excluding roasted and decaffeinated),96195,72599,79750,67871,66261,93762,80125,79873,80097,84065,,610280,562895,534476,535314,546068,635131,512358,499454,461426,622910,,3895629,2897714,3213964,3105896,2937066,3110873,2791865,2549476,2736605,3238322
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),52198,33523,35255,29664,29952,35285,42455,50298,57205,83214,,710583,646363,666260,596972,518380,524761,490350,574204,461810,623947,,244849,203616,193634,168956,188704,220365,246256,270682,268623,339578
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",65084,57538,58740,57219,61278,65920,75796,71593,68161,81876,,257563,332334,337367,340597,268940,329364,421459,484317,415188,486798,,1357145,1364875,1373242,1194053,1291098,1456760,1599675,1511774,1393392,1699011
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",51043,54586,48923,50359,48688,44906,47838,47070,58949,80726,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,285844,276233,271840,243253,225971,227414,301029,256400,194262,224741
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",69639,61848,65621,55825,51633,52129,54836,51350,49997,78272,,36676,107651,98590,65119,64445,66866,91924,113182,131336,177551,,319425,301526,336870,271428,243414,240720,244662,231830,243420,287289
290220,Benzene,0,0,5,36,4,5,9143,5529,5619,76411,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,550750,624639,500139,366546,333220,379713,340418,245240,182920,375065
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",44882,46663,48495,45679,47759,63099,70375,66917,56283,74949,,184552,213399,213000,203366,207473,248285,245272,238738,202626,289411,,1354654,1446842,1544451,1322903,1369014,1515990,1631178,1507320,1370634,1668306
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",34449,35833,33640,37835,39844,46728,50354,51765,53345,74482,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,957849,864560,854242,805472,800365,904987,985444,995107,886073,1070144
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,3574,7742,1974,0,63243,55963,19524,413,71276,,2075456,2860253,1180724,429948,305238,837924,893291,744417,701358,900822,,1681515,1614951,1429787,1233326,1160980,1061079,1045921,898791,784458,1016277
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",31305,46784,54939,47747,53790,71083,69879,63357,54415,71217,,104331,116283,108288,130263,133213,131191,108143,99781,90336,147656,,469857,563876,659873,608332,613326,695755,743787,776080,883798,1263366
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",134979,123623,113623,75250,75783,87213,90907,65224,56791,69013,,822359,887863,742463,672950,592520,615216,566054,489479,355108,435928,,680550,649671,589953,427839,433594,468332,448124,355178,300311,341496
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),27020,40704,47592,36717,45443,56480,71195,69678,66895,68279,,350290,490076,483787,563964,516860,599852,566844,664626,484286,558154,,316126,390048,429192,386913,468768,565753,644241,659638,559248,508121
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",31992,34638,42910,43366,52201,58772,67849,65241,64202,67512,,447808,545549,583756,590149,655472,631597,646901,708922,624402,790976,,312885,353414,392532,365665,394101,436450,469894,411494,454940,565505
80610,Fresh grapes,15562,39071,36995,26534,45759,63270,62023,58872,57735,67261,,131287,193526,223731,122391,219449,275964,275656,307972,286118,323519,,629753,699215,726195,679366,686613,729287,757631,680029,805374,779492
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",141029,153583,161051,135035,107598,96943,93093,81423,72371,65123,,552168,652474,618451,566366,538192,530431,487228,436939,320549,328859,,436302,459914,507484,416930,364719,349973,349718,314894,289746,282579
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),6736,7624,18994,24791,34426,36923,44666,55051,60151,65009,,71446,84018,119150,132798,206788,270678,246462,263800,196072,279235,,92377,102226,131508,143459,176038,201649,241530,375701,388216,423014
