Product code,Product label,Germany's imports from Japan-Value in 2012,Germany's imports from Japan-Value in 2013,Germany's imports from Japan-Value in 2014,Germany's imports from Japan-Value in 2015,Germany's imports from Japan-Value in 2016,Germany's imports from Japan-Value in 2017,Germany's imports from Japan-Value in 2018,Germany's imports from Japan-Value in 2019,Germany's imports from Japan-Value in 2020,Germany's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,29961882,27492037,26500610,22377628,24267202,25896658,28016813,26756331,24451220,27739255,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",2349857,2398538,1793415,1652631,1381229,1509499,1602596,1041607,1007469,1326320,,11579087,10490187,9578395,8552058,8008284,8257570,8121314,7614422,6637433,7581707,,6457439,6621388,5714381,5011767,4619504,5310193,5857290,4729365,4907744,5410377
950450,Video game consoles and machines (excluding operated by any means of payment),177286,28788,27269,157282,234224,515328,740300,782356,910947,986020,,925063,924852,751503,444790,590963,1492819,2319022,2121841,2718615,2865835,,1612021,1168717,1296389,1473719,1107563,1965823,2263996,2160973,2241224,2692096
999999,Commodities not elsewhere specified,453154,481786,539577,436694,535531,666271,718291,885361,546392,822709,,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815,41066512,50409214,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",123597,146537,102810,66461,86255,118062,353726,531748,740720,796146,,508279,493031,593425,561735,625905,853118,957574,1201807,1405589,1460695,,1197290,1225060,1083861,1297279,1019414,902454,1309400,1574519,2428864,2827279
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",321815,325501,342319,328261,387697,427558,574578,613180,523319,669832,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,548335,598854,628107,589672,726455,876690,1382406,1530662,1130603,1633454
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",447865,382588,394241,750931,1167159,1329638,1394754,1499515,879682,610084,,50543538,49172269,48588331,48487546,55726997,48063707,49394851,49845528,39139054,39410856,,8869822,8494804,10377373,9689513,10859926,12806360,15507777,16039964,11635693,10001194
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",644377,677029,859954,554007,574891,662663,651623,561006,480291,527459,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",482150,482313,538061,429167,459579,437646,503175,457249,468934,506001,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,3425792,3792639,3982430,3529437,3671361,3847111,4234192,4295513,4388997,4389275
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,281536,270028,356763,431070,434711,,0,0,0,0,0,10710065,11071157,16315948,18239044,19084523,,0,0,0,0,0,742461,895253,1268273,2339682,3343930
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",440578,300607,410190,357320,383931,367738,422467,471751,389282,434317,,392208,377712,399045,386419,404554,493118,503166,582416,620509,621323,,938302,832221,1032441,918450,1002584,992118,1198574,1247508,1169569,1368404
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",320708,336963,356682,323083,319152,309386,299024,314891,355090,401635,,931266,850509,668294,610225,600349,572804,578025,571705,547276,567754,,8847432,7869203,10222954,10596654,10250296,11028789,11239636,10826684,13654158,17575276
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,70094,92397,313915,274894,353679,,0,0,0,0,0,1724118,2765223,2588951,2188795,3623523,,0,0,0,0,0,463671,409813,1992920,5492965,7466435
902710,Gas or smoke analysis apparatus,290253,300826,277946,251381,265665,307397,384429,447837,398305,318647,,174670,133474,144652,126739,130866,145786,178384,186193,130107,123681,,447874,492037,522356,588453,649974,742621,905166,920434,861064,838479
852580,"Television cameras, digital cameras and video camera recorders",795792,681096,507310,328367,347871,370797,329018,303731,275000,318143,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,310319,141212,66873,54316,67249,160549,165817,127118,196120,309635,,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126,,844346,588900,349257,330877,346135,590062,477052,412420,572819,1024383
841191,"Parts of turbojets or turbopropellers, n.e.s.",417404,510331,424969,385729,330592,146026,146135,280239,244014,308446,,2378787,2526942,2514190,2700905,3050984,3244781,3561068,3640837,2397565,2273640,,3443930,4622651,4435026,4416769,4585160,5026068,5825195,7172843,4119021,4893025
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",480797,501186,483525,442322,394791,316619,295602,302570,290864,305652,,517351,492151,493353,466962,564146,566371,637695,736285,729873,887484,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
841430,Compressors for refrigerating equipment,359157,434762,306546,381670,311927,230794,244759,261103,230171,283052,,1788703,1583292,1408478,1183748,1268087,1274628,1395504,1311744,1266744,1803557,,1063211,1153591,948699,954077,916220,913306,983025,956937,932025,1130466
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",330581,275464,318284,249739,235343,257126,255359,247102,212267,266944,,1913724,1746010,1570909,1370836,1301618,1322710,1350612,1069275,811851,1185481,,550369,511867,596666,509771,445234,499444,558577,583130,537511,627473
850440,Static converters,76830,82771,83086,79489,120425,178588,180997,148922,213590,264556,,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",174480,155622,187330,134671,161531,172087,197697,210143,187539,243589,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",266265,250053,258818,212031,236810,270077,277791,218991,223019,240943,,11616770,10094836,9824469,9060572,9062482,10815125,10812400,11523918,11186084,12182276,,4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,234064,265826,316076,185360,191497,205216,227384,213037,260111,217776,,835045,874688,912856,802384,808684,912496,950771,945738,848540,982988,,298462,341023,419478,271960,277934,324616,327148,331059,408639,460445
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,163689,177360,176563,189317,215056,,0,0,0,0,0,286072,307603,291146,304622,325819,,0,0,0,0,0,1770473,1873425,1843675,2129341,2590622
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",166433,150698,154135,138324,162466,180284,205196,206084,205394,211404,,1880549,1744325,1793243,1703795,1923727,2007127,2254335,2410488,2298719,2856208,,1084208,1054348,1085434,1073277,1070489,1195827,1253240,1159054,1197664,1319956
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",57983,46018,51632,75535,100212,125868,186403,152173,142254,210126,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,409191,402276,449370,456935,536303,596463,733332,724796,674513,906177
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",261029,168695,109234,108029,118493,253422,565152,437744,412086,202106,,8021167,6803802,4949131,4930431,6090438,4185856,7018835,5502329,2680999,2997833,,8462325,8394870,9367114,8448928,9736243,11562125,13570966,14061441,11155613,9554730
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",64249,70723,60550,76325,80323,75676,40373,53156,126187,196364,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",182810,121191,154311,128711,140455,135749,154519,159184,164495,195331,,5832186,4725687,4535930,4031915,3912765,3882194,3955824,3532115,3441502,3822637,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
