Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,10969600,10753920,10661567,8524684,8565734,12828572,14316894,13760781,12886129,14947509,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,44440,33125,87865,170237,1639051,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
850760,Lithium-ion accumulators (excluding spent),65711,90368,236336,270121,457983,754351,770353,869648,966560,874877,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,90751,154134,246010,504326,835666,,0,0,0,0,0,421247,1092526,2353736,3904372,5649118,,0,0,0,0,0,619212,854430,1624813,4797368,8883204
847170,Storage units for automatic data-processing machines,24597,93946,109034,148720,224570,343469,488957,447571,665153,762319,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,4536304,4169253,4361677,4147970,3981074,4288232,4473312,4456792,4499308,4855114
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,225896,264297,296853,184266,136155,585133,967752,695251,765653,732456,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",661538,885208,814745,441931,346125,526405,401981,382160,340816,480646,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",29637,33465,35283,46451,41083,37354,34893,30402,668791,470344,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",200676,193668,146732,207624,250623,487686,386081,421568,332511,444533,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
999999,Commodities not elsewhere specified,94039,113010,105834,101438,128090,177220,547989,511029,295763,407445,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
