Product code,Product label,Germany's imports from Russian Federation-Value in 2012,Germany's imports from Russian Federation-Value in 2013,Germany's imports from Russian Federation-Value in 2014,Germany's imports from Russian Federation-Value in 2015,Germany's imports from Russian Federation-Value in 2016,Germany's imports from Russian Federation-Value in 2017,Germany's imports from Russian Federation-Value in 2018,Germany's imports from Russian Federation-Value in 2019,Germany's imports from Russian Federation-Value in 2020,Germany's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,41244185,39698776,37042740,22930858,20598602,25090016,29964134,24863110,17441765,27228196,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",27626966,24621616,19615556,11180632,9707708,12340904,14750668,11953563,7960055,11397277,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,76779920,75727628,65737928,36513217,28776094,36231014,45086740,40738077,27401959,39962984
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2739124,4592521,6016477,3266331,3289803,3415991,3550172,3644225,2160291,2672524,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,23761969,26820702,22678918,13970891,12235047,14189323,17461245,17496797,10501298,13236501
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",859868,818413,747396,748317,746500,1206369,1384458,1017918,540960,1728345,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,4565933,4177979,3731257,2972631,2689305,4489453,4427063,3507124,2068536,3942563
711021,"Palladium, unwrought or in powder form",236656,131149,160557,217480,211668,204699,630143,766271,691267,1135249,,1463889,882242,448250,662655,1785805,2448253,2808706,4255992,6448950,6540675,,899221,873002,992986,859175,868523,1773985,2397732,2980591,3325946,4688941
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1271626,1278601,953517,1192167,1129578,1093110,1573952,737400,678308,1074930,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,5008318,4985278,4419722,3751782,3418885,3818221,4393793,3518691,3684979,4825128
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",331607,425971,455453,431412,424295,661220,580070,568197,384389,729743,,9593,759,5464,46594,13969,18143,26322,15826,5303,75082,,1136348,1211729,1661586,1260711,1170116,1215073,1135302,921442,538555,1099631
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,18524,43185,22266,70397,129461,137434,202065,316557,719913,,1080827,976576,1000100,475786,436509,1134506,1288423,1564798,1213693,2304743,,1708321,1972353,1978849,1245887,1192690,1630377,1787534,1476813,1351188,2732870
760110,"Aluminium, not alloyed, unwrought",250853,285276,575202,494398,438988,469931,683208,521723,230379,446538,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,1725906,1719589,1975986,1570421,1477856,1540280,1824936,1445823,1056736,1831918
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",3453,3275,745621,534761,112188,150989,124384,75832,29127,439843,,82660,146436,181224,98175,139822,872283,2798135,3983450,1454065,20641,,216032,150758,1223631,788340,234210,280750,257393,244157,268093,778206
