Product code,Product label,Germany's imports from Singapore-Value in 2012,Germany's imports from Singapore-Value in 2013,Germany's imports from Singapore-Value in 2014,Germany's imports from Singapore-Value in 2015,Germany's imports from Singapore-Value in 2016,Germany's imports from Singapore-Value in 2017,Germany's imports from Singapore-Value in 2018,Germany's imports from Singapore-Value in 2019,Germany's imports from Singapore-Value in 2020,Germany's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,6549998,6459574,6691703,6507801,5929744,7369859,7780537,6444294,5512946,4969353,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",2243132,1883363,2129493,2771311,2311194,2098786,2067182,1488212,700068,641670,,3319338,2996109,2728774,3523666,3225195,3409218,3494541,2211267,1399386,1047345,,2553614,2208346,2492388,3077250,2599978,2384601,2320049,1722259,938598,961314
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",15667,38786,90530,85280,418117,729385,1100123,1606982,1362313,459210,,4557270,4751321,5214978,4844907,3722797,3808153,4689753,4161462,4978025,5658604,,21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
321590,"Ink, whether or not concentrated or solid (excluding printing ink)",121996,199732,149762,104517,62655,10554,384130,339702,281993,263007,,149874,166536,130769,88712,95278,75517,97055,60453,127373,173574,,1634465,2155295,2106438,1626445,967503,300689,1663618,1578921,1743261,1676487
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",95959,89402,118304,113004,90292,113389,114495,133262,162033,184786,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,850580,825450,954039,876471,921636,1076778,975603,818627,993020,1149398
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,85611,116313,182710,175603,173767,,0,0,0,0,0,0,70127,328867,377613,471317,,0,0,0,0,0,8326241,8711940,6497640,8143472,7225254
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",0,0,0,0,0,15,5,116075,88,164469,,64304,569655,285958,191242,140250,69219,161680,520518,500928,478699,,1256613,1098187,1997002,2034868,2084380,2163952,3939110,2627129,3333326,1722534
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",0,5,0,2,2,0,57,8628,183281,156651,,38857,12910,561610,406180,623622,346020,532894,444957,883079,834669,,1766433,1758539,1715635,2891204,3737142,4349462,3863964,5228578,5051082,4680937
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,99249,48866,22808,11635,11736,55399,17699,19381,69047,140544,,1470061,934277,1343731,1881182,2521896,4086520,3714930,4119830,5614371,9161510,,844346,588900,349257,330877,346135,590062,477052,412420,572819,1024383
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",97617,100123,106791,99110,99810,110569,109641,106381,122182,120787,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
