Product code,Product label,"Germany's imports from Taipei, Chinese-Value in 2012","Germany's imports from Taipei, Chinese-Value in 2013","Germany's imports from Taipei, Chinese-Value in 2014","Germany's imports from Taipei, Chinese-Value in 2015","Germany's imports from Taipei, Chinese-Value in 2016","Germany's imports from Taipei, Chinese-Value in 2017","Germany's imports from Taipei, Chinese-Value in 2018","Germany's imports from Taipei, Chinese-Value in 2019","Germany's imports from Taipei, Chinese-Value in 2020","Germany's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,8449791,8654666,9496373,9059867,9486352,10712713,12031698,11330920,10904582,14394289,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",511010,445034,580682,806315,1020231,1320537,1568681,1546095,1423974,1929211,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",311160,360209,490631,606931,613713,966779,997640,973733,795875,1111278,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",170067,173244,191869,234711,277898,397745,429131,445198,489936,586140,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,223901,230684,264736,200839,183229,245763,273436,273627,327616,517314,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",55282,159960,227192,192013,196753,145390,133553,241960,316807,424785,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,8847432,7869203,10222954,10596654,10250296,11028789,11239636,10826684,13654158,17575276
871499,"Parts and accessories, for bicycles, n.e.s.",109770,110070,123005,129375,138868,148813,186004,208208,249370,374988,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,456514,434365,510311,526100,553356,554682,644508,672459,721821,1063543
871491,"Frames and forks, and parts thereof, for cycles, n.e.s. (excluding for motorcycles)",91433,89516,122774,150724,150779,148342,193116,208202,218960,342053,,387603,368380,431297,473409,457193,513809,574787,557393,611637,929500,,307861,292989,345593,390249,404244,371839,471542,519349,597600,910810
854232,Electronic integrated circuits as memories,123982,134896,170538,184072,214249,267641,296810,253353,209802,294171,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,1093770,1127882,1230584,1110474,1049982,1504847,1969514,1435166,903952,1043284
999999,Commodities not elsewhere specified,116218,161206,133325,118938,162478,58772,238750,236887,195485,276545,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",212614,202077,204396,162411,148002,179246,191760,179953,201346,263149,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,1023284,1094573,1148127,1090645,1230428,1362160,1201675,1210390,1191558,1352798
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",84875,123279,152891,168155,174335,250410,331022,278323,215937,225411,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,3341195,3015265,3023479,2406466,2387952,2565931,2751037,2784816,3273111,3695646
847170,Storage units for automatic data-processing machines,209045,100692,84360,80086,72771,76723,113306,107463,147013,223566,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,4536304,4169253,4361677,4147970,3981074,4288232,4473312,4456792,4499308,4855114
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",47661,65563,72060,68563,73097,81297,118654,180446,222625,223222,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,866808,1009286,1208990,1042226,1043587,1199067,1325092,1444626,1653803,2067584
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",398540,345524,439560,465229,464745,370485,308479,197274,153276,190716,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",117423,116274,142503,136894,138326,159868,189076,156581,129443,172882,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,1584717,1638950,1777491,1689164,1673433,1834696,2041517,1820053,1550723,2017398
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",109422,118657,130386,113559,121156,137982,152117,140323,135060,166391,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,282085,294335,327618,290850,317244,383725,413688,400705,389884,482687
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",55358,72938,66715,61291,62588,67851,80562,71740,95427,165918,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,1996911,2030978,2446208,2497669,2583147,3272641,3756810,4084370,3950155,3915795
853400,Printed circuits,250262,232456,142052,132769,176164,125762,140333,137869,122841,151350,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,1832769,1863786,1957496,1832634,1944249,2070099,2195618,1981735,1772786,2268707
850440,Static converters,94897,98067,101093,98687,96813,108220,110336,106898,108714,148796,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
731816,Nuts of iron or steel,113462,112210,123111,112768,121818,130989,150884,121423,99773,138204,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,479923,514106,556939,494584,508494,576866,654170,592091,526635,677591
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",60850,49834,51395,90102,18786,35940,37458,33228,102253,113647,,69171,87558,70019,59366,76175,27698,97728,62003,149161,206854,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",40601,38709,46634,43642,45934,50153,53515,45296,52384,104407,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,405656,399829,496369,487254,523553,631819,844367,723915,684107,1159250
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),52862,59061,67344,66052,68354,80752,94486,76784,67246,102252,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,1637565,1991066,2118329,1984055,2111831,2451257,2705336,2480030,2406218,3037324
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,58898,87627,119169,98485,102073,,0,0,0,0,0,232128,386182,870885,995609,1332394,,0,0,0,0,0,711587,1142274,1415501,1632248,1984101
