Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,67205165,66571065,67526624,66428354,64142420,69868049,76179360,79839832,77285597,85141199,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,11571,14558,318323,255398,2004289,2411714,3385062,4170986,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,76779920,75727628,65737928,36513217,28776094,36231014,45086740,40738077,27401959,39962984
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",4032968,3933262,3721220,4772609,3818564,2838025,2743524,3830491,4002610,3661142,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,21621652,21058205,22725718,21155341,22533501,22662562,25079507,26724437,29590644,29306008
841112,Turbojets of a thrust > 25 kN,1388801,1306727,1839320,1637692,2337810,2304728,3772094,3634334,3178785,3610325,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,3525476,4083886,4253106,2792531,3517541,2804974,5021898,5374097,4269132,4462300
999999,Commodities not elsewhere specified,1606427,1626214,2417328,1747027,2153412,2295537,2254039,2074875,1802834,2967257,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
841191,"Parts of turbojets or turbopropellers, n.e.s.",1599059,2179220,2117369,2642122,2994265,3548614,4311920,4986999,2805875,2837603,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,3443930,4622651,4435026,4416769,4585160,5026068,5825195,7172843,4119021,4893025
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,2389076,1437098,1673809,1949324,2764110,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",2753211,2642335,2592268,2596141,107031,454667,598721,1953445,1941463,2235111,,2465048,1485234,3214942,1520109,1872014,847495,207149,577850,860362,800658,,15259611,18055952,19319373,16351328,13925806,8883286,6795016,8521116,5886253,4884710
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",193308,357804,120524,85289,66075,68294,112343,231031,649377,1913478,,839115,1083228,1099205,908300,549302,540196,619764,731979,1416538,3359179,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",1119166,1172274,1225948,1168424,1167844,1303345,1277809,1262970,1890540,1825735,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
300212,Antisera and other blood fractions,0,0,0,0,0,1188628,1466117,1841377,1708324,1559255,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,3956858,3919422,4523215,4344356,4763894
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,4511,10947,256186,705802,1478230,,0,0,0,0,0,3193768,3417659,7879129,6156647,4634088,,0,0,0,0,0,619212,854430,1624813,4797368,8883204
