Product code,Product label,Germany's imports from Viet Nam-Value in 2012,Germany's imports from Viet Nam-Value in 2013,Germany's imports from Viet Nam-Value in 2014,Germany's imports from Viet Nam-Value in 2015,Germany's imports from Viet Nam-Value in 2016,Germany's imports from Viet Nam-Value in 2017,Germany's imports from Viet Nam-Value in 2018,Germany's imports from Viet Nam-Value in 2019,Germany's imports from Viet Nam-Value in 2020,Germany's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,6649829,7541006,8092434,8924402,9745278,10887622,11552172,10884226,11787173,12671915,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",1724785,1976147,1796518,2499927,2613323,2577188,2545247,1961534,1930812,1441620,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",106124,193042,313679,402796,496078,647786,691434,677630,688217,522091,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,524193,748289,1068541,1265861,1503799,1827045,2188396,2188496,2245210,1933232
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",22963,69169,95823,98758,154443,253807,221352,228088,365098,462534,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",351602,384302,423371,407309,428456,506000,432604,476174,462981,415116,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,2408867,2436593,2529944,2333737,2291454,2599683,3084505,3204854,3061732,3029647
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,110880,119635,141684,169021,171601,195475,215884,241294,308344,396301,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,902423,996545,1049398,1056370,1204122,1381441,1520944,1669335,1666461,1925350
999999,Commodities not elsewhere specified,9111,12712,14473,12548,16239,23584,233910,239681,176638,392029,,369619,527702,550840,618664,246075,287071,3884982,4472089,2888636,8557994,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
90111,Coffee (excluding roasted and decaffeinated),627700,446439,531469,469917,545716,563806,510361,398456,384784,386694,,3507401,2513198,3267706,2341585,2967118,3007675,2811711,2135113,1886972,2233123,,3895629,2897714,3213964,3105896,2937066,3110873,2791865,2549476,2736605,3238322
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",165826,523973,477647,356407,342739,342910,300372,270995,348809,352369,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,8847432,7869203,10222954,10596654,10250296,11028789,11239636,10826684,13654158,17575276
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",3226,15234,3493,553,5318,34208,23777,37278,277838,351232,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,3341195,3015265,3023479,2406466,2387952,2565931,2751037,2784816,3273111,3695646
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,204128,213694,244253,248275,271847,271378,281915,328354,305363,316774,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,1092882,1113930,1235569,1239951,1289688,1344599,1440554,1445501,1361296,1490386
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,3110,1801,6471,34067,39145,42109,30573,37086,139206,296862,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
80132,"Fresh or dried cashew nuts, shelled",32890,41566,74451,125235,198542,271587,260713,264197,283225,266215,,1443109,1596348,1930396,2315661,2732522,3385090,3128961,2941542,2843195,2912469,,219309,219685,279369,320742,402293,549400,494724,477294,491080,425694
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",122781,146025,179313,187981,187768,218256,255931,249298,242873,238533,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,919463,979632,1126529,1135744,1178047,1242923,1282262,1386656,1269773,1341231
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",24293,28154,27731,52281,78676,100390,133290,163618,164647,191760,,191040,210187,225505,253116,297542,378785,442233,472092,421137,1749655,,6457439,6621388,5714381,5011767,4619504,5310193,5857290,4729365,4907744,5410377
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",56017,59468,61160,91566,130933,173186,263750,203737,198289,172482,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,2516104,2612378,2517270,2023296,1986649,2016601,2289499,1856857,1618389,1622119
853180,Electric sound or visual signalling apparatus (excluding indicator panels with liquid crystal ...,0,2,1,0,0,26461,35883,56560,96359,149336,,235,2338,7851,13295,11592,30386,57540,105519,250250,283009,,120990,138464,197229,187914,258355,178477,204081,232528,249605,416358
