Product code,Product label,India's imports from Australia-Value in 2012,India's imports from Australia-Value in 2013,India's imports from Australia-Value in 2014,India's imports from Australia-Value in 2015,India's imports from Australia-Value in 2016,India's imports from Australia-Value in 2017,India's imports from Australia-Value in 2018,India's imports from Australia-Value in 2019,India's imports from Australia-Value in 2020,India's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,12928894,10871894,9934691,9405568,8730208,14345897,14126314,10569385,7263296,15103006,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",6027153,5020538,5271994,4596379,4691099,7905830,9116392,7503745,5082729,11057061,,0,0,0,0,0,0,0,0,0,0,,14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",2808805,1281340,1453110,989333,312578,546541,552053,417874,230595,1121526,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
260300,Copper ores and concentrates,1200924,1619539,678093,514839,341773,322561,386730,93048,16815,504358,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,4884537,7443378,5320205,4096144,2458286,3900957,2640129,1187735,897664,2523909
281820,Aluminium oxide (excluding artificial corundum),220518,452476,252862,247235,266385,560576,643267,392754,329733,400727,,5211506,5214946,5118388,4846901,4163306,5620871,7495431,5757417,4722433,5788406,,329061,532607,347900,355363,415616,821394,1416845,959739,633199,1034897
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",16963,20488,120353,267425,180216,221316,179767,180329,171044,160602,,43691288,38380799,35187114,29623822,28260420,40555876,47206109,44407758,32725070,43934284,,17489,212636,946244,1663371,868255,804896,1728312,2196277,1295829,1309904
271111,"Natural gas, liquefied",0,0,0,295915,293635,748490,734312,458711,254434,138862,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,7795965,8311492,9888690,7133087,5425188,7204333,10912584,9550077,7908672,12078526
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",163779,110378,182009,85094,79412,146213,87330,93505,98590,128349,,1270243,1470184,1251215,853465,513925,0,0,0,0,0,,486730,423691,610769,318353,241521,776215,746818,632800,641012,1143068
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",39902,46308,58701,96818,95250,140689,166714,114470,100830,116838,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,56200,51779,41048,21109,48978,70502,93028,81882,63901,111319,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
