Product code,Product label,India's imports from Germany-Value in 2012,India's imports from Germany-Value in 2013,India's imports from Germany-Value in 2014,India's imports from Germany-Value in 2015,India's imports from Germany-Value in 2016,India's imports from Germany-Value in 2017,India's imports from Germany-Value in 2018,India's imports from Germany-Value in 2019,India's imports from Germany-Value in 2020,India's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,14765654,13079266,12706867,11835877,11498779,12659429,13891494,12272543,9684429,12965243,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",62457,49276,58760,63070,43933,50057,62574,76494,93325,295065,,2531753,2094531,2025523,1605298,1311561,1687725,1589233,1502108,1510280,2525175,,1173900,819814,899632,780264,668963,792495,902141,966353,854300,1524490
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",157784,206797,245232,264824,215338,267990,380054,252140,150333,260284,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",47256,57072,34686,63644,122599,124352,104194,150508,51496,208733,,1791240,1869825,1963225,1445011,1617871,1760901,1972238,1814808,1757246,2265491,,319922,269993,208166,238480,399724,393094,360176,605188,304235,544939
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",8514,4355,9675,16350,18117,17760,12951,18531,65787,183920,,1051603,1057558,1407067,1219767,1008099,1388907,1776125,2689356,3745728,5253889,,119185,108453,91344,86715,99774,143241,210628,448496,1097295,1879024
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",132012,120847,143435,117195,113627,124440,149684,129331,121930,177870,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,816935,693055,711071,806606,1772601,722631,888758,961255,838926,1088112
847989,"Machines and mechanical appliances, n.e.s.",133068,156127,132157,95104,130535,162293,188323,155118,126545,161135,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",66324,67922,91823,94143,99139,107856,97788,102800,94469,150252,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,475297,489393,566247,517828,583499,707572,744419,955151,732440,1363334
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",106711,110668,114851,101908,118760,133356,146776,136776,116679,149395,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
841112,Turbojets of a thrust > 25 kN,0,10971,27127,4697,1182,85855,375929,420085,272013,147762,,3948113,4109443,3417616,3023389,2863913,3549096,5245457,5506634,4125011,2293438,,91850,303222,536645,646333,804444,2021752,2586248,3655700,1810754,2039248
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",128237,155785,160481,133379,142436,139525,146586,148822,125326,136585,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
999999,Commodities not elsewhere specified,713039,513826,416739,491101,423764,279366,283724,205500,186652,130953,,59373193,63816786,70174563,64670995,63831190,58021514,60664181,57559330,46910555,63274483,,12031294,11504703,10599267,10858832,10612878,4059866,2398328,1992015,1881351,1387613
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",78005,79566,88209,81638,89535,109405,126408,128174,99458,118415,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",149037,114899,98250,83130,69731,123996,167550,113755,68738,110085,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,666905,502532,547557,491303,537214,676930,810200,663963,513285,858365
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",28259,35004,41409,28617,25278,30140,47138,44379,54993,106820,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,266936,266532,283321,291406,263406,293538,342499,380919,407171,493393
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",111823,95925,114081,88623,98220,107517,126062,85947,67771,105454,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,54482,63698,57504,81643,90617,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,0,473909,674567,580899,612358,886058
850440,Static converters,117288,78121,79413,118576,116091,137212,78908,94133,70093,88177,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",51061,58672,57402,50017,41820,44359,62005,70311,57629,84910,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,283843,296942,309257,301641,348193,289931,351326,354755,281125,438783
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",45874,43590,52924,57151,57064,66833,71997,57312,61229,83346,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",21004,42107,51960,67628,45161,62574,80505,69743,42313,79132,,3742502,3952679,4149303,3260183,3167674,3232952,3652501,3207188,2978002,3163087,,470570,442793,574772,559792,517480,554250,627088,621650,499016,672313
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",51404,49127,49742,42257,35697,48856,54419,33261,47621,78270,,1584581,1529921,1713948,1521624,1338504,1530001,1630522,1291004,1298202,2114346,,1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
391000,Silicones in primary forms,47139,57180,54336,59506,57273,60035,79806,70365,55221,77317,,0,0,0,0,0,0,0,0,0,0,,138245,145804,158395,169762,166461,195224,275749,244870,188860,286578
860400,"Railway or tramway maintenance or service vehicles, whether or not self-propelled, e.g., workshops, ...",87,6217,815,1242,0,73,42413,56410,70217,75103,,142357,135431,186555,178164,132903,128462,208302,152496,179084,180034,,36550,40201,79668,42898,41676,74875,60748,63936,102408,153569
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",55639,18676,26050,23196,19257,18096,31518,66562,62198,73677,,1896385,1525998,1858343,1408971,1177590,1481334,1654097,1397295,1320530,2024572,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",102467,104855,94539,113152,102754,122224,120716,74741,42032,73596,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,298407,350204,345120,354167,350982,368588,408515,427334,392587,516374
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",40032,39241,41533,42700,47877,55122,49085,47924,46708,72918,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,351880,330137,351340,369388,395489,466988,631099,606997,559724,807158
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",35534,49033,56395,54367,51132,68954,63386,70728,82277,72389,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,270426,309640,310641,328710,354699,412469,460632,523497,828444,844654
847990,"Parts of machines and mechanical appliances, n.e.s.",77111,57426,72695,60819,72212,78515,95436,81684,63725,71448,,2226026,2430342,2674994,2520445,2622734,3092941,3396078,3172933,3142723,3633360,,423431,379286,329903,278483,311593,366917,422368,435211,430675,392039
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",11831,9466,15823,20944,18674,24498,50432,63508,55693,67402,,333053,330062,349698,287733,296162,359136,400601,355990,351849,410703,,85070,79529,96445,101375,121788,158064,225917,225113,185137,228927
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",59502,62500,59107,66488,71117,80100,90434,80187,50887,62463,,2809647,2606223,2534640,2022669,2237156,3024833,3645761,4038592,2762815,2230881,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",69033,40557,40910,28261,35349,29905,40685,64362,38346,61508,,1545926,1634651,1503785,1280380,1313945,1774375,2186509,1957530,1882072,2207132,,325269,281334,242762,324934,177739,211563,194453,288183,235755,295192
850490,"Parts of electrical transformers and inductors, n.e.s.",49554,71750,67969,60864,61444,70286,174237,74546,41160,60090,,1520577,1283840,1144297,909617,840809,930975,1173938,926572,881764,958842,,311326,359265,320498,302681,357858,423373,605372,599450,370243,467127
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",53157,52397,53987,49138,59234,65205,54717,55369,44661,59744,,2297793,2442716,2544166,2201917,2259670,2654945,3022856,2802575,2762321,3228857,,173735,188150,177686,161932,190567,206077,231643,253530,206496,350977
847720,Extruders for working rubber or plastics,37136,19636,14584,67528,37135,51544,27925,46582,25220,59545,,766469,908578,817671,853290,673206,771306,790779,826403,987447,835317,,128609,67403,70955,149091,94178,131476,110175,144341,97055,170894
902720,Chromatographs and electrophoresis instruments,24598,23415,28483,44205,44877,44487,54388,54530,52524,59271,,238235,240009,219504,243195,222820,253456,254428,262693,252619,279319,,152028,127401,145893,179552,186785,195764,209462,214610,189363,239873
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",101644,90167,100232,111322,77288,81277,97844,72888,31464,57271,,11185359,12696454,14261488,12503976,13295930,15166537,16698136,16123393,14889434,17129914,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",28800,28652,32344,32601,34398,41059,55927,50341,44372,56996,,1543134,1515692,1535741,1485254,1554563,1808508,2013276,1912068,1893849,2193770,,206503,210665,237479,240363,258962,261213,306926,294703,277492,332510
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",27129,25476,28306,30765,30683,34116,47450,50364,34897,56739,,2689288,3070629,2974733,2617141,2705716,2936491,2964187,3032683,2943401,3452165,,403605,335934,447084,437118,370565,414560,518386,538614,434975,471752
841391,"Parts of pumps for liquids, n.e.s.",46670,42619,49503,34413,27478,40766,76161,54579,38564,54720,,2350762,2549939,2578205,2288730,2185701,2303595,2500374,2318502,2060195,2319562,,289839,263214,260140,232998,241137,254834,338528,289011,231085,306139
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",59019,40910,58656,110478,48237,51682,41951,47042,40489,54478,,1426403,1391301,1521428,1292719,1355991,1487646,1585875,1382387,1267190,1366650,,544195,438451,405882,447648,347838,370620,415644,416230,365250,527903
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",3628,4201,3061,3189,5943,9308,20989,13214,28614,51794,,652150,686459,703145,645832,619537,642284,685408,644720,1303876,1094678,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
470200,"Chemical wood pulp, dissolving grades",1756,1631,3801,3559,1947,5207,27532,43681,29271,51563,,4815,101402,101528,66155,37756,23136,18451,15254,5838,9400,,232798,221256,325071,390779,454107,533537,485572,516138,310809,597528
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,30695,36387,36984,35064,42251,63513,53698,46276,34912,50610,,3483804,3623803,4637208,4534155,4300952,4228754,4549779,4930231,5384905,6640219,,183573,203393,228981,202675,172170,234005,292354,309597,262070,378214
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,15513,22053,24334,30933,21793,17776,24700,23574,19041,50348,,1689730,1802032,1991373,1706391,1774202,1684997,1921124,1808647,1811851,2115971,,100315,100733,82744,112659,103971,114392,158776,154031,162624,235155
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",27964,33702,43696,53824,45057,45867,54149,45831,39291,50320,,4523831,4725678,4958217,4244912,4208534,4695113,5194621,4866828,4528465,5435115,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",36801,32056,39257,38703,39229,38533,58282,54108,30238,49086,,1669463,1688549,1793586,1582353,1629919,1768859,2012111,1921374,1781859,2187802,,271123,229332,257623,237773,245383,251114,322617,305386,226774,311972
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),9546,6503,0,0,0,0,8883,21351,9856,47861,,215019,242702,216564,354150,650306,682406,698219,632948,573707,711012,,157119,37691,45790,52725,25148,56502,16078,53977,11147,137113
711029,Palladium in semi-manufactured forms,48,374,2697,1,21,918,3937,6,36656,46353,,290059,235648,220341,191052,204618,207095,220292,225967,220013,275606,,2492,14990,42515,37758,17612,22242,44305,74673,209653,207963
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),23827,26341,26412,25836,23274,26987,36754,32953,29686,46268,,3025871,3101081,3270567,2898360,3066857,3444496,3766010,3569750,3184877,3833527,,179099,186256,182660,189694,182128,206770,249044,233994,210728,299084
