Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,12362967,10489824,9963998,9628315,9808025,10464507,12577590,12744472,10206851,14412239,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",1483,2079,112,35,49,2033,15397,91154,596107,1396946,,224594,177086,182810,146254,169655,255355,350207,584123,1395957,2867399,,119185,108453,91344,86715,99774,143241,210628,448496,1097295,1879024
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1509,900,10251,55571,24953,117059,371807,671110,755042,1096893,,4059153,3897838,3199035,2857335,2758885,2835498,3653621,2988892,4303595,5060312,,99410,165766,162676,187465,137859,177578,518380,825881,946520,1172373
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",544,228,1560,29397,56705,207539,324226,431086,372616,558177,,278522,372563,352231,492701,497023,568420,548679,629600,631063,882434,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",125559,103144,134098,190254,229758,249655,228885,201024,139932,304536,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",242969,249382,267802,210894,186680,223746,165477,125900,119701,237779,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
290243,P-Xylene,0,0,0,0,0,0,326099,294976,161758,199579,,4411749,4802057,2959557,2281518,2260060,2615482,3292385,3115071,1360557,1577062,,821769,1088205,880649,642231,937454,798341,929896,793808,418361,517468
890800,Vessels and other floating structures for breaking up,232709,476646,276324,238516,274548,200151,246688,243826,249935,181233,,0,128,0,0,0,0,1404,0,0,0,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
845710,Machining centres for working metal,152363,65435,120930,79469,93059,78214,211696,193570,115170,169820,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,352259,160722,235188,178380,188321,205632,465263,400961,243341,335291
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",32062,23677,28723,22693,12818,15259,127933,167837,121471,141832,,42675,34555,58919,70238,64732,62277,65455,76354,22194,37259,,6300566,7136329,4211932,2824254,2453509,7749452,9857779,8308820,6297469,8501189
847989,"Machines and mechanical appliances, n.e.s.",142603,179177,89970,90382,125638,82025,250222,261294,115720,124264,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",78669,79587,52879,39496,68762,70183,105709,72718,54697,113937,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
722511,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",94156,117808,113982,130015,123647,136842,147071,116560,68168,106674,,878645,654745,609621,760142,724003,676206,615191,501264,462302,629105,,362494,333287,433001,511903,483472,438595,494987,410721,246768,360404
