Product code,Product label,"India's imports from Korea, Republic of-Value in 2012","India's imports from Korea, Republic of-Value in 2013","India's imports from Korea, Republic of-Value in 2014","India's imports from Korea, Republic of-Value in 2015","India's imports from Korea, Republic of-Value in 2016","India's imports from Korea, Republic of-Value in 2017","India's imports from Korea, Republic of-Value in 2018","India's imports from Korea, Republic of-Value in 2019","India's imports from Korea, Republic of-Value in 2020","India's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,13675087,12426659,13437254,13085367,12213417,16084579,16441988,16111284,12168869,17076153,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",786182,643402,863192,518078,515675,599028,806969,704869,533306,1256426,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
854232,Electronic integrated circuits as memories,7703,9477,11973,9884,11251,17273,240971,82693,5906,652096,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",30397,35867,61815,92028,79965,170067,367687,306834,184400,361427,,729660,688373,604948,510396,466910,487078,550968,404777,459548,756471,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",77200,138161,129560,198669,283664,390685,659953,1283243,756320,340987,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",23142,14528,144434,201074,193727,214184,289198,286883,150835,339226,,507521,478819,654131,591888,612425,543122,602472,568005,435751,881297,,124255,151878,242305,309907,251291,284802,358155,328326,157292,348750
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",85897,106127,117963,135289,173062,220221,208861,308101,238484,319609,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",437200,377951,302679,292316,285362,315493,318298,325822,251894,256569,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",212496,512061,591881,1134040,469361,437291,346998,169780,330094,211068,,7212942,10745179,13150064,17612803,14750059,6546331,6848687,12163895,12840863,15965206,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",131060,98093,98812,49836,9658,15663,6928,23308,61944,210968,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,4591359,5934103,7433805,6953939,4071646,3406372,2216982,864257,2155978,1532452
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",61020,63675,21307,13789,73269,123397,136569,135498,68364,197469,,311420,291275,279971,220647,240312,293511,365238,313103,242776,552471,,239957,220571,188306,169702,175654,290758,332887,307297,171518,454786
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",143778,124300,115285,132874,167679,169189,224034,159971,98409,178199,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,593012,436011,443098,492975,577446,625400,806418,676858,488304,835566
