Product code,Product label,India's imports from Russian Federation-Value in 2012,India's imports from Russian Federation-Value in 2013,India's imports from Russian Federation-Value in 2014,India's imports from Russian Federation-Value in 2015,India's imports from Russian Federation-Value in 2016,India's imports from Russian Federation-Value in 2017,India's imports from Russian Federation-Value in 2018,India's imports from Russian Federation-Value in 2019,India's imports from Russian Federation-Value in 2020,India's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,4602156,3814120,4207629,4529850,4781758,7976972,6823232,6226189,5937619,8695038,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",121725,82193,168004,71257,83954,1308729,1221168,1460076,927229,2309768,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,148757013,148046659,135826203,72365746,60865954,82065030,115082789,101948597,64579748,106406787
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",20514,127171,268473,7431,164215,102520,257605,376148,373460,1186805,,88245886,91776552,93595475,53088209,35192532,45335013,61357826,52726494,35405155,54277319,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",678082,699763,740107,871459,1819268,3211800,1382627,488612,560718,832479,,3663152,4105401,4478758,3105621,4266428,4183609,4360777,3257477,2852752,4058404,,14539235,15386950,17392104,13569272,16454881,19429855,16706474,13480570,9369200,17302762
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",61980,25888,50773,182553,211225,309755,332729,540644,466841,730808,,9593,759,5464,46594,13969,18143,26322,15826,5303,75082,,14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
999999,Commodities not elsewhere specified,70009,54320,14716,12754,67789,155601,679090,436439,474211,398265,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,12031294,11504703,10599267,10858832,10612878,4059866,2398328,1992015,1881351,1387613
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",516,0,4129,35309,19910,25907,0,0,99307,323750,,5122557,5572369,3119673,1382822,907369,2358865,696996,5740438,18535922,17362166,,48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",58187,34,15631,78938,46763,52041,153335,160792,171569,314327,,1914115,1731844,1486658,1422234,1164687,1370599,1561903,1467433,1273758,2024941,,181273,31330,37961,117628,98491,74729,212116,224246,262160,533957
151211,Crude sunflower-seed or safflower oil,20073,0,0,5875,227,24063,0,157498,353683,302509,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,1314437,1247601,1532999,1313438,1315574,1865254,1907134,1794797,2072756,2396173
270111,"Anthracite, whether or not pulverised, non-agglomerated",70592,39577,74590,88042,78039,153843,133847,179559,169250,277974,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,156833,146659,164542,118291,104758,216803,278931,281001,233478,344678
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",0,6677,11588,5575,603,6755,439,0,108840,138403,,3244,3440,912,832,4033,1533,2319,2424,1219,1149,,221967,317323,219142,256515,182864,183793,265717,187542,829801,1906814
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",155632,124736,156662,172116,208937,266736,250272,261012,153583,113753,,690839,576194,623176,436067,427916,468156,653587,553986,356043,402378,,831246,888713,841654,792734,844223,842729,920830,774669,397525,307805
