Product code,Product label,India's imports from Saudi Arabia-Value in 2012,India's imports from Saudi Arabia-Value in 2013,India's imports from Saudi Arabia-Value in 2014,India's imports from Saudi Arabia-Value in 2015,India's imports from Saudi Arabia-Value in 2016,India's imports from Saudi Arabia-Value in 2017,India's imports from Saudi Arabia-Value in 2018,India's imports from Saudi Arabia-Value in 2019,India's imports from Saudi Arabia-Value in 2020,India's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,32826639,36596585,32703510,21365549,18459918,21077369,28523033,27000125,17723810,27689346,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",27674008,31202907,26355999,14831742,12110408,14338118,21317726,20532237,12471013,17905753,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,148757013,148046659,135826203,72365746,60865954,82065030,115082789,101948597,64579748,106406787
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",713894,662261,897657,787707,897600,1105035,1445583,1086289,993873,1587530,,3239553,3165844,2803150,2518400,1812536,1467888,0,0,0,0,,3249179,3046409,4061438,2516647,2113546,2824551,4113189,3945509,3876079,6376946
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",33916,69897,45591,20580,40504,61309,359140,347797,305397,1336577,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",507058,403430,527109,736769,418451,441711,857009,900395,703826,1033609,,522,48,0,0,0,87,0,0,0,1030204,,3398943,1752648,1824174,3104234,1690454,1469851,2766606,2164582,2121551,2838102
271112,"Propane, liquefied",485298,655061,500554,346038,369038,581381,943884,752455,686755,971265,,3657373,3123183,2470855,2438776,1421602,1812647,0,0,0,0,,1851045,2037686,2802452,1766614,1299049,2005282,3406829,3299486,3422159,5525695
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",163525,186898,203414,186321,182826,258368,274708,199148,184361,339898,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
290511,"Methanol """"methyl alcohol""""""""",179264,121626,111004,99347,96610,172654,130526,110252,172777,336151,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,494648,541168,544356,468468,375190,570054,779755,632092,489276,959966
271311,"Petroleum coke, non-calcined",0,0,11560,130642,218973,346150,229722,288433,167318,284647,,0,0,0,0,0,0,0,0,0,0,,460647,486532,540242,720127,842240,1324556,857267,1066864,794701,840353
390210,"Polypropylene, in primary forms",179860,217253,268537,219433,166058,220061,207218,186645,168273,263745,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,69776,99378,69378,83021,89722,103525,113689,137004,121144,247936,,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373,,191380,270065,229076,253453,247708,273244,283983,353903,270297,437078
281410,Anhydrous ammonia,279407,203151,302293,195751,142159,165868,170549,201409,197663,236289,,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624,,1196815,986341,1121186,1043171,753261,706256,914984,775440,636993,1316086
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",12679,26333,55988,30734,36220,58201,74337,104494,96235,196554,,80408,91700,141788,110079,107494,89635,122993,177665,137028,267797,,108454,137454,214005,155114,129322,163665,176199,261410,204355,422133
