Product code,Product label,India's imports from Singapore-Value in 2012,India's imports from Singapore-Value in 2013,India's imports from Singapore-Value in 2014,India's imports from Singapore-Value in 2015,India's imports from Singapore-Value in 2016,India's imports from Singapore-Value in 2017,India's imports from Singapore-Value in 2018,India's imports from Singapore-Value in 2019,India's imports from Singapore-Value in 2020,India's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,7797327,7026637,7069417,7400703,6719133,7232165,14483646,14893892,12306747,18201531,,415615110,419931654,415418247,346641061,329854222,373055543,412077471,390386234,373909153,457749966,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",528957,93400,67640,50610,69611,140492,92658,57229,376063,1617929,,372860,365754,190426,507986,877074,232432,147617,108420,128728,985908,,48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",6879,0,0,0,0,0,507728,621352,365548,948905,,2,269,575,28,4,14,6,21,47,39,,14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",196057,139356,0,159668,21613,9105,257041,329086,563961,711994,,328335,6270,26028,23525,19033,31608,116447,41164,17925,36674,,1017497,1261967,1933794,1379336,1692022,880901,1726451,2229096,2764625,2456173
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",79930,81659,104093,118299,137143,134386,258199,368886,440260,679976,,1910308,1569202,1400396,1352315,1299697,1210250,1294789,1296485,1458704,2188493,,2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",918808,245391,372033,361065,411023,439740,591123,376085,353746,546388,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",202162,256689,334951,497617,463837,491075,526136,435236,353317,541216,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,688344,780456,922266,1345915,1178434,1404615,1806513,1822917,1681072,2119773
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",202084,159768,110407,105749,110948,124065,439780,502310,378378,530637,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",71077,86445,59520,51389,49883,96229,245805,360963,467070,505236,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,280380,207155,400459,166224,18656,12009,253627,155205,408135,,24629742,23121395,23445528,14785177,12462249,14531435,18082770,16591374,10150819,16087885,,0,1321496,929453,1923540,1450912,717450,1079458,1745225,1105493,1802279
