Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,24105441,22600341,20439727,20476016,20393719,24070494,32821243,34917972,26615673,41386816,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",115820,0,0,15572,0,467975,2907802,4630643,3696017,10369917,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,148757013,148046659,135826203,72365746,60865954,82065030,115082789,101948597,64579748,106406787
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",750704,568397,539767,429372,359306,281060,4280376,4507089,3318525,5357121,,16590142,19095325,20929607,18322930,18845371,17897884,19479054,17379186,10117261,14369777,,6300566,7136329,4211932,2824254,2453509,7749452,9857779,8308820,6297469,8501189
271111,"Natural gas, liquefied",35230,0,0,0,87963,158223,406667,768470,826530,2065926,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,7795965,8311492,9888690,7133087,5425188,7204333,10912584,9550077,7908672,12078526
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",2855555,879985,2148480,2541788,1309741,2082888,2085426,1563303,698808,1174682,,33803949,31650160,20754187,19077283,17518244,19609612,20130676,16971877,20191596,27215404,,48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",986020,566400,440924,337414,277363,1138648,1615627,980078,781257,1021405,,473900,591883,255153,207617,113504,264042,260497,232268,148112,240497,,14973691,14571854,15284439,12241267,11733658,19066279,22657011,20118683,14341760,24055549
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",103440,94168,125095,128604,113187,154227,422654,466027,436784,789043,,3337485,3155135,2767571,2342239,1811970,2246126,2493178,2180570,2169262,3720722,,1311365,1284201,1490517,1437274,1330577,1833006,2486510,2046364,1810250,3141290
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",341,14097,71683,139904,103346,110658,439998,551635,362828,758190,,14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666,,17489,212636,946244,1663371,868255,804896,1728312,2196277,1295829,1309904
80211,Fresh or dried almonds in shell,270919,391081,458807,495251,531238,579926,648470,702467,798359,748931,,833972,893576,883493,969987,1048857,1079636,993216,1042690,1085693,1134092,,344881,503121,566801,651300,617579,699435,769722,802881,874854,864001
841112,Turbojets of a thrust > 25 kN,48830,208136,342787,472146,686113,1759593,1307992,1664156,750031,747873,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,91850,303222,536645,646333,804444,2021752,2586248,3655700,1810754,2039248
