Product code,Product label,India's imports from Viet Nam-Value in 2012,India's imports from Viet Nam-Value in 2013,India's imports from Viet Nam-Value in 2014,India's imports from Viet Nam-Value in 2015,India's imports from Viet Nam-Value in 2016,India's imports from Viet Nam-Value in 2017,India's imports from Viet Nam-Value in 2018,India's imports from Viet Nam-Value in 2019,India's imports from Viet Nam-Value in 2020,India's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,1945485,2826668,2781693,2681722,3105465,4140090,7246953,7446093,5564634,7075315,,114529171,132032854,150217139,162016742,176580787,215118607,243698698,264610323,281441457,406755914,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",91198,192935,190738,255005,401435,548897,732931,1500492,864155,642616,,2341127,1762614,2073874,5016965,7210675,15847655,18126229,17517831,20864755,28074784,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
852580,"Television cameras, digital cameras and video camera recorders",887,886,4579,41201,27638,52718,298819,576786,638606,637630,,73245,110450,365356,871378,901312,1358865,2268382,1976684,2066189,2436098,,584542,514576,533376,708808,620721,903858,1562320,2083423,1840909,1764570
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",376150,922548,654544,455488,27323,26,23,27,425564,390036,,10093132,19325914,21333372,25088232,27155262,29646866,31125419,34151090,31090302,39111875,,4591359,5934103,7433805,6953939,4071646,3406372,2216982,864257,2155978,1532452
741110,Tubes and pipes of refined copper,8141,29336,53457,81804,105478,163272,202537,269693,207562,361375,,91444,123566,171340,199975,291245,463690,585104,712370,751591,800579,,117163,147037,202427,227224,241529,326291,387835,456102,331191,574787
281820,Aluminium oxide (excluding artificial corundum),66,0,2,0,49482,123303,326184,257189,76815,285366,,48,47413,154648,146649,147920,347020,505121,443142,370370,443462,,329061,532607,347900,355363,415616,821394,1416845,959739,633199,1034897
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1339,2353,965,997,9592,42440,1554080,475626,66792,213598,,376126,510462,723336,981246,1500963,1970796,3054675,4412803,9643298,14420409,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
400122,"Technically specified natural rubber """"TSNR""""""""",105909,136626,82511,76605,97416,58498,92985,144761,63320,177754,,2150309,2136805,1460779,885691,690450,695148,702879,714320,474692,722845,,479688,519428,474075,479880,494442,604652,727982,599730,454831,858347
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",34522,115296,53515,27170,53212,89319,93677,85282,76654,145863,,121250,144765,105624,120562,210381,205941,245077,324260,733244,484201,,410527,600457,338131,495124,504034,404262,415089,465291,220606,269382
280470,Phosphorus,44563,59101,79429,62509,68193,68410,78536,57413,70665,135616,,136404,146871,204057,198045,208111,232313,279835,240149,249930,362794,,63135,82843,82374,69176,77681,77083,106144,105511,95374,161343
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,3534,3777,23788,141525,181186,180393,155263,128767,91826,129035,,276348,318107,318241,480268,433810,498371,468664,1066567,3078781,9762658,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",9459,2794,2541,3363,68410,63795,42729,64552,85016,125506,,95556,111020,271563,318329,356457,605328,2439625,2897438,5170175,13926661,,981782,1033925,1071586,1092561,1291374,1401143,1218039,1407069,1675853,2808602
851829,"Loudspeakers, without enclosure",9665,13133,17240,37824,46364,60187,72745,132456,116646,119677,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,206374,193615,151142,179823,187640,206911,267223,307928,268535,361973
90619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon """"Cinnamomum zeylanicum Blume"""" and ...""",12683,18869,37952,33319,40862,43378,54233,70886,91415,92219,,7691,17773,28429,27834,30653,33567,52187,72021,96200,132581,,16262,25217,45902,39846,47898,51774,64525,78786,98947,100832
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",18733,124808,52151,18066,48,27,7,23468,102768,85796,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",11499,24208,27639,24832,38985,70868,54678,42048,41375,77084,,3911,3454,21887,11615,13768,12318,16596,18376,21012,104688,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",173,29,0,0,34,37,81,7372,13821,76941,,3561,1670,2028,2004,2438,7721,16886,24607,40754,179145,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
852691,Radio navigational aid apparatus,0,0,0,0,4,0,2246,20243,50971,75037,,275,207,73,791,2343,2548,4454,27053,1340,214357,,19414,31353,36689,49265,64064,81520,114189,121599,260185,282253
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",837,0,172,1044,2043,14785,16169,3509,20486,74080,,28707,22122,18860,18618,12939,17947,17264,4520,28140,86530,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",408,137,311,440,177,703,1256,135,20714,70895,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",0,0,0,0,0,0,28739,0,97844,67846,,7052,1218,1294,109,759,7578,1332534,71475,66672,563920,,39271,25555,90126,156404,566059,930023,84942,28456,123359,77437
500200,Raw silk (non-thrown),330,0,1256,6125,17691,32985,48010,58909,39246,67587,,1634,1777,344,6838,17458,30201,39141,55325,39763,70031,,233312,165950,155888,152998,157678,193875,152760,159220,85080,104182
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,14188,15347,16852,28844,34435,49592,62768,58486,69630,64663,,131609,139855,183011,205575,218737,250454,301631,339084,357337,289336,,225441,196265,245064,268563,270388,335110,430479,400884,371433,473112
850760,Lithium-ion accumulators (excluding spent),0,1103,2914,5783,6435,9148,82519,153609,64110,63174,,93627,123910,200640,310413,322093,413896,578517,703510,553928,726907,,0,167481,126533,203092,304780,467906,1147766,1295134,1056579,1664286
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",0,6180,10116,13719,18043,16316,22828,28306,32734,61809,,14385,12139,14714,14326,15157,24302,22336,42296,41905,86113,,0,12009,20910,24815,30570,34578,44821,54133,55954,91017
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",746,362,136,60,11,56,14885,11498,2852,55275,,11943,16762,15081,18279,24400,31866,43612,45677,39930,114178,,88855,96405,103349,119175,142238,156743,436175,424663,356985,645457
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",228,2077,1506,10397,9525,16250,37637,41802,20639,52233,,38068,35812,49811,49951,49158,76271,104796,101225,103029,102170,,25831,26371,34126,54727,56396,76086,142036,122036,63476,91275
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,897,796,3785,5324,10851,19332,29359,44692,31274,51245,,706150,1265929,1461937,1941820,2341151,2850821,3500975,3836798,3863755,4972377,,31858,42730,59328,74073,98948,114109,162225,199993,101732,168780
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",93,654,7797,72535,69272,56940,64752,48229,37360,50453,,714,1121,13411,82324,82571,74059,87159,62942,69533,112807,,1731628,1358178,1246672,1574746,1621444,1670788,1869057,1931623,1550092,2332850
400121,Smoked sheets of natural rubber,72707,76169,58643,45524,30991,21120,54594,49332,29422,50380,,209105,144833,121363,103212,111724,128969,132839,136503,104719,140412,,434456,338423,300085,166974,120863,108684,176437,115963,78051,97692
730661,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron ...",4,93,100,3290,5541,7147,78903,85729,50788,49953,,73857,80124,94021,115493,188930,316125,463859,430667,331293,167646,,5078,4094,9392,29010,38919,55764,100594,104116,56357,56865
854232,Electronic integrated circuits as memories,12,0,103,1,6,1,0,13,6142,47402,,162,8602,59200,59269,12750,2018,23541,15046,69063,275423,,149798,119806,134256,105137,70513,95138,1550799,1461616,865070,2180015
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",2532,726,2311,2350,4362,6730,13718,24966,18727,46468,,240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",425,504,662,2471,2879,7269,19476,16817,23356,44565,,264450,307846,326508,308504,287736,307094,344628,377004,287126,479263,,33159,33744,40275,43168,41097,43868,52833,46686,41981,93657
850440,Static converters,2014,13288,11619,4906,9200,5488,16964,40472,23820,43990,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",5997,10184,10240,13959,18706,25287,43785,50987,41717,41957,,1445604,1596849,2202589,2910309,3795981,4663987,4749936,5410060,4555183,7093347,,21307,25701,27894,40042,42760,72383,123870,121243,74501,77436
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",5451,6537,10294,13111,21210,31939,35792,30622,29937,41114,,889681,1067546,1022358,1053053,1088598,1374461,1772299,1904457,1985644,1816390,,225008,265214,286528,337113,314286,322597,382363,377536,239080,355326
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,69,0,14,0,0,40454,,19992,26272,44766,44787,44012,40419,36976,30631,39617,118811,,244,325,748,584,16686,2375,2342,15307,10252,364730
90411,"Pepper of the genus Piper, neither crushed nor ground",31567,29772,88284,72271,77205,56370,36290,30992,23273,39339,,687624,765277,1023290,1089612,1233929,961993,602448,566099,510855,580531,,106540,96411,180120,195378,183163,164803,136876,93147,85570,171736
380510,"Gum, wood or sulphate turpentine oils",4525,5572,7699,9430,10556,12622,21338,21827,11377,38156,,1349,1273,7263,7705,8288,13034,25322,27217,25287,49875,,14527,23560,43969,57291,60353,87734,169591,194693,125451,200539
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",442,313,325,843,2199,12698,37706,47232,19243,38014,,24130,16898,21883,20914,25711,48414,100131,120406,104421,173353,,198573,189192,217392,230991,242830,310590,395754,429187,324462,433116
283650,Calcium carbonate,5829,9646,12633,18232,22810,26529,42629,43346,27988,37948,,10580,11353,18384,27667,13337,1762,2179,1737,930,90636,,56605,77322,82383,95977,98018,95933,120138,128227,79899,140915
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,0,0,2014,11403,37839,,0,0,0,0,0,0,124946,376670,331449,477018,,0,0,0,0,0,28618,52954,124234,79186,84871
730611,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless ...",0,1307,5586,18732,13680,32076,50545,28117,25655,33958,,457,112,117,47,2615,2098,105,59,219,34238,,3728,6597,13959,33068,29294,66966,81375,46394,32641,40435
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",2552,3941,121470,6050,13009,26442,94637,6025,10765,33796,,113339,100629,146602,132861,190366,175026,194215,325913,324942,474381,,440765,341361,349315,287885,277610,357107,384366,390369,254456,370641
700719,"Toughened """"tempered"""" safety glass (excluding glass of size and shape suitable for incorporation ...""",10,0,0,0,0,0,38,28,0,33755,,223,1185,1335,1396,12251,130232,101539,45169,38082,113046,,10587,15735,22421,30974,45293,69127,93828,108318,99562,180664
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",7,0,2,179,4570,20230,37124,47370,32135,33549,,651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248,,48170,54162,61522,80473,83366,155410,137901,164571,102372,128174
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,14,85,919,10233,31441,,0,0,0,0,0,0,42992,24784,16174,88370,,0,0,0,0,0,103733,230005,257506,105668,136176
853400,Printed circuits,70,16,72,69,14431,18796,22725,16642,26524,29438,,272144,344284,443344,533718,535173,639625,756251,1064644,1093481,1462489,,363384,281885,227326,254830,352607,425485,628116,650890,623039,885774
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",49574,32648,7440,13329,26901,35796,43403,47962,51118,28573,,478825,636455,491207,653019,1275233,1805684,1648463,1825818,1152140,4975263,,225777,183232,124626,130085,180340,231243,276878,317539,306113,343784
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,822,2369,5241,7040,7628,11328,19302,26839,18980,28266,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,43198,53636,61412,82538,107043,154702,178597,182282,116805,150189
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",0,0,0,0,0,0,4480,12409,14057,27704,,292,271,10554,15069,21583,29092,58376,142027,240077,265252,,14761,15316,20298,21018,21262,23783,35803,42254,29727,46399
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",683,661,16472,495,929,3109,22856,53030,33215,27652,,113554,117926,171068,200051,205184,224833,309133,407116,358747,464796,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",12208,14550,16164,18551,18057,18779,20144,21329,19508,26678,,241048,307860,380647,315208,345644,361079,376800,391886,369034,553537,,506974,489180,558583,683174,716393,946722,1063081,1047673,745364,1189612
850720,Lead acid accumulators (excluding spent and starter batteries),20812,20416,33900,33637,23397,21761,25519,20239,19894,24900,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,101761,125154,137303,137621,88872,79523,119873,93569,75900,97826
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",143,0,0,505,548,467,3,20465,22064,23873,,69117,82811,91008,75756,67425,35577,74404,103914,108436,93972,,82072,45959,34767,30013,31776,56304,89283,87217,73696,85234
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",9184,9587,9424,11036,9257,10533,6533,6351,11904,23563,,139975,149205,151114,145339,173516,180900,179841,143462,182232,191224,,1868656,1655176,1687271,1646440,1472511,1696990,1789839,1486268,1208277,1883050
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,5565,9236,12453,22236,23304,,0,0,0,0,0,0,275462,311663,356574,409511,,0,0,0,0,0,473909,674567,580899,612358,886058
