Product code,Product label,Japan's imports from Australia-Value in 2012,Japan's imports from Australia-Value in 2013,Japan's imports from Australia-Value in 2014,Japan's imports from Australia-Value in 2015,Japan's imports from Australia-Value in 2016,Japan's imports from Australia-Value in 2017,Japan's imports from Australia-Value in 2018,Japan's imports from Australia-Value in 2019,Japan's imports from Australia-Value in 2020,Japan's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,56449992,51026036,48117722,34842034,30490161,38919119,45733812,45461975,35654301,52268475,,262678467,256678556,252680285,191320123,189389234,229722178,254525413,272579608,254531426,345599938,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",17982625,14836633,12452750,10492087,9665353,13906025,15316166,13277380,9265161,16284493,,43691288,38380799,35187114,29623822,28260420,40555876,47206109,44407758,32725070,43934284,,26841965,21797137,18132577,14909027,14105898,21202114,23611052,21638755,14794072,23449598
271111,"Natural gas, liquefied",13093875,13858109,15016432,9755397,8467075,10867356,15195671,16103007,12102238,14048042,,14676410,14824997,16451316,12582034,13559824,19937263,31970665,35167504,26312442,36957140,,75251801,72347669,74222367,45759355,30269468,34927339,42851145,39947943,30139915,38997224
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),10823524,10111534,8952148,5149705,3989499,4961875,4603067,5593928,5005224,9943962,,59192644,68522713,69260622,36622883,39226993,49108087,46529095,65588606,78020629,115981729,,17269502,15600111,13928034,7994026,6135076,7880612,7543659,9025862,8465118,16057927
260300,Copper ores and concentrates,1529561,1455724,1485617,1251760,1062198,1038734,1365623,1598818,1804549,2336338,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,11493511,10646491,9886570,8264843,7444980,8338268,9834838,8292775,9301127,13046748
760110,"Aluminium, not alloyed, unwrought",986705,861724,985887,848781,584843,718268,1070691,770804,497179,887597,,2699037,2591341,2487668,2354220,1989538,2101616,2639721,2247243,2163671,3128382,,3561338,3039567,3647124,3018871,2407063,3200164,3623069,2744942,2089888,3504698
20130,"Fresh or chilled bovine meat, boneless",881540,750952,845402,920212,875553,874773,956017,966090,866096,851406,,1921467,1891428,2273194,2451140,2201799,2223558,2492495,2630413,2669019,2892798,,1513985,1452256,1589374,1496464,1645344,1912987,2089662,2110172,1950940,2187537
20230,"Frozen, boneless meat of bovine animals",711508,634091,628087,659195,566954,674767,755267,711746,649987,653504,,2828207,3370846,4371609,4277980,3075554,3223065,3694760,4468083,3749032,3750481,,1235020,1265119,1283570,1269052,986789,1182142,1363366,1394397,1375627,1504655
270111,"Anthracite, whether or not pulverised, non-agglomerated",222020,249462,159640,157094,157180,328319,281103,310828,278265,505782,,48527,19388,7099,4106,43272,0,0,4339,21,557,,1098690,815903,645464,599383,531374,919839,964964,851790,595922,910506
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",271032,214496,174067,172238,308631,354758,289277,326973,330297,428659,,0,0,0,0,0,0,0,0,0,0,,839256,651138,575366,442279,574245,525989,407847,404070,382080,493454
