Product code,Product label,Japan's imports from China-Value in 2012,Japan's imports from China-Value in 2013,Japan's imports from China-Value in 2014,Japan's imports from China-Value in 2015,Japan's imports from China-Value in 2016,Japan's imports from China-Value in 2017,Japan's imports from China-Value in 2018,Japan's imports from China-Value in 2019,Japan's imports from China-Value in 2020,Japan's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,188500370,180977514,181294159,160501113,156848668,164587366,173814744,169236468,163760523,185761270,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",11337741,14676620,15150930,13281580,14360160,14533616,15302137,13252736,12475599,15982466,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",7852730,8063572,8613234,6513736,6031703,6883276,6993495,8149734,11285860,9837970,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,8112151,8141275,8734593,6598812,6100784,6948578,7058312,8230897,11359563,9919444
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",3112514,2748647,2752102,2893369,2876581,3432117,3296155,3567339,3897131,4168173,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",1873165,2330701,2234661,1938639,2309307,2664137,2755706,2846407,2229839,2540601,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,2928309,3176677,3385553,2966971,3356005,3947149,4230204,4574631,3890170,4257072
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1328823,3399289,5213968,3936821,3042377,2234518,2141669,2164643,2123778,2024630,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,3102976,7006545,8757444,6401137,4820917,3941670,3678500,3576346,3188082,3164423
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",1797736,1687721,1719799,1569795,1604055,1710411,1833941,1819317,1649764,1988718,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,2090852,1980887,2022828,1915683,2000005,2127142,2286518,2296681,2050078,2419217
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1200841,881692,859685,794630,903685,1096417,1213861,1374535,1671559,1773515,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,1976503,1859959,1832651,1583753,1522436,1722607,1870849,2040761,2376995,2592331
999999,Commodities not elsewhere specified,1595574,1319955,1353720,1600037,1604814,1812350,1841673,1699888,1520327,1754817,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
850440,Static converters,1257660,1172531,1189481,1054422,1055400,1068241,1137768,1212881,1321037,1749212,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,2135640,2175862,2195559,2027046,1973485,1987221,2067567,2100237,2225486,2609426
