Product code,Product label,Japan's imports from India-Value in 2012,Japan's imports from India-Value in 2013,Japan's imports from India-Value in 2014,Japan's imports from India-Value in 2015,Japan's imports from India-Value in 2016,Japan's imports from India-Value in 2017,Japan's imports from India-Value in 2018,Japan's imports from India-Value in 2019,Japan's imports from India-Value in 2020,Japan's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,7000142,7072378,6987497,4859253,4683260,5349096,5504030,5365438,4726757,6149769,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2611151,2750634,2744041,1246834,772479,1181397,842017,530156,619783,683046,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",255315,335405,357557,288941,319739,340413,318396,322959,304398,361982,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,1909284,1952762,1833274,1466692,1563541,1678286,1505497,1442958,1324693,1464914
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",433972,400084,407377,310064,367262,347362,404685,342053,246902,302876,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,898649,870900,888885,776932,912632,762208,849376,703765,448548,532903
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",50,14,14,11,15,0,0,5,363,251754,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
760110,"Aluminium, not alloyed, unwrought",105,2040,13011,30018,47265,90792,197248,188520,96422,190376,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,3561338,3039567,3647124,3018871,2407063,3200164,3623069,2744942,2089888,3504698
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",28725,24650,43015,59190,89619,72327,76191,98548,167392,163665,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,1497532,1142399,1012454,1091519,999122,1422209,1434213,1566319,1841724,1183878
720230,Ferro-silico-manganese,160221,171839,169347,113628,78842,115352,126889,102086,80931,153568,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,290227,302170,321251,234256,201595,297113,334808,294183,236199,350296
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),345460,263183,217050,65305,116832,169211,104432,178660,195752,116634,,2407949,1397507,683397,118390,537211,763492,356465,1020338,2390703,2109250,,17269502,15600111,13928034,7994026,6135076,7880612,7543659,9025862,8465118,16057927
760120,Unwrought aluminium alloys,1057,3000,2889,112,188,879,9958,7755,14006,113956,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",56330,52903,37195,30406,38693,51252,55723,62977,73330,85805,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
30499,Frozen fish meat n.e.s. (excluding fillets),78141,57422,69550,76030,66808,68474,82488,86135,61195,85251,,141482,139949,125959,146130,150282,213329,249896,223780,199509,250646,,651803,505474,559249,520858,516695,486641,524095,548899,444920,463187
