Product code,Product label,"Japan's imports from Korea, Republic of-Value in 2012","Japan's imports from Korea, Republic of-Value in 2013","Japan's imports from Korea, Republic of-Value in 2014","Japan's imports from Korea, Republic of-Value in 2015","Japan's imports from Korea, Republic of-Value in 2016","Japan's imports from Korea, Republic of-Value in 2017","Japan's imports from Korea, Republic of-Value in 2018","Japan's imports from Korea, Republic of-Value in 2019","Japan's imports from Korea, Republic of-Value in 2020","Japan's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,40532147,35822436,33385307,26807097,25066850,28110663,32149067,29629342,26591377,32098893,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",4913496,4052607,2499911,1302420,762209,1441121,2242408,1566199,1226311,2348943,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,11387324,8608650,6519960,3362247,1810903,2664845,3935434,2518814,1898048,3390124
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",4621699,4272992,3730292,2142175,1336304,1395536,2489544,2138657,1571497,2291532,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
999999,Commodities not elsewhere specified,1153396,1022767,1178136,1203535,1158529,980554,1297646,1487586,1567393,1333041,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",1183065,1166107,892346,733195,936154,877681,837304,771326,952185,1322074,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,1539764,1316282,997652,785703,960033,1083439,1043673,847792,1139060,1776502
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",983112,855481,735572,690152,484916,824656,934144,356065,362849,990728,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
854232,Electronic integrated circuits as memories,1122200,792675,751257,832013,619692,621205,642561,493229,450360,595428,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",391409,272435,384177,283027,305217,384868,412358,485713,371462,463993,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,485207,354816,570148,413297,400071,559519,597160,711722,551787,750455
240220,"Cigarettes, containing tobacco",80296,108886,191433,288123,389671,555706,588178,567942,530363,441232,,606382,525034,669060,886814,981578,1125560,792282,717394,816423,679880,,5357401,4091115,3351403,3066070,3241521,2612628,2416255,2237379,2003682,1789908
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,241600,357407,362494,397486,,1745,1862,2793,3713,4819,10688,14189,37655,22305,29766,,12,365,855,556,651,1933,2448004,2867335,2976774,3307655
