Product code,Product label,Japan's imports from Russian Federation-Value in 2012,Japan's imports from Russian Federation-Value in 2013,Japan's imports from Russian Federation-Value in 2014,Japan's imports from Russian Federation-Value in 2015,Japan's imports from Russian Federation-Value in 2016,Japan's imports from Russian Federation-Value in 2017,Japan's imports from Russian Federation-Value in 2018,Japan's imports from Russian Federation-Value in 2019,Japan's imports from Russian Federation-Value in 2020,Japan's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,20808821,23653100,24755660,15749477,11294493,13826508,15604960,14345365,10737751,14119483,,524766421,527265919,497833529,333501801,285491052,357083135,449347157,422777167,337105352,492314339,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271111,"Natural gas, liquefied",6192067,6286440,6654685,3921744,2508706,2777826,3245892,3095210,2359165,3394390,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,75251801,72347669,74222367,45759355,30269468,34927339,42851145,39947943,30139915,38997224
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",7171594,10139707,10453899,5983761,3309432,3712346,3922045,3992208,1802577,2349844,,180929708,173669617,153887932,86172174,73676262,93306412,129049146,121443990,72564294,110968247,,153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1260249,1120494,1202160,1060080,1080665,1620530,1868465,1929742,1603372,2298852,,11635170,10599759,10408217,7955494,8054092,11898508,14606792,13616669,10743061,15439803,,26841965,21797137,18132577,14909027,14105898,21202114,23611052,21638755,14794072,23449598
711021,"Palladium, unwrought or in powder form",388185,512875,505057,334412,386019,671317,1020242,1140809,1499686,1373684,,1463889,882242,448250,662655,1785805,2448253,2808706,4255992,6448950,6540675,,1010355,1284300,1428625,1203732,1130060,1585250,2005236,2523655,3464277,3968908
760120,Unwrought aluminium alloys,514910,524279,581308,519891,488366,604100,563643,318477,295191,636274,,1961162,2100064,2112002,2283458,2046337,2455331,2028781,1493269,1320676,2989431,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
760110,"Aluminium, not alloyed, unwrought",748446,390774,725012,441964,395052,627452,630194,449420,387139,601045,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,3561338,3039567,3647124,3018871,2407063,3200164,3623069,2744942,2089888,3504698
30391,"Frozen fish livers, roes and milt",0,0,0,0,0,268289,346419,231751,213879,412516,,0,0,0,0,0,293897,362784,264425,240160,510148,,0,0,0,0,0,586198,600208,452566,449220,713013
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",628374,1449919,1554362,929532,656138,956528,957828,604194,401346,352960,,15377855,17638570,22212195,12524204,10759136,12909371,16750754,14160911,9954896,15688290,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,243090,250416,259318,230167,304354,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,852214,947439,801103,675811,1016731
