Product code,Product label,Japan's imports from Saudi Arabia-Value in 2012,Japan's imports from Saudi Arabia-Value in 2013,Japan's imports from Saudi Arabia-Value in 2014,Japan's imports from Saudi Arabia-Value in 2015,Japan's imports from Saudi Arabia-Value in 2016,Japan's imports from Saudi Arabia-Value in 2017,Japan's imports from Saudi Arabia-Value in 2018,Japan's imports from Saudi Arabia-Value in 2019,Japan's imports from Saudi Arabia-Value in 2020,Japan's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,54850070,49856199,47414451,25080489,19607267,27773705,33814637,27665618,18452565,27524234,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",50402979,46325722,43487188,22372488,18020608,25630103,31251795,26052072,17215372,25237961,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",1748858,1193933,1675814,1437414,458077,782826,826036,587190,384623,1028321,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
290511,"Methanol """"methyl alcohol""""""""",367734,448768,455082,331303,220690,345616,439077,277323,193573,347511,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,655106,714689,778781,541947,398564,594676,777465,512143,384968,690463
760110,"Aluminium, not alloyed, unwrought",0,112380,221723,179536,190004,337220,229824,237071,170748,314762,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,3561338,3039567,3647124,3018871,2407063,3200164,3623069,2744942,2089888,3504698
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",94429,92857,120735,91692,123615,136042,143431,160815,119477,221192,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,1031446,840972,1000352,889361,997484,1150657,1332221,1195647,955509,1575810
260300,Copper ores and concentrates,0,0,0,0,0,0,62081,58821,94244,78858,,11399,71435,69170,84453,113836,177364,457934,381136,472944,673809,,11493511,10646491,9886570,8264843,7444980,8338268,9834838,8292775,9301127,13046748
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,71749,99959,70301,47800,56284,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,348236,433963,388657,307283,391492
999999,Commodities not elsewhere specified,11709,12290,14926,8196,17016,11591,11466,11298,25556,41783,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",349900,360332,287427,188084,118395,133743,181508,60074,77145,27333,,3239553,3165844,2803150,2518400,1812536,1467888,0,0,0,0,,3168790,2619214,2240520,1046157,813362,874354,1042736,855091,683269,851877
390210,"Polypropylene, in primary forms",36115,40266,18887,13450,18865,27936,47437,25432,13136,26851,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,171489,173047,167326,92238,92470,133091,235155,146988,102044,156903
290211,Cyclohexane,19407,9185,26257,10751,11202,3160,7408,5604,0,23812,,284720,299277,364671,241908,201052,153882,331990,220279,127391,290515,,64097,27538,50990,30334,23807,26703,19140,9140,1627,35255
271112,"Propane, liquefied",1616569,1102048,963844,346216,286863,204119,327609,19914,22449,16460,,3657373,3123183,2470855,2438776,1421602,1812647,0,0,0,0,,9588261,8343063,8028982,4332232,3295375,4491687,5192316,4026920,3350424,5828770
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",0,0,0,0,0,69,4489,5277,6282,11321,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,282263,278773,282392,247719,258716,310511,358244,324663,317786,414575
